Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
24,0,25,3,25,5204892,26,0,0,28,0,29,0,29,1804800,29,1804800,29,1804800,30,1804800,30,1804800,30,1804800,30,2208000,31,2208000
112,0,115,3,114,5206500,119,0,0,123,3,124,0,125,1804800,125,1804800,126,1804800,126,1804800,127,1804800,128,1804800,128,2208000,128,2208000
212,0,214,3,213,5208044,216,192552,174073,221,3,222,0,222,1804800,222,1804800,223,1804800,223,1804800,223,1804800,223,1804800,224,1248000,224,1248000
313,0,316,3,314,5211288,319,192552,174073,323,3,324,0,324,1804800,325,1804800,326,1804800,327,1804800,328,1804800,328,1804800,329,2073600,330,1555200
414,0,416,3,415,5213816,419,192552,174073,424,3,425,0,425,1804800,426,1804800,427,1804800,427,1804800,428,1804800,428,1804800,429,2208000,429,2208000
514,0,515,3,514,5218856,519,192552,174073,523,3,523,0,524,1804800,525,1804800,525,1804800,525,1804800,526,1804800,526,1804800,526,2208000,526,2208000
616,0,618,3,617,5222260,621,192552,174073,631,3,631,0,632,1804800,633,1804800,633,1804800,634,1804800,634,1804800,635,1804800,636,2208000,636,2208000
716,0,718,3,716,5229900,721,192552,174073,727,3,728,0,729,1804800,729,1804800,730,1804800,730,1804800,730,1804800,731,1804800,731,2131200,732,2131200
815,0,817,3,816,5237324,822,192552,174073,826,3,826,0,826,1804800,827,1804800,827,1804800,828,1804800,828,1804800,828,1804800,829,2208000,829,2208000
916,0,917,3,916,5239804,919,192552,174073,923,3,923,0,924,1804800,924,1804800,924,1804800,925,1804800,925,1804800,926,1804800,926,2208000,926,2208000
1017,0,1018,3,1017,5244172,1019,192552,174073,1026,3,1027,0,1028,1804800,1029,1804800,1030,1804800,1030,1804800,1031,1804800,1031,1804800,1032,2208000,1032,2208000
1117,0,1119,3,1118,5248676,1121,192552,174073,1126,3,1127,0,1127,1804800,1128,1804800,1128,1804800,1129,1804800,1129,1804800,1130,1804800,1130,2208000,1130,2208000
1218,0,1220,3,1218,5253340,1224,192552,174073,1228,3,1229,0,1230,1804800,1230,1804800,1231,1804800,1231,1804800,1232,1804800,1232,1804800,1233,2208000,1233,2208000
1318,0,1319,3,1318,5258452,1321,192552,174073,1325,3,1326,0,1326,1804800,1327,1804800,1327,1804800,1328,1804800,1329,1804800,1329,1804800,1330,2208000,1330,2208000
