Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
25,0,27,3,26,5228760,29,0,0,32,0,33,0,33,1804800,33,1804800,34,1804800,34,1804800,34,1804800,35,1804800,35,2208000,35,2208000
108,0,110,3,109,5231056,111,0,0,115,0,115,0,116,1804800,116,1804800,116,1804800,116,1804800,117,1804800,117,1804800,117,2208000,118,2208000
209,0,211,3,210,5232844,213,0,0,217,0,217,0,217,1804800,218,1804800,218,1804800,219,1804800,219,1804800,220,1804800,220,2208000,220,2208000
310,0,311,3,310,5234380,313,0,0,317,3,318,0,318,1804800,318,1804800,319,1804800,319,1804800,319,1804800,320,1804800,320,1248000,320,1248000
410,0,411,3,410,5236624,414,192552,163994,416,3,417,0,417,1804800,417,1804800,418,1804800,418,1804800,418,1804800,419,1804800,419,2208000,419,2208000
511,0,513,3,511,5239396,515,192552,163994,518,3,518,0,518,1804800,519,1804800,519,1804800,519,1804800,519,1804800,520,1804800,520,2208000,520,2208000
611,0,613,3,612,5242640,618,192552,163994,623,3,624,0,624,1804800,625,1804800,625,1804800,626,1804800,627,1804800,627,1804800,628,2208000,628,2208000
714,0,716,3,715,5246956,718,192552,163994,724,3,724,0,725,1804800,726,1804800,727,1804800,727,1804800,728,1804800,728,1804800,734,2208000,734,2208000
812,0,815,3,813,5247984,818,192552,163994,823,3,824,0,825,1804800,826,1804800,827,1804800,827,1804800,828,1804800,828,1804800,829,2208000,829,2208000
913,0,915,3,914,5249528,917,192552,163994,922,3,923,0,923,1804800,923,1804800,924,1804800,924,1804800,925,1804800,925,1804800,925,2208000,926,2208000
1014,0,1016,3,1014,5251008,1018,192552,163994,1021,3,1021,0,1022,1804800,1022,1804800,1022,1804800,1022,1804800,1023,1804800,1023,1804800,1023,1401600,1023,1401600
1114,0,1117,3,1115,5251764,1120,192552,163994,1125,3,1125,0,1126,1804800,1127,1804800,1127,1804800,1127,1804800,1128,1804800,1128,1804800,1129,2208000,1130,2208000
1215,0,1217,3,1215,5253952,1221,192552,163994,1226,3,1227,0,1228,1804800,1229,1804800,1230,1804800,1230,1804800,1231,1804800,1231,1804800,1232,2208000,1233,2208000
1315,0,1317,3,1316,5245952,1321,192552,163994,1325,3,1325,0,1326,1804800,1326,1804800,1326,1804800,1327,1804800,1327,1804800,1327,1516800,1327,1036800,1328,1036800
1416,0,1418,3,1417,5246228,1421,192552,163994,1425,4,1426,0,1426,1804800,1427,1804800,1427,1804800,1428,1804800,1428,1804800,1429,1804800,1429,1900800,1429,1900800
1518,0,1521,3,1520,5248456,1525,160265,131707,1536,4,1537,0,1538,1017600,1539,1017600,1539,1017600,1540,1017600,1540,1017600,1540,1017600,1541,787200,1542,787200
1620,0,1623,3,1621,5249212,1629,160265,131707,1634,4,1635,0,1636,1017600,1636,1017600,1637,1017600,1639,1017600,1639,1017600,1640,1017600,1641,1248000,1642,1900800
1719,0,1722,3,1720,5250976,1726,116200,87642,1735,4,1735,0,1736,1017600,1736,1017600,1737,1017600,1738,1017600,1738,1017600,1739,1017600,1739,2208000,1740,2208000
1820,0,1822,3,1821,5254788,1825,116200,87642,1828,4,1829,0,1829,1804800,1830,1804800,1830,1804800,1831,1804800,1831,1804800,1832,1804800,1832,2208000,1832,2208000
1921,0,1923,3,1922,5257812,1926,67197,38639,1931,4,1931,0,1932,1804800,1932,1804800,1933,1804800,1933,1804800,1934,1804800,1934,1804800,1935,2208000,1936,2208000
2022,0,2025,3,2023,5259072,2028,67197,38639,2033,4,2034,0,2034,1324800,2035,1324800,2035,1804800,2036,1804800,2037,1804800,2039,1804800,2040,2208000,2040,2208000
2123,0,2125,3,2124,5260936,2127,116200,87642,2131,4,2132,0,2132,1612800,2132,1612800,2133,1612800,2133,1612800,2134,1612800,2134,1612800,2135,2208000,2135,2208000
2224,0,2226,3,2225,5261844,2230,116200,87642,2236,4,2237,0,2237,768000,2238,768000,2239,768000,2239,768000,2240,768000,2240,768000,2240,787200,2241,787200
2326,0,2329,3,2327,5262568,2333,116200,87642,2342,4,2342,0,2343,1248000,2343,1248000,2344,1248000,2344,1248000,2345,1248000,2345,1248000,2346,787200,2346,787200
2425,0,2427,3,2426,5264412,2428,116200,87642,2439,10,2439,0,2441,1017600,2442,1248000,2442,1248000,2442,1248000,2443,1248000,2443,1248000,2444,787200,2445,787200
2528,0,2533,3,2531,5264696,2537,290501,261943,2546,10,2547,0,2548,1248000,2549,1248000,2550,1248000,2550,1248000,2551,1248000,2551,1248000,2552,787200,2552,787200
2628,0,2631,3,2629,5265208,2636,290501,261943,2642,10,2643,0,2644,1248000,2644,1248000,2645,1248000,2645,1248000,2645,1248000,2646,1248000,2646,787200,2646,787200
2728,0,2731,3,2730,5265428,2739,290501,261943,2746,10,2747,0,2748,768000,2750,768000,2751,768000,2752,768000,2752,768000,2753,768000,2753,787200,2754,787200
2829,0,2833,3,2830,5266216,2835,290501,261943,2838,10,2839,0,2839,1248000,2840,1248000,2840,1248000,2840,1248000,2841,1248000,2841,1248000,2841,787200,2842,787200
2931,0,2934,3,2932,5266720,2938,290501,261943,2944,10,2949,0,2950,576000,2951,576000,2951,576000,2952,576000,2953,576000,2953,576000,2954,787200,2955,787200
3031,0,3035,3,3032,5267476,3039,290501,261943,3046,10,3046,0,3047,576000,3048,576000,3049,576000,3049,576000,3050,576000,3051,576000,3051,787200,3052,787200
3132,0,3135,3,3133,5268232,3139,167994,139436,3145,10,3146,0,3147,576000,3148,576000,3148,576000,3149,576000,3150,576000,3151,576000,3151,787200,3152,787200
3232,0,3238,3,3234,5268736,3245,167994,139436,3256,10,3257,0,3258,576000,3259,576000,3260,576000,3262,1248000,3263,1248000,3264,1248000,3264,787200,3265,787200
3334,0,3337,3,3335,5268988,3341,167994,139436,3348,10,3348,0,3349,576000,3350,576000,3351,576000,3351,576000,3352,576000,3353,576000,3353,787200,3354,787200
3434,0,3437,3,3436,5273524,3440,167994,139436,3447,4,3448,0,3449,576000,3450,576000,3451,576000,3451,576000,3452,576000,3453,576000,3453,787200,3454,787200
3535,0,3537,3,3536,5274452,3545,67197,38639,3552,4,3553,0,3554,768000,3556,768000,3559,768000,3560,768000,3561,768000,3561,1248000,3562,787200,3562,787200
3636,0,3642,3,3639,5275208,3649,67197,38639,3656,4,3657,0,3658,576000,3660,576000,3661,576000,3662,1248000,3663,1248000,3663,1248000,3664,787200,3664,787200
3737,0,3739,3,3738,5276216,3743,67197,38639,3748,4,3749,0,3749,768000,3750,768000,3751,768000,3751,768000,3752,768000,3753,768000,3755,787200,3755,787200
3840,0,3843,3,3841,5276460,3850,67197,38639,3856,4,3857,0,3858,576000,3859,576000,3859,576000,3860,576000,3861,576000,3861,576000,3862,787200,3862,787200
