Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
26,0,28,3,27,5373232,29,0,0,31,0,31,0,32,1804800,32,1804800,32,1804800,32,1804800,33,1804800,33,1804800,33,2208000,33,2208000
115,0,117,3,116,5375264,120,0,0,123,0,124,0,124,1804800,125,1804800,125,1804800,126,1804800,126,1804800,126,1804800,127,2208000,127,2208000
215,0,217,3,216,5376492,218,0,0,220,3,221,0,221,1804800,222,1804800,222,1804800,222,1804800,223,1804800,223,1804800,223,1248000,223,1248000
316,0,317,3,316,5377652,319,192552,160634,322,3,323,0,323,1804800,323,1804800,323,1804800,324,1804800,324,1804800,324,1804800,324,1248000,324,1248000
417,0,418,3,417,5378692,420,192552,160634,424,3,424,0,425,1804800,425,1804800,426,1804800,426,1804800,426,1804800,426,1804800,426,1248000,427,1248000
517,0,519,3,518,5379448,521,192552,160634,524,3,524,0,524,1804800,525,1804800,525,1804800,525,1804800,526,1804800,526,1804800,526,1248000,526,1248000
617,0,619,3,618,5380424,621,192552,160634,624,3,624,0,624,1804800,625,1804800,625,1804800,625,1804800,625,1804800,626,1804800,626,1248000,626,1248000
718,0,719,3,718,5382252,720,192552,160634,722,3,722,0,722,1804800,723,1804800,723,1804800,723,1804800,723,1804800,723,1804800,724,1248000,724,1248000
819,0,820,3,819,5384220,822,192552,160634,825,3,826,0,826,1804800,826,1804800,826,1804800,827,1804800,827,1804800,827,1804800,827,1248000,827,1248000
919,0,920,3,920,5385024,922,192552,160634,925,3,925,0,926,1804800,926,1804800,926,1804800,927,1804800,927,1804800,927,1804800,928,1248000,928,1248000
1020,0,1022,3,1021,5385504,1024,192552,160634,1027,3,1028,0,1028,1804800,1029,1804800,1029,1804800,1029,1804800,1030,1804800,1030,1804800,1030,1248000,1030,1248000
1123,0,1125,3,1124,5387584,1126,192552,160634,1128,3,1128,0,1129,1804800,1129,1804800,1129,1804800,1129,1804800,1130,1804800,1130,1804800,1130,1248000,1130,1248000
1221,0,1223,3,1222,5377984,1226,192552,160634,1230,3,1230,0,1230,1804800,1231,1804800,1231,1804800,1231,1804800,1231,1804800,1232,1804800,1232,1036800,1232,1036800
