Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
23,0,25,3,24,5389968,26,0,0,28,0,28,0,29,1804800,29,1804800,29,1804800,29,1804800,30,1804800,30,1804800,30,2208000,30,2208000
108,0,111,3,109,5401056,116,0,0,120,0,120,0,121,1804800,122,1804800,123,1804800,123,1804800,124,1804800,124,1804800,124,2208000,124,2208000
208,0,209,3,208,5390344,211,0,0,213,0,214,0,214,1804800,214,1804800,214,1804800,215,1804800,215,1804800,215,1804800,215,1248000,216,1248000
309,0,310,3,309,5365704,312,0,0,314,0,314,0,314,1804800,315,1804800,315,1804800,315,1804800,316,1804800,316,1804800,316,1248000,316,1248000
409,0,411,3,410,5366784,414,0,0,419,0,420,0,420,1804800,421,1804800,422,1804800,422,1804800,423,1804800,423,1804800,424,2208000,425,2208000
510,0,512,3,511,5370000,516,0,0,522,0,522,0,523,1804800,523,1804800,524,1804800,524,1804800,525,1804800,525,1804800,526,2208000,527,2208000
610,0,612,3,611,5373936,615,0,0,624,0,624,0,625,1804800,625,1804800,626,1804800,626,1804800,627,1804800,627,1804800,628,2208000,628,2208000
711,0,713,3,712,5377072,716,0,0,721,0,721,0,722,1804800,722,1804800,722,1804800,723,1804800,723,1804800,723,1804800,724,2208000,724,2208000
811,0,813,3,812,5378088,816,0,0,820,0,820,0,821,1804800,821,1804800,822,1804800,822,1804800,823,1804800,823,1804800,823,2208000,824,2208000
912,0,913,3,912,5383488,915,0,0,919,0,919,0,919,1804800,920,1804800,920,1804800,921,1804800,921,1804800,921,1804800,921,2208000,922,2208000
