Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
32,0,34,3,33,5420272,37,192552,174073,41,3,42,0,42,1804800,43,1804800,44,1804800,44,1804800,44,1804800,45,1804800,45,2208000,45,2208000
112,0,114,3,113,5422792,117,192552,174073,121,3,121,0,122,1804800,122,1804800,123,1804800,123,1804800,124,1804800,124,1804800,125,2208000,125,2208000
214,0,216,3,215,5427588,220,192552,174073,224,3,225,0,225,1804800,226,1804800,226,1804800,227,1804800,227,1804800,228,1804800,228,2208000,229,2208000
318,0,320,3,319,5429880,324,192552,174073,330,3,330,0,331,1804800,332,1804800,333,1804800,333,1804800,334,1804800,335,1804800,339,2208000,340,2208000
419,0,421,3,419,5433092,424,192552,174073,428,3,429,0,430,1804800,430,1804800,432,1804800,433,1804800,434,1804800,434,1804800,435,2208000,435,2208000
519,0,521,3,520,5436872,524,192552,174073,528,3,529,0,529,1804800,530,1804800,530,1804800,531,1804800,531,1804800,532,1804800,532,2208000,533,2208000
620,0,622,3,621,5439676,625,192552,174073,630,3,631,0,631,1804800,632,1804800,632,1804800,632,1804800,633,1804800,633,1804800,634,2208000,634,2208000
722,0,724,3,722,5443172,728,192552,174073,733,3,734,0,734,1804800,735,1804800,735,1804800,736,1804800,737,1804800,737,1804800,737,2208000,738,2208000
822,0,823,3,822,5447564,826,192552,174073,830,3,831,0,831,1804800,832,1804800,832,1804800,833,1804800,833,1804800,833,1804800,833,2208000,834,2208000
923,0,925,3,923,5439444,929,192552,174073,935,3,936,0,937,1804800,937,1804800,938,1804800,938,1804800,939,1804800,939,1804800,940,1555200,940,1555200
1024,0,1027,3,1025,5443028,1031,192552,174073,1036,3,1036,0,1037,1804800,1038,1804800,1039,1804800,1039,1804800,1040,1804800,1040,1804800,1041,2208000,1041,2208000
1123,0,1125,3,1124,5448848,1129,192552,174073,1139,3,1140,0,1141,1804800,1143,1804800,1144,1804800,1144,1804800,1145,1804800,1145,1804800,1146,2208000,1147,2208000
1225,0,1227,3,1226,5445040,1233,192552,174073,1248,6,1248,0,1250,1804800,1254,1804800,1255,1804800,1257,1804800,1258,1804800,1259,1804800,1260,2208000,1261,2208000
1328,0,1330,3,1329,5440892,1335,385104,366625,1340,6,1341,0,1341,1804800,1342,1804800,1342,1804800,1342,1804800,1343,1804800,1344,1804800,1344,2208000,1344,2208000
1429,0,1431,3,1430,5442372,1434,385104,366625,1438,6,1438,0,1439,1516800,1440,1804800,1440,1804800,1441,1804800,1441,1804800,1441,1804800,1442,2208000,1442,2208000
1532,0,1536,3,1533,5443632,1541,385104,366625,1549,6,1550,0,1551,768000,1552,1248000,1553,1248000,1553,1248000,1554,1248000,1555,1248000,1555,787200,1556,787200
1632,0,1635,3,1633,5443876,1642,385104,366625,1648,6,1650,0,1651,1017600,1652,1324800,1653,1324800,1654,1324800,1654,1324800,1655,1324800,1655,787200,1656,787200
1732,0,1734,3,1733,5444940,1737,385104,366625,1746,6,1746,0,1747,1804800,1748,1804800,1749,1804800,1749,1804800,1750,1804800,1750,1804800,1751,1401600,1751,1401600
1833,0,1835,3,1834,5436832,1838,385104,366625,1842,6,1842,0,1843,1516800,1843,1516800,1844,1516800,1844,1516800,1845,1516800,1845,1516800,1845,1248000,1846,1248000
1933,0,1935,3,1934,5437628,1938,385104,366625,1942,6,1942,0,1943,1804800,1944,1804800,1944,1804800,1945,1804800,1945,1804800,1946,1804800,1946,2208000,1946,2208000
2034,0,2035,3,2034,5440224,2038,385104,366625,2042,6,2043,0,2043,1804800,2044,1804800,2044,1804800,2044,1804800,2044,1804800,2045,1804800,2045,2208000,2045,2208000
2135,0,2137,3,2136,5441436,2140,100796,82317,2145,6,2145,0,2146,1248000,2146,1248000,2147,1248000,2148,1248000,2148,1248000,2149,1248000,2149,2073600,2150,2073600
2238,0,2240,3,2239,5430360,2244,100796,82317,2249,6,2250,0,2250,1804800,2251,1804800,2251,1804800,2251,1804800,2252,1804800,2252,1804800,2252,2208000,2253,2208000
2337,0,2338,3,2337,5430272,2341,100796,82317,2345,6,2346,0,2346,1324800,2347,1324800,2348,1804800,2348,1017600,2349,1017600,2349,1017600,2350,2208000,2350,2208000
2438,0,2441,3,2439,5434212,2446,100796,82317,2453,6,2454,0,2454,1017600,2455,1017600,2456,1017600,2457,1017600,2457,1017600,2458,1017600,2458,787200,2459,979200
