Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
73,0,74,3,73,5360920,0,0,0,2,0,3,0,3,1804800,3,1804800,4,1804800,4,1804800,4,1804800,4,1804800,5,2208000,5,2208000
173,0,174,3,173,5362432,77,0,0,80,0,81,0,81,1804800,82,1804800,82,1804800,83,1804800,84,1804800,84,1804800,85,2208000,85,2208000
273,0,274,3,274,5364448,176,0,0,178,0,178,0,179,1804800,179,1804800,179,1804800,180,1804800,180,1804800,180,1804800,180,1248000,181,1248000
374,0,375,3,375,5365960,276,0,0,278,0,278,0,279,1804800,279,1804800,279,1804800,280,1804800,280,1804800,280,1804800,280,1248000,281,1248000
475,0,476,3,475,5371472,377,0,0,379,0,380,0,380,1804800,380,1804800,381,1804800,381,1804800,381,1804800,382,1804800,382,1248000,382,1248000
575,0,577,3,576,5378812,481,0,0,485,0,486,0,494,1804800,495,1804800,495,1804800,496,1804800,496,1804800,496,1804800,497,2208000,497,2208000
676,0,678,3,677,5384536,580,0,0,584,0,585,0,585,1804800,586,1804800,586,1804800,587,1804800,588,1804800,588,1804800,589,2208000,589,2208000
778,0,780,3,779,5384832,681,0,0,685,0,686,0,686,1804800,687,1804800,687,1804800,688,1804800,688,1804800,689,1804800,689,2208000,689,2208000
879,0,881,3,880,5386916,786,0,0,790,0,791,0,791,1804800,792,1804800,792,1804800,792,1804800,793,1804800,793,1804800,793,2208000,794,2208000
981,0,982,3,981,5370804,884,0,0,893,3,893,0,893,1804800,894,1804800,894,1804800,894,1804800,895,1804800,895,1804800,896,2208000,896,2208000
1081,0,1083,3,1082,5372668,987,192552,0,990,3,990,0,991,1804800,991,1804800,991,1804800,991,1804800,992,1804800,992,1804800,992,2208000,992,2208000
1182,0,1184,3,1183,5373948,1086,192552,0,1090,3,1091,0,1091,1804800,1091,1804800,1092,1804800,1092,1804800,1093,1804800,1093,1804800,1093,2208000,1094,2208000
1282,0,1284,3,1283,5376076,1187,192552,0,1191,3,1191,0,1191,1804800,1192,1804800,1192,1804800,1192,1804800,1193,1804800,1193,1804800,1193,2208000,1193,2208000
1385,0,1387,3,1386,5378484,1286,192552,0,1290,3,1290,0,1291,1804800,1291,1804800,1292,1804800,1292,1804800,1292,1804800,1293,1804800,1293,2208000,1293,2208000
1486,0,1488,3,1487,5380484,1389,192552,0,1393,3,1394,0,1395,1804800,1395,1804800,1395,1804800,1396,1804800,1396,1804800,1397,1804800,1397,2208000,1398,2208000
1586,0,1589,3,1587,5382216,1491,192552,0,1496,3,1496,0,1497,1017600,1497,1017600,1497,1017600,1498,1017600,1498,1017600,1499,1017600,1499,2208000,1500,2208000
1687,0,1689,3,1688,5387760,1594,192552,0,1599,3,1599,0,1600,1248000,1600,1248000,1601,1248000,1602,1248000,1603,1248000,1603,1248000,1604,2208000,1604,2208000
1790,0,1793,3,1792,5388980,1691,192552,0,1696,3,1696,0,1697,1248000,1697,1248000,1697,1248000,1698,1248000,1698,1248000,1699,1248000,1700,2208000,1700,2208000
1891,0,1893,3,1892,5392012,1796,120198,0,1800,3,1801,0,1801,1516800,1802,1516800,1803,1516800,1803,1516800,1803,1516800,1804,1516800,1804,2208000,1805,2208000
1992,0,1993,3,1992,5394248,1898,120198,0,1902,2,1903,0,1904,1248000,1904,1248000,1905,1248000,1906,1248000,1906,1804800,1907,1804800,1907,2208000,1908,2208000
2092,0,2094,3,2093,5397728,1996,80132,0,2000,2,2001,0,2001,1248000,2002,1248000,2002,1612800,2003,1612800,2003,1612800,2004,1612800,2004,1900800,2004,1900800
2193,0,2194,3,2193,5402704,2098,58100,0,2101,2,2101,0,2102,1804800,2102,1804800,2103,1804800,2103,1804800,2103,1804800,2104,1804800,2104,2208000,2105,2208000
2293,0,2296,3,2295,5405412,2197,58100,0,2201,2,2201,0,2202,1248000,2203,1248000,2203,1248000,2204,1248000,2204,1248000,2205,1804800,2205,2208000,2206,2208000
2394,0,2397,3,2395,5409916,2298,58100,0,2302,2,2303,0,2303,1017600,2303,1017600,2304,1017600,2304,1017600,2305,1017600,2305,1017600,2305,2208000,2306,2208000
2495,0,2497,3,2496,5414232,2400,33598,0,2405,2,2406,0,2407,768000,2408,768000,2408,768000,2408,768000,2409,768000,2409,768000,2410,2208000,2410,2208000
2596,0,2598,3,2597,5418012,2501,33598,0,2508,2,2508,0,2509,768000,2510,768000,2510,768000,2511,768000,2512,768000,2512,768000,2513,2208000,2513,2208000
2699,0,2700,3,2700,5423052,2601,33598,0,2605,2,2605,0,2606,768000,2606,768000,2607,768000,2607,768000,2608,768000,2608,768000,2609,2208000,2609,2208000
2797,0,2799,3,2797,5424312,2702,33598,0,2706,0,2707,0,2707,1248000,2707,1248000,2708,1248000,2708,1248000,2708,1248000,2708,1248000,2709,2208000,2709,2208000
2897,0,2899,3,2898,5426580,2801,0,0,2809,0,2810,0,2811,768000,2811,768000,2812,768000,2812,768000,2812,768000,2813,768000,2813,2208000,2814,2208000
3000,0,3001,3,3000,5429604,2902,0,0,2906,0,2907,0,2907,768000,2908,768000,2908,768000,2910,768000,2911,768000,2911,768000,2912,2208000,2912,2208000
3101,0,3103,3,3102,5433600,3004,0,0,3008,0,3008,0,3009,768000,3009,768000,3010,768000,3012,768000,3012,768000,3013,768000,3013,2208000,3013,2208000
3204,0,3206,3,3205,5434528,3105,0,0,3109,4,3109,0,3110,1804800,3110,1804800,3111,1804800,3111,1804800,3113,1804800,3113,1516800,3113,2208000,3114,2208000
3303,0,3305,3,3304,5438332,3209,67197,0,3215,4,3215,0,3216,1248000,3216,1248000,3216,1248000,3217,1248000,3217,1248000,3217,1248000,3218,2208000,3218,2208000
3404,0,3405,3,3404,5409552,3310,67197,0,3314,4,3315,0,3316,1804800,3317,1804800,3317,1804800,3318,1804800,3319,1804800,3319,1804800,3320,979200,3320,979200
3504,0,3505,3,3504,5414364,3409,67197,0,3413,4,3414,0,3415,1017600,3415,1017600,3416,1017600,3416,1017600,3417,1017600,3417,1017600,3417,2208000,3418,2208000
3605,0,3607,3,3606,5415924,3507,67197,0,3511,4,3512,0,3512,1804800,3513,1804800,3513,1804800,3513,1804800,3513,1804800,3514,1804800,3514,2208000,3514,2208000
3705,0,3706,3,3706,5416388,3612,67197,0,3617,4,3618,0,3618,768000,3619,768000,3619,768000,3620,768000,3620,768000,3621,768000,3621,2208000,3621,2208000
3806,0,3808,3,3807,5417612,3707,67197,0,3710,4,3711,0,3711,1804800,3712,1804800,3712,1804800,3712,1804800,3713,1804800,3713,1804800,3713,2208000,3714,2208000
3906,0,3908,3,3907,5422352,3810,67197,0,3815,4,3815,0,3816,1804800,3816,1804800,3817,1804800,3817,1804800,3817,1804800,3817,1804800,3818,1555200,3818,1555200
4008,0,4010,3,4009,5416584,3912,67197,0,3918,4,3918,0,3919,1804800,3919,1804800,3920,1804800,3921,1804800,3921,1804800,3922,1804800,3922,2208000,3923,2208000
4108,0,4111,3,4109,5416996,4015,67197,0,4020,4,4020,0,4021,768000,4021,768000,4022,768000,4022,768000,4023,768000,4023,768000,4024,787200,4024,787200
4210,0,4212,3,4211,5417216,4116,67197,0,4120,4,4121,0,4121,768000,4122,768000,4122,768000,4123,768000,4123,768000,4124,768000,4125,787200,4126,787200
4313,0,4316,3,4314,5417480,4216,67197,0,4220,7,4221,0,4222,768000,4222,768000,4223,768000,4223,768000,4224,768000,4225,768000,4225,787200,4226,787200
4413,0,4416,3,4414,5417548,4318,117595,0,4322,7,4322,0,4323,1248000,4324,1248000,4324,1248000,4325,1248000,4325,1248000,4325,1248000,4326,787200,4326,787200
4513,0,4516,3,4515,5419068,4420,117595,0,4425,7,4426,0,4427,768000,4428,768000,4429,768000,4429,768000,4430,768000,4431,768000,4431,787200,4432,787200
4617,0,4620,3,4618,5420044,4519,117595,0,4524,7,4525,0,4525,1017600,4526,1017600,4527,1017600,4527,1017600,4527,1017600,4528,1017600,4528,787200,4529,787200
,,,,,,4622,117595,0,,,,,,,,,,,,,,,,,,,,
