Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
30,0,31,3,31,5302620,33,192552,162314,35,3,35,0,35,1804800,36,1804800,36,1804800,36,1804800,36,1804800,36,1804800,37,2208000,37,2208000
114,0,116,3,115,5304352,119,192552,162314,122,3,123,0,123,1804800,124,1804800,124,1804800,124,1804800,124,1804800,125,1804800,125,2208000,125,2208000
214,0,216,3,215,5305616,217,192552,162314,220,3,221,0,221,1804800,222,1804800,222,1804800,222,1804800,223,1804800,223,1804800,223,1248000,224,1248000
315,0,317,3,316,5307316,318,192552,162314,321,3,321,0,322,1804800,322,1804800,322,1804800,323,1804800,323,1804800,323,1804800,324,1248000,324,1248000
416,0,417,3,416,5296972,419,192552,162314,422,3,422,0,423,1804800,423,1804800,424,1804800,424,1804800,424,1804800,424,1804800,425,1248000,425,1248000
516,0,517,3,517,5298400,519,192552,162314,521,3,522,0,522,1804800,523,1804800,523,1804800,524,1804800,524,1804800,524,1804800,525,1248000,525,1248000
616,0,618,3,617,5300816,620,192552,162314,624,3,624,0,625,1804800,625,1804800,626,1804800,626,1804800,626,1804800,626,1804800,627,2208000,627,2073600
718,0,720,3,719,5302864,722,192552,162314,726,3,727,0,727,1804800,728,1804800,728,1804800,728,1804800,729,1804800,729,1804800,730,2208000,730,2208000
819,0,820,3,819,5308872,823,192552,162314,827,3,827,0,828,1804800,828,1804800,829,1804800,829,1804800,829,1804800,830,1804800,830,2208000,831,2208000
919,0,921,3,920,5314088,924,192552,162314,927,3,928,0,928,1804800,929,1804800,929,1804800,930,1804800,930,1804800,931,1804800,931,2208000,932,2208000
1020,0,1022,3,1020,5316856,1025,192552,162314,1029,3,1030,0,1031,1804800,1031,1804800,1032,1804800,1033,1804800,1034,1804800,1035,1804800,1036,2208000,1036,2208000
1120,0,1122,3,1121,5319952,1125,192552,162314,1129,3,1129,0,1130,1804800,1130,1804800,1131,1804800,1131,1804800,1132,1804800,1132,1804800,1132,1900800,1132,1900800
1221,0,1224,3,1222,5314220,1227,192552,162314,1233,3,1234,0,1234,1804800,1235,1804800,1236,1804800,1236,1804800,1237,1804800,1237,1804800,1238,2208000,1239,2208000
1322,0,1324,3,1323,5315732,1326,192552,162314,1331,3,1332,0,1332,1804800,1333,1804800,1333,1804800,1333,1804800,1333,1804800,1334,1804800,1334,1036800,1334,1036800
1422,0,1424,3,1423,5315700,1426,192552,162314,1431,3,1431,0,1431,1804800,1432,1804800,1432,1804800,1432,1804800,1433,1804800,1433,1804800,1433,1036800,1433,1036800
1524,0,1527,3,1525,5315652,1531,50398,20160,1539,3,1540,0,1541,768000,1542,768000,1543,768000,1543,768000,1544,768000,1544,768000,1545,787200,1546,787200
1625,0,1632,3,1628,5315784,1637,50398,20160,1651,3,1652,0,1653,1248000,1653,1248000,1654,1248000,1654,1248000,1655,1248000,1656,1248000,1656,787200,1656,787200
1726,0,1729,3,1727,5316272,1732,50398,20160,1740,3,1740,0,1741,1017600,1743,1017600,1743,1017600,1744,1017600,1744,1017600,1745,1017600,1745,787200,1745,787200
1828,0,1834,3,1829,5317060,1846,50398,20160,1850,3,1852,0,1852,1248000,1853,1248000,1853,1248000,1854,1248000,1854,1248000,1855,1248000,1855,787200,1855,787200
1928,0,1931,3,1929,5317100,1941,50398,20160,1947,3,1948,0,1949,1248000,1949,1248000,1949,1248000,1950,1248000,1950,1248000,1951,1248000,1951,787200,1951,787200
2029,0,2033,3,2031,5318108,2037,50398,20160,2046,3,2047,0,2048,1248000,2049,1248000,2049,1248000,2050,1248000,2051,1248000,2051,1248000,2052,787200,2052,787200
2131,0,2134,3,2132,5318360,2138,50398,20160,2145,3,2145,0,2146,576000,2147,768000,2147,768000,2148,768000,2149,768000,2149,768000,2150,787200,2150,787200
2231,0,2234,3,2233,5318612,2237,50398,20160,2244,4,2244,0,2245,576000,2246,576000,2247,768000,2247,768000,2248,768000,2248,768000,2249,787200,2250,787200
2333,0,2341,3,2334,5319896,2345,67197,36959,2352,4,2353,0,2353,768000,2354,768000,2355,768000,2355,768000,2356,768000,2356,768000,2357,787200,2357,787200
2434,0,2437,3,2435,5320376,2443,67197,36959,2450,4,2451,0,2452,768000,2453,768000,2453,768000,2455,768000,2455,768000,2456,768000,2456,787200,2457,787200
