Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
25,0,27,3,25,5386956,30,0,0,35,0,35,0,36,1804800,36,1804800,37,1804800,37,1804800,37,1804800,38,1804800,38,2208000,39,2208000
108,0,110,3,109,5391420,113,0,0,116,0,117,0,118,1804800,118,1804800,119,1804800,119,1804800,120,1804800,120,1804800,121,2208000,121,2208000
208,0,210,3,209,5398992,213,0,0,218,0,218,0,219,1804800,220,1804800,220,1804800,221,1804800,221,1804800,222,1804800,222,2208000,223,2208000
308,0,310,3,309,5404440,312,0,0,317,0,317,0,317,1804800,318,1804800,318,1804800,318,1804800,319,1804800,319,1804800,319,2208000,320,2208000
409,0,410,3,409,5409480,413,0,0,417,2,418,0,418,1804800,419,1804800,420,1804800,420,1804800,421,1804800,421,1804800,422,2208000,422,2208000
510,0,511,3,510,5415528,514,128368,109889,518,2,518,0,519,1804800,519,1804800,520,1804800,520,1804800,520,1804800,520,1804800,521,2208000,521,2208000
610,0,613,3,611,5447580,624,128368,109889,633,2,634,0,635,1804800,636,1804800,636,1804800,637,1804800,637,1804800,637,1804800,638,2208000,639,2208000
711,0,713,3,711,5423500,718,128368,109889,722,2,722,0,723,1804800,723,1804800,723,1804800,724,1804800,725,1804800,725,1804800,725,2208000,726,2208000
811,0,813,3,812,5428540,815,128368,109889,818,2,819,0,819,1804800,820,1804800,820,1804800,820,1804800,820,1804800,821,1804800,821,2208000,821,2208000
912,0,913,3,912,5432824,917,128368,109889,922,2,923,0,923,1804800,924,1804800,925,1804800,925,1804800,926,1804800,926,1804800,927,2208000,927,2208000
1012,0,1014,3,1013,5433580,1016,128368,109889,1019,2,1020,0,1020,1804800,1020,1804800,1021,1804800,1021,1804800,1021,1804800,1021,1804800,1022,2208000,1022,2208000
1113,0,1115,3,1113,5436352,1117,128368,109889,1120,2,1121,0,1121,1804800,1122,1804800,1122,1804800,1123,1804800,1123,1804800,1124,1804800,1124,2208000,1124,2208000
1213,0,1215,3,1214,5430608,1217,128368,109889,1220,2,1221,0,1221,1804800,1222,1804800,1222,1804800,1222,1804800,1223,1804800,1223,1804800,1224,2208000,1224,2208000
1314,0,1316,3,1315,5434800,1319,128368,109889,1324,2,1324,0,1325,1804800,1325,1804800,1326,1804800,1326,1804800,1327,1804800,1327,1804800,1328,2208000,1328,2208000
1414,0,1416,3,1415,5435396,1419,33598,15119,1422,2,1423,0,1423,1248000,1424,1248000,1425,1248000,1425,1248000,1426,1248000,1426,1804800,1427,2208000,1427,2208000
1515,0,1517,3,1516,5437748,1521,33598,15119,1526,2,1527,0,1527,1017600,1528,1017600,1529,1017600,1529,1017600,1530,1017600,1530,1017600,1530,2208000,1531,2208000
1616,0,1618,3,1616,5440520,1620,33598,15119,1627,2,1627,0,1628,1017600,1628,1017600,1629,1017600,1629,1017600,1629,1017600,1630,1017600,1630,2208000,1630,2208000
1716,0,1719,3,1717,5445056,1723,33598,15119,1728,2,1729,0,1729,1017600,1730,1017600,1730,1017600,1731,1017600,1732,1804800,1733,1017600,1733,2208000,1734,2208000
1817,0,1820,3,1818,5439016,1823,33598,15119,1829,2,1829,0,1830,1612800,1831,1612800,1832,1612800,1832,1612800,1833,1612800,1833,1612800,1834,2208000,1834,2208000
1918,0,1921,3,1919,5440672,1926,33598,15119,1937,2,1937,0,1938,1248000,1938,1248000,1939,1248000,1940,1248000,1940,1248000,1941,1248000,1942,2208000,1943,2208000
2018,0,2021,3,2020,5441820,2025,33598,15119,2031,2,2032,0,2033,768000,2033,768000,2034,768000,2034,768000,2035,1248000,2035,1248000,2036,2208000,2036,2208000
2120,0,2121,3,2120,5444316,2125,33598,15119,2129,2,2130,0,2130,1017600,2131,1017600,2131,1017600,2132,1017600,2132,1017600,2132,1017600,2133,2208000,2133,2208000
