Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
27,0,29,3,28,5282544,31,192552,156498,34,3,35,0,35,1804800,36,1804800,36,1804800,37,1804800,37,1804800,37,1804800,38,2208000,39,2208000
110,0,112,3,111,5285868,115,192552,156498,120,0,121,0,121,1804800,122,1804800,122,1804800,123,1804800,123,1804800,124,1804800,124,2208000,125,2208000
210,0,212,3,211,5289264,215,0,0,227,0,228,0,229,1804800,229,1804800,230,1804800,231,1804800,238,1804800,239,1804800,239,2208000,240,2208000
311,0,313,3,312,5292916,314,0,0,317,0,318,0,319,1804800,319,1804800,319,1804800,319,1804800,320,1804800,320,1804800,320,2208000,320,2208000
412,0,414,3,412,5294680,418,0,0,423,0,424,0,424,1804800,425,1804800,426,1804800,426,1804800,427,1804800,427,1804800,428,1766400,428,2208000
513,0,515,3,513,5296404,518,0,0,523,0,523,0,524,1804800,524,1804800,525,1804800,525,1804800,526,1804800,526,1804800,527,2208000,528,2208000
613,0,615,3,614,5300160,619,0,0,624,0,625,0,626,1804800,626,1804800,627,1804800,627,1804800,627,1804800,628,1804800,629,2208000,629,2208000
713,0,715,3,714,5302932,717,0,0,722,0,722,0,723,1804800,723,1804800,724,1804800,724,1804800,725,1804800,725,1804800,726,2208000,726,2208000
814,0,816,3,814,5305720,819,0,0,823,0,824,0,824,1804800,825,1804800,825,1804800,826,1804800,826,1804800,826,1804800,827,1248000,827,1248000
915,0,916,3,915,5309720,918,0,0,921,0,922,0,922,1804800,923,1804800,923,1804800,923,1804800,924,1804800,924,1804800,924,1248000,924,1248000
1015,0,1017,3,1016,5310540,1019,0,0,1022,0,1022,0,1022,1804800,1023,1804800,1023,1804800,1023,1804800,1023,1804800,1024,1804800,1024,1248000,1024,1248000
1115,0,1117,3,1116,5312020,1120,0,0,1126,4,1127,0,1127,1804800,1127,1804800,1128,1804800,1128,1804800,1129,1804800,1129,1804800,1129,1248000,1130,1248000
1217,0,1220,3,1218,5312556,1224,256736,220682,1229,4,1230,0,1230,1804800,1230,1804800,1230,1804800,1230,1804800,1231,1804800,1231,1804800,1231,1036800,1231,1036800
1317,0,1319,3,1318,5304160,1323,256736,220682,1327,4,1327,0,1327,1804800,1328,1804800,1328,1804800,1328,1804800,1329,1804800,1329,1804800,1329,1036800,1330,1036800
1417,0,1419,3,1418,5305200,1421,256736,220682,1424,4,1424,0,1425,1248000,1425,1248000,1426,1248000,1426,1248000,1426,1248000,1427,1248000,1427,1036800,1427,1036800
1519,0,1521,3,1520,5305120,1525,256736,220682,1530,4,1530,0,1531,1248000,1531,1248000,1531,1248000,1532,1248000,1532,1248000,1532,1248000,1533,787200,1533,787200
1619,0,1622,3,1621,5301160,1624,256736,220682,1629,4,1629,0,1630,1248000,1630,1248000,1631,1248000,1631,1248000,1631,1248000,1632,1248000,1632,787200,1633,787200
1720,0,1723,3,1721,5301612,1726,256736,220682,1732,4,1733,0,1734,768000,1735,768000,1735,768000,1736,768000,1736,768000,1737,768000,1738,787200,1738,787200
1822,0,1826,3,1823,5301980,1830,256736,220682,1835,4,1835,0,1836,1017600,1836,1017600,1837,1017600,1837,1248000,1838,1248000,1838,1248000,1838,787200,1839,787200
1924,0,1928,3,1926,5302820,1933,256736,220682,1940,4,1941,0,1941,1248000,1942,1248000,1942,1248000,1943,1248000,1943,1248000,1944,1248000,1944,787200,1946,787200
2024,0,2027,3,2025,5303096,2033,256736,220682,2040,4,2041,0,2042,1248000,2042,1248000,2043,1248000,2043,1248000,2044,1248000,2044,1248000,2044,787200,2046,787200
2125,0,2128,3,2126,5303568,2133,256736,220682,2142,2,2143,0,2143,768000,2144,768000,2145,768000,2146,768000,2146,768000,2147,768000,2149,787200,2149,787200
2226,0,2228,3,2227,5304576,2232,128368,92314,2240,2,2240,0,2241,1248000,2242,1248000,2242,1248000,2242,1248000,2243,1248000,2243,1248000,2243,787200,2244,787200
2326,0,2331,3,2327,5304656,2337,128368,92314,2342,2,2343,0,2344,1017600,2345,1017600,2345,1017600,2346,1017600,2346,1017600,2347,1017600,2348,787200,2348,787200
2430,0,2432,3,2431,5305160,2437,128368,92314,2442,2,2442,0,2443,1248000,2443,1248000,2444,1248000,2444,1248000,2444,1248000,2445,1248000,2445,787200,2445,787200
2531,0,2534,3,2532,5305436,2539,128368,92314,2544,2,2545,0,2545,1248000,2546,1248000,2546,1248000,2547,1248000,2547,1248000,2547,1248000,2547,787200,2548,787200
2632,0,2637,3,2634,5305744,2641,80132,44078,2647,2,2649,0,2650,768000,2651,768000,2652,768000,2653,768000,2654,768000,2655,768000,2656,787200,2657,787200
2733,0,2736,3,2734,5306248,2740,80132,44078,2746,2,2746,0,2747,768000,2747,768000,2748,768000,2748,768000,2749,768000,2749,768000,2750,787200,2750,787200
2836,0,2840,3,2838,5307404,2846,58100,22046,2852,2,2853,0,2854,1017600,2855,1017600,2855,1017600,2855,1017600,2856,1017600,2856,1017600,2857,787200,2858,787200
2936,0,2940,3,2938,5307964,2945,58100,22046,2954,2,2954,0,2955,1017600,2955,1017600,2956,1017600,2957,1017600,2957,1324800,2959,1324800,2960,787200,2960,787200
3037,0,3040,3,3038,5308720,3045,33598,0,3061,2,3062,0,3063,1248000,3064,1248000,3064,1248000,3065,1248000,3066,1248000,3067,1248000,3067,787200,3067,787200
3138,0,3140,3,3139,5309248,3147,33598,0,3153,3,3154,0,3155,576000,3156,576000,3157,576000,3158,1248000,3158,1248000,3158,1248000,3159,787200,3159,787200
3239,0,3242,3,3241,5310004,3247,50398,14344,3256,3,3256,0,3257,768000,3258,1248000,3258,1248000,3258,1248000,3259,1248000,3259,1248000,3259,787200,3260,787200
3339,0,3343,3,3340,5310328,3349,50398,14344,3358,3,3359,0,3359,1248000,3360,1248000,3360,1248000,3361,1248000,3361,1248000,3362,1248000,3362,1555200,3363,1555200
3440,0,3442,3,3441,5287900,3447,50398,14344,3452,3,3453,0,3454,768000,3455,768000,3455,768000,3456,768000,3457,768000,3457,768000,3458,787200,3458,787200
3541,0,3544,3,3542,5291176,3549,50398,14344,3558,3,3558,0,3559,1248000,3559,1248000,3560,1248000,3560,1248000,3560,1248000,3561,1248000,3561,787200,3562,787200
3641,0,3644,3,3642,5291452,3648,50398,14344,3654,3,3655,0,3656,768000,3656,768000,3657,768000,3658,1248000,3658,1248000,3658,1248000,3659,787200,3659,787200
3742,0,3745,3,3743,5292176,3752,50398,14344,3759,3,3760,0,3760,1017600,3761,1017600,3761,1017600,3762,1017600,3762,1017600,3762,1017600,3763,787200,3763,787200
3843,0,3844,3,3843,5295104,3846,50398,14344,3852,3,3852,0,3853,1516800,3853,1516800,3853,1516800,3857,1516800,3857,1516800,3858,1804800,3858,787200,3858,787200
