Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
78,0,80,3,79,5249448,83,0,0,1,0,1,0,1,1804800,2,1804800,2,1804800,2,1804800,3,1804800,3,1804800,3,2208000,4,2208000
178,0,180,3,179,5249308,183,0,0,88,0,88,0,88,1804800,89,1804800,89,1804800,89,1804800,90,1804800,90,1804800,90,2208000,91,2208000
280,0,282,3,280,5249092,287,0,0,189,0,189,0,190,1804800,192,1804800,192,1804800,193,1804800,193,1804800,194,1804800,194,2208000,195,2208000
380,0,382,3,380,5251856,387,0,0,290,0,291,0,291,1804800,292,1804800,292,1804800,292,1804800,293,1804800,293,1804800,294,2208000,294,2208000
482,0,484,3,483,5255280,487,0,0,391,0,392,0,394,1804800,394,1804800,396,1804800,397,1804800,397,1804800,397,1804800,398,2208000,398,2208000
584,0,586,3,585,5258272,589,128368,0,491,2,492,0,492,1804800,493,1804800,493,1804800,494,1804800,494,1804800,495,1804800,495,2208000,495,2208000
685,0,687,3,686,5251668,690,128368,0,593,2,593,0,594,1804800,595,1804800,595,1804800,595,1804800,596,1804800,596,1804800,597,2208000,597,2208000
785,0,787,3,786,5255264,790,128368,0,696,2,697,0,697,1804800,698,1804800,699,1804800,700,1804800,701,1804800,702,1804800,703,2208000,704,2208000
886,0,888,3,887,5258548,891,128368,0,795,2,796,0,796,1804800,797,1804800,797,1804800,798,1804800,799,1804800,799,1804800,800,2208000,800,2208000
987,0,988,3,987,5261548,989,128368,0,895,2,895,0,895,1804800,896,1804800,896,1804800,896,1804800,897,1804800,897,1804800,897,2208000,897,2208000
1091,0,1094,3,1092,5268660,1099,128368,0,992,2,992,0,992,1804800,993,1804800,993,1804800,993,1804800,993,1804800,993,1804800,994,2208000,994,2208000
1189,0,1191,3,1189,5277432,1194,128368,0,1105,2,1106,0,1107,1804800,1108,1804800,1108,1804800,1109,1804800,1109,1804800,1110,1804800,1110,2208000,1111,2208000
1290,0,1293,3,1291,5283792,1297,128368,0,1197,2,1197,0,1199,1804800,1199,1804800,1200,1804800,1201,1804800,1202,1804800,1203,1804800,1204,2073600,1205,2073600
1389,0,1391,3,1390,5286832,1394,80132,0,1301,2,1302,0,1303,1804800,1303,1804800,1304,1804800,1304,1804800,1304,1804800,1305,1804800,1305,2208000,1306,2208000
1490,0,1492,3,1491,5290300,1494,80132,0,1397,2,1397,0,1397,1804800,1398,1804800,1398,1804800,1399,1804800,1399,1804800,1399,1804800,1400,2208000,1400,2208000
1591,0,1592,3,1591,5285964,1595,120198,0,1498,3,1499,0,1500,1324800,1500,1324800,1501,1324800,1501,1324800,1501,1324800,1502,1324800,1502,2208000,1503,2208000
1693,0,1695,3,1693,5286012,1697,120198,0,1599,3,1599,0,1600,1516800,1600,1516800,1600,1516800,1601,1516800,1601,1516800,1601,1516800,1602,2208000,1602,2208000
1794,0,1796,3,1795,5288028,1801,87150,0,1702,3,1703,0,1703,1017600,1704,1017600,1704,1017600,1705,1017600,1705,1017600,1706,1017600,1706,2208000,1707,2208000
