Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
20,0,21,3,20,5319880,23,0,0,25,0,25,0,26,1804800,26,1804800,26,1804800,27,1804800,27,1804800,27,1804800,27,2208000,28,2208000
107,0,108,3,107,5322148,110,0,0,113,0,114,0,114,1804800,114,1804800,115,1804800,115,1804800,115,1804800,116,1804800,116,2208000,116,2208000
207,0,209,3,208,5325232,211,0,0,214,0,215,0,215,1804800,216,1804800,216,1804800,216,1804800,217,1804800,217,1804800,218,2208000,218,2208000
308,0,309,3,308,5328800,312,0,0,316,0,316,0,317,1804800,317,1804800,317,1804800,318,1804800,318,1804800,318,1804800,319,2208000,319,2208000
408,0,410,3,409,5338456,412,0,0,416,0,417,0,417,1804800,418,1804800,418,1804800,419,1804800,419,1804800,420,1804800,420,2208000,421,2208000
509,0,510,3,509,5339828,513,0,0,517,0,517,0,518,1804800,518,1804800,519,1804800,519,1804800,520,1804800,520,1804800,521,2208000,521,2208000
609,0,611,3,610,5345360,614,0,0,618,0,618,0,619,1804800,619,1804800,620,1804800,621,1804800,621,1804800,622,1804800,622,2208000,623,2208000
710,0,712,3,711,5350288,722,0,0,733,0,735,0,736,1804800,736,1804800,737,1804800,738,1804800,739,1804800,740,1804800,740,2208000,741,2208000
811,0,813,3,811,5353160,819,0,0,827,0,828,0,828,1804800,830,1804800,831,1804800,833,1804800,834,1804800,835,1804800,835,2208000,836,2208000
961,0,964,3,962,5356204,969,0,0,975,5,976,0,976,1804800,977,1804800,978,1804800,978,1804800,979,1804800,979,1804800,980,2131200,980,2208000
1011,0,1013,3,1012,5357184,1016,320920,84216,1020,5,1021,0,1021,1804800,1022,1804800,1022,1804800,1022,1804800,1023,1804800,1023,1804800,1024,2208000,1024,2208000
1112,0,1114,3,1112,5352404,1116,320920,84216,1121,5,1121,0,1122,1804800,1122,1804800,1123,1804800,1123,1804800,1123,1804800,1124,1804800,1124,2208000,1124,2208000
1213,0,1214,3,1213,5353364,1217,320920,84216,1221,5,1222,0,1222,1804800,1223,1804800,1224,1804800,1224,1804800,1225,1804800,1225,1804800,1225,2208000,1225,2208000
1313,0,1314,3,1313,5356812,1317,320920,84216,1322,5,1322,0,1323,1804800,1323,1804800,1324,1804800,1324,1804800,1325,1804800,1325,1804800,1325,2208000,1326,2208000
1413,0,1415,3,1414,5360640,1418,200331,0,1422,5,1423,0,1423,1804800,1424,1804800,1424,1804800,1427,1804800,1429,1804800,1432,1804800,1433,1766400,1433,1900800
1517,0,1519,3,1518,5366188,1522,145250,0,1529,5,1530,0,1530,1804800,1531,1804800,1531,1804800,1532,1804800,1535,1804800,1536,1804800,1536,2208000,1537,2208000
