Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
27,0,29,3,28,5320424,31,0,0,34,0,35,0,35,1804800,35,1804800,35,1804800,36,1804800,36,1804800,36,1804800,36,2208000,36,2208000
111,0,113,3,112,5323244,118,0,0,123,3,123,0,124,1804800,124,1804800,125,1804800,125,1804800,126,1804800,126,1804800,126,2208000,126,2208000
211,0,213,3,212,5332324,219,192552,172393,227,3,228,0,228,1804800,229,1804800,230,1804800,231,1804800,231,1804800,232,1804800,232,2208000,233,2208000
312,0,313,3,312,5333844,317,192552,172393,322,3,323,0,323,1804800,324,1804800,324,1804800,325,1804800,326,1804800,326,1804800,327,2208000,327,2208000
412,0,415,3,413,5339308,419,192552,172393,430,3,431,0,431,1804800,432,1804800,432,1804800,433,1804800,433,1804800,434,1804800,434,2208000,434,2208000
514,0,516,3,515,5342568,518,192552,172393,522,3,522,0,523,1804800,523,1804800,524,1804800,524,1804800,524,1804800,525,1804800,525,2208000,526,2208000
613,0,615,3,614,5344824,619,192552,172393,628,3,628,0,629,1804800,630,1804800,631,1804800,632,1804800,632,1804800,633,1804800,634,2208000,634,2208000
714,0,716,3,715,5347580,718,192552,172393,722,3,724,0,725,1804800,725,1804800,726,1804800,726,1804800,727,1804800,727,1804800,727,2208000,727,2208000
814,0,817,3,815,5355372,822,192552,172393,826,3,826,0,827,1804800,828,1804800,828,1804800,829,1804800,829,1804800,830,1804800,830,2208000,831,2208000
915,0,916,3,915,5357868,917,192552,172393,920,3,921,0,921,1804800,922,1804800,922,1804800,922,1804800,923,1804800,923,1804800,923,2208000,923,2208000
1015,0,1017,3,1016,5362152,1019,192552,172393,1023,3,1024,0,1025,1804800,1026,1804800,1026,1804800,1027,1804800,1027,1804800,1028,1804800,1028,2208000,1028,2208000
1116,0,1117,3,1116,5354928,1120,192552,172393,1124,3,1125,0,1125,1804800,1126,1804800,1126,1804800,1127,1804800,1127,1804800,1127,1804800,1128,2208000,1128,2208000
1216,0,1218,3,1217,5355628,1220,192552,172393,1224,5,1224,0,1225,1804800,1225,1804800,1226,1804800,1226,1804800,1227,1804800,1227,1804800,1228,2208000,1228,2208000
1317,0,1318,3,1317,5357144,1321,320920,300761,1325,5,1325,0,1326,1804800,1326,1804800,1327,1804800,1327,1804800,1328,1804800,1328,1804800,1329,2131200,1329,2131200
1417,0,1419,3,1418,5347264,1421,320920,300761,1425,5,1426,0,1426,1804800,1427,1804800,1427,1804800,1427,1804800,1428,1804800,1428,1804800,1429,2208000,1429,2208000
1519,0,1521,3,1520,5357268,1524,83997,63838,1527,5,1528,0,1528,1804800,1529,1804800,1529,1804800,1530,1804800,1530,1248000,1531,1248000,1531,2208000,1532,2208000
1620,0,1622,3,1620,5362356,1625,83997,63838,1628,5,1629,0,1629,1516800,1630,1516800,1630,1516800,1631,1516800,1631,1516800,1631,1516800,1632,2208000,1632,2208000
1721,0,1723,3,1722,5364828,1725,83997,63838,1729,5,1731,0,1731,1804800,1732,1612800,1732,1612800,1733,1612800,1733,1612800,1733,1804800,1734,2208000,1734,2208000
1821,0,1823,3,1822,5366560,1825,83997,63838,1828,5,1829,0,1829,1804800,1829,1804800,1830,1804800,1830,1804800,1830,1804800,1830,1804800,1831,2208000,1831,2208000
1922,0,1924,3,1922,5368560,1927,83997,63838,1934,5,1934,0,1935,1248000,1935,1248000,1936,1248000,1936,1248000,1936,1248000,1939,1248000,1940,2208000,1941,1766400
2022,0,2024,3,2023,5369928,2027,83997,63838,2031,5,2032,0,2032,1248000,2033,1248000,2033,1248000,2034,1248000,2034,1248000,2035,1248000,2035,2208000,2035,2208000
2123,0,2125,3,2124,5372280,2127,83997,63838,2131,5,2131,0,2131,1708800,2132,1708800,2132,1708800,2132,1708800,2132,1708800,2132,1708800,2133,2208000,2133,2208000
2224,0,2226,3,2225,5377352,2230,83997,63838,2236,5,2236,0,2237,1804800,2237,1804800,2237,1804800,2238,1804800,2238,1804800,2239,1804800,2239,2208000,2239,2208000
2325,0,2327,3,2326,5381352,2332,83997,63838,2337,5,2338,0,2339,1804800,2339,1804800,2340,1804800,2341,1804800,2344,1804800,2345,1804800,2346,2208000,2346,2208000
2426,0,2428,3,2426,5379840,2433,83997,63838,2444,5,2444,0,2445,1804800,2447,1804800,2448,1804800,2449,1804800,2449,1804800,2450,1804800,2450,2208000,2450,2208000
2527,0,2528,3,2528,5379500,2529,83997,63838,2531,5,2531,0,2531,768000,2533,768000,2533,1804800,2533,768000,2533,768000,2533,1248000,2534,2208000,2534,2208000
2627,0,2630,3,2628,5380624,2632,83997,63838,2638,5,2639,0,2639,1804800,2640,1804800,2640,1804800,2641,1804800,2641,1804800,2641,1804800,2642,1248000,2642,1248000
