Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
70,0,71,3,70,5265804,77,0,0,3,0,4,0,4,1804800,5,1804800,5,1804800,6,1804800,6,1804800,6,1804800,7,2208000,7,2208000
172,0,174,3,173,5269068,178,0,0,81,0,82,0,82,1804800,83,1804800,83,1804800,84,1804800,84,1804800,84,1804800,85,2208000,86,2208000
271,0,272,3,271,5273152,275,0,0,183,0,183,0,184,1804800,184,1804800,185,1804800,186,1804800,186,1804800,187,1804800,187,2208000,188,2208000
371,0,373,3,372,5277244,376,256736,223138,279,4,280,0,280,1804800,281,1804800,282,1804800,282,1804800,283,1804800,283,1804800,283,2208000,284,2208000
472,0,473,3,472,5278788,476,256736,223138,379,4,379,0,380,1804800,380,1804800,381,1804800,381,1804800,382,1804800,382,1804800,382,2208000,382,2208000
572,0,573,3,573,5281748,575,256736,223138,479,4,480,0,480,1804800,481,1804800,481,1804800,482,1804800,482,1804800,482,1804800,483,2208000,483,2208000
675,0,676,3,676,5289308,679,256736,223138,578,4,578,0,579,1804800,579,1804800,579,1804800,579,1804800,580,1804800,580,1804800,580,2208000,580,2208000
775,0,776,3,775,5293536,779,256736,223138,683,4,683,0,683,1804800,684,1804800,684,1804800,684,1804800,685,1804800,685,1804800,685,2208000,685,2208000
875,0,876,3,876,5296780,879,256736,223138,783,4,784,0,784,1804800,785,1804800,785,1804800,786,1804800,786,1804800,787,1804800,788,2208000,788,2208000
976,0,977,3,976,5298888,979,256736,223138,883,4,884,0,884,1804800,884,1804800,885,1804800,885,1804800,885,1804800,886,1804800,886,2208000,886,2208000
1076,0,1078,3,1077,5294376,1079,256736,223138,982,4,982,0,982,1804800,983,1804800,983,1804800,983,1804800,983,1804800,984,1804800,984,2208000,984,2208000
1177,0,1179,3,1178,5295636,1181,256736,223138,1082,4,1082,0,1083,1804800,1084,1804800,1084,1804800,1084,1804800,1085,1804800,1085,1804800,1085,2208000,1086,2208000
1278,0,1279,3,1278,5297644,1281,256736,223138,1185,4,1186,0,1186,1804800,1187,1804800,1187,1804800,1187,1804800,1188,1804800,1188,1804800,1189,2208000,1189,2208000
1378,0,1380,3,1379,5302972,1382,67197,33599,1284,4,1285,0,1285,1248000,1286,1248000,1286,1248000,1286,1248000,1287,1248000,1287,1248000,1287,2208000,1288,2208000
1479,0,1480,3,1479,5302188,1483,67197,33599,1386,4,1386,0,1387,1324800,1387,1324800,1388,1324800,1388,1804800,1388,1804800,1389,1804800,1389,2208000,1390,2208000
1579,0,1581,3,1580,5303944,1582,67197,33599,1487,4,1487,0,1488,1804800,1488,1804800,1488,1804800,1489,1804800,1489,1804800,1489,1804800,1490,1766400,1490,1766400
1680,0,1681,3,1680,5304636,1683,67197,33599,1584,4,1584,0,1585,1804800,1585,1804800,1586,1804800,1586,1804800,1586,1804800,1587,1804800,1587,1900800,1587,1900800
1780,0,1781,3,1780,5309492,1784,67197,33599,1689,4,1690,0,1690,1804800,1691,1804800,1691,1804800,1692,1804800,1692,1804800,1692,1804800,1693,2131200,1693,2131200
1881,0,1886,3,1882,5314004,1890,67197,33599,1788,4,1788,0,1789,1804800,1789,1804800,1790,1804800,1790,1804800,1791,1708800,1791,1708800,1792,2208000,1792,2208000
1981,0,1983,3,1982,5315016,1986,67197,33599,1896,4,1897,0,1897,768000,1898,1248000,1898,1248000,1898,1248000,1899,1248000,1899,1248000,1899,2208000,1900,2208000
2083,0,2084,3,2083,5317064,2088,67197,33599,1991,4,1992,0,1992,1017600,1993,1017600,1994,1017600,1994,1017600,1995,1017600,1995,1017600,1995,2208000,1996,2208000
2183,0,2185,3,2184,5318032,2188,67197,33599,2094,4,2095,0,2096,1804800,2096,1804800,2096,1804800,2097,1804800,2097,1804800,2097,1804800,2097,2208000,2098,2208000
2284,0,2286,3,2285,5319404,2289,67197,33599,2194,4,2195,0,2195,1248000,2195,1248000,2196,1248000,2196,1248000,2196,1248000,2197,1248000,2197,2208000,2198,2208000
2385,0,2388,3,2386,5321612,2391,67197,33599,2293,4,2294,0,2294,1804800,2295,1804800,2295,1324800,2296,1324800,2296,1324800,2297,1804800,2297,2208000,2298,2208000
2485,0,2488,3,2486,5322816,2493,67197,33599,2397,4,2398,0,2399,1248000,2399,1248000,2400,1248000,2401,1248000,2402,1248000,2402,1248000,2403,1248000,2404,1248000
2586,0,2588,3,2587,5325556,2590,67197,33599,2498,4,2499,0,2499,1804800,2508,1804800,2508,1804800,2512,1804800,2513,1804800,2514,1804800,2514,1766400,2515,1766400
2687,0,2689,3,2688,5328100,2696,83997,50399,2594,5,2595,0,2595,1804800,2596,1804800,2596,1804800,2596,1804800,2597,1804800,2600,1804800,2601,2208000,2601,2208000
2788,0,2789,3,2788,5333612,2791,83997,50399,2700,5,2701,0,2701,1804800,2702,1804800,2702,1804800,2703,1804800,2703,1804800,2705,1804800,2705,2208000,2706,2208000
2888,0,2890,3,2889,5335376,2892,83997,50399,2795,5,2795,0,2796,1708800,2796,1708800,2796,1708800,2797,1708800,2797,1708800,2797,1708800,2797,2208000,2798,2208000
2990,0,2993,3,2991,5336184,2996,83997,50399,2901,5,2902,0,2903,1017600,2904,1017600,2904,1017600,2905,1017600,2906,1017600,2906,1017600,2907,2208000,2907,2208000
3091,0,3093,3,3092,5339988,3096,83997,50399,3002,5,3002,0,3003,768000,3003,768000,3004,768000,3004,768000,3005,768000,3005,768000,3006,1900800,3007,1900800
3191,0,3193,3,3192,5343288,3196,83997,50399,3102,5,3102,0,3103,768000,3104,768000,3104,768000,3105,768000,3106,768000,3106,768000,3106,2208000,3107,2208000
3292,0,3294,3,3292,5345792,3296,83997,50399,3201,5,3201,0,3202,1804800,3202,1804800,3202,1804800,3203,1804800,3203,1804800,3203,1804800,3204,2208000,3204,2208000
