Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
25,0,26,3,25,5300840,28,0,0,31,0,32,0,32,1804800,32,1804800,33,1804800,33,1804800,33,1804800,33,1804800,33,2208000,34,2208000
108,0,110,3,109,5303548,113,0,0,122,0,123,0,124,1804800,126,1804800,127,1804800,127,1804800,127,1804800,128,1804800,128,2208000,128,2208000
208,0,210,3,209,5308816,212,0,0,217,0,218,0,219,1804800,219,1804800,220,1804800,220,1804800,221,1804800,221,1804800,222,2208000,222,2208000
313,0,315,3,314,5312804,318,0,0,323,4,323,0,324,1804800,325,1804800,325,1804800,326,1804800,327,1804800,327,1804800,328,2208000,329,2208000
413,0,415,3,414,5317188,418,256736,236577,422,4,422,0,423,1804800,424,1804800,424,1804800,425,1804800,425,1804800,426,1804800,426,2208000,427,2208000
514,0,516,3,515,5319820,519,256736,236577,523,4,523,0,524,1804800,524,1804800,525,1804800,525,1804800,525,1804800,526,1804800,526,2208000,526,2208000
615,0,616,3,615,5321804,619,256736,236577,623,4,623,0,624,1804800,624,1804800,625,1804800,625,1804800,625,1804800,626,1804800,626,2208000,627,2208000
715,0,717,3,716,5326284,720,256736,236577,724,4,725,0,725,1804800,726,1804800,726,1804800,727,1804800,727,1804800,728,1804800,728,2208000,728,2208000
816,0,817,3,816,5329300,820,256736,236577,825,4,825,0,826,1804800,826,1804800,826,1804800,827,1804800,827,1804800,827,1804800,828,2208000,828,2208000
916,0,918,3,917,5331968,921,256736,236577,925,4,926,0,926,1804800,927,1804800,927,1804800,928,1804800,928,1804800,929,1804800,929,2208000,930,2208000
1016,0,1018,3,1017,5327896,1021,256736,236577,1025,4,1025,0,1026,1804800,1026,1804800,1027,1804800,1027,1804800,1028,1804800,1028,1804800,1029,2208000,1030,2208000
1117,0,1119,3,1118,5327532,1121,256736,236577,1125,4,1125,0,1126,1804800,1126,1804800,1127,1804800,1127,1804800,1128,1804800,1128,1804800,1129,2208000,1129,2208000
1217,0,1219,3,1218,5329580,1222,256736,236577,1227,4,1227,0,1228,1248000,1228,1248000,1229,1804800,1229,1804800,1229,1804800,1230,1804800,1230,2208000,1230,2208000
1318,0,1321,3,1319,5332176,1324,256736,236577,1329,7,1330,0,1330,1804800,1331,1804800,1331,1804800,1331,1804800,1332,1804800,1332,1804800,1332,2208000,1333,2208000
1420,0,1422,3,1421,5332656,1425,280463,260304,1429,7,1430,0,1431,1804800,1431,1804800,1432,1804800,1432,1804800,1433,1804800,1433,1804800,1434,2208000,1434,2208000
1521,0,1522,3,1521,5333484,1525,280463,260304,1529,7,1530,0,1530,1804800,1531,1804800,1531,1804800,1531,1804800,1532,1804800,1532,1804800,1532,2208000,1533,2208000
1622,0,1624,3,1623,5333800,1626,203351,183192,1629,7,1630,0,1630,1804800,1630,1804800,1631,1804800,1631,1804800,1631,1804800,1631,1804800,1632,787200,1632,787200
1724,0,1726,3,1725,5334556,1728,203351,183192,1732,7,1733,0,1733,1017600,1734,1017600,1734,1017600,1734,1017600,1735,1017600,1735,1017600,1736,787200,1736,787200
1824,0,1827,3,1825,5335060,1829,203351,183192,1833,7,1834,0,1834,1017600,1835,1017600,1836,1017600,1836,1017600,1837,1017600,1837,1017600,1837,787200,1838,787200
1925,0,1928,3,1926,5335620,1932,117595,97436,1937,7,1938,0,1938,1248000,1939,1248000,1940,1248000,1940,1248000,1941,1248000,1941,1248000,1942,787200,1942,787200
2027,0,2030,3,2028,5336320,2035,117595,97436,2044,7,2045,0,2045,1017600,2047,1017600,2047,1017600,2048,1017600,2048,1017600,2049,1017600,2050,787200,2050,787200
2129,0,2131,3,2130,5336848,2134,117595,97436,2140,7,2141,0,2142,768000,2143,768000,2144,768000,2144,768000,2145,768000,2145,768000,2146,787200,2146,787200
2229,0,2232,3,2230,5337352,2237,117595,97436,2243,7,2243,0,2244,1248000,2244,1248000,2245,1248000,2245,1248000,2246,1248000,2246,1248000,2247,787200,2247,787200
2330,0,2333,3,2331,5338384,2338,117595,97436,2343,7,2344,0,2344,1017600,2345,1017600,2345,1017600,2346,1017600,2346,1017600,2347,1017600,2347,787200,2348,787200
2430,0,2433,3,2431,5339140,2437,117595,97436,2443,5,2443,0,2444,1017600,2445,1017600,2445,1017600,2445,1017600,2446,1017600,2446,1017600,2447,787200,2447,787200
2531,0,2534,3,2532,5339344,2538,83997,63838,2544,5,2544,0,2545,1017600,2546,1017600,2546,1017600,2547,1017600,2547,1017600,2547,1017600,2548,787200,2548,787200
