Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
29,0,31,3,30,5244216,34,0,0,40,0,40,0,41,1804800,42,1804800,42,1804800,43,1804800,43,1804800,44,1804800,44,2208000,45,2208000
106,0,108,3,106,5248936,110,0,0,117,0,119,0,119,1804800,120,1804800,121,1804800,121,1804800,122,1804800,122,1804800,124,2208000,125,2208000
207,0,209,3,208,5254740,214,0,0,218,0,219,0,220,1804800,220,1804800,220,1804800,221,1804800,221,1804800,222,1804800,222,2208000,223,2208000
308,0,309,3,308,5245588,311,0,0,314,0,315,0,315,1804800,316,1804800,316,1804800,316,1804800,316,1804800,316,1804800,317,2208000,317,2208000
408,0,412,3,409,5249436,417,0,0,427,4,429,0,429,1804800,430,1804800,431,1804800,431,1804800,431,1804800,432,1804800,432,2208000,433,2208000
508,0,510,3,509,5249988,515,256736,238257,519,4,520,0,520,1804800,521,1804800,521,1804800,522,1804800,522,1804800,522,1804800,523,2208000,523,2208000
609,0,612,3,610,5253012,615,256736,238257,621,4,622,0,623,1804800,623,1804800,624,1804800,631,1804800,631,1804800,632,1804800,632,2208000,633,2208000
709,0,711,3,710,5255320,715,256736,238257,721,4,722,0,723,1804800,724,1804800,725,1804800,725,1804800,726,1804800,726,1804800,727,2208000,727,2208000
810,0,814,3,813,5258124,820,256736,238257,826,4,827,0,828,1804800,829,1804800,829,1804800,830,1804800,830,1804800,831,1804800,831,2208000,832,2208000
910,0,912,3,911,5262660,915,256736,238257,919,4,920,0,920,1804800,922,1804800,922,1804800,923,1804800,923,1804800,924,1804800,924,1248000,924,1248000
1011,0,1013,3,1012,5261088,1016,256736,238257,1020,4,1020,0,1020,1804800,1021,1804800,1021,1804800,1022,1804800,1022,1804800,1022,1804800,1023,2208000,1023,2208000
