Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
36,0,37,3,36,5251364,39,128368,45705,42,0,43,0,43,1804800,44,1804800,44,1804800,45,1804800,45,1804800,46,1804800,46,2208000,47,2208000
108,0,110,3,109,5258404,114,0,0,121,0,122,0,122,1804800,123,1804800,124,1804800,127,1804800,127,1804800,130,1804800,130,2208000,131,2208000
208,0,210,3,209,5266128,213,0,0,218,0,218,0,219,1804800,219,1804800,220,1804800,220,1804800,221,1804800,221,1804800,221,2208000,222,2208000
309,0,310,3,309,5267828,313,0,0,317,0,318,0,318,1804800,319,1804800,319,1804800,320,1804800,320,1804800,320,1804800,321,2208000,321,2208000
409,0,410,3,410,5271104,413,0,0,416,0,416,0,416,1804800,416,1804800,417,1804800,417,1804800,417,1804800,417,1804800,418,2208000,418,2208000
510,0,511,3,510,5273768,514,0,0,517,0,518,0,518,1804800,519,1804800,519,1804800,519,1804800,520,1804800,520,1804800,520,2208000,521,2208000
610,0,612,3,611,5278272,615,0,0,619,4,619,0,620,1804800,620,1804800,621,1804800,621,1804800,621,1804800,622,1804800,622,2208000,623,2208000
711,0,713,3,712,5280540,716,256736,174073,722,4,723,0,723,1804800,724,1804800,724,1804800,725,1804800,726,1804800,726,1804800,727,2208000,727,2208000
811,0,813,3,812,5269328,816,256736,174073,820,4,820,0,821,1804800,821,1804800,822,1804800,822,1804800,823,1804800,823,1804800,824,2208000,824,2208000
912,0,914,3,913,5273516,917,256736,174073,921,4,921,0,922,1804800,922,1804800,923,1804800,923,1804800,924,1804800,924,1804800,925,2208000,925,2208000
