Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
26,0,28,3,27,5334980,31,0,0,35,0,36,0,36,1804800,37,1804800,37,1804800,38,1804800,38,1804800,39,1804800,39,2208000,39,2208000
106,0,108,3,107,5339488,110,0,0,114,0,115,0,115,1804800,116,1804800,116,1804800,117,1804800,117,1804800,118,1804800,118,2208000,119,2208000
207,0,208,3,207,5343540,211,0,0,215,0,216,0,216,1804800,216,1804800,217,1804800,217,1804800,218,1804800,218,1804800,218,2208000,219,2208000
307,0,309,3,308,5347360,311,0,0,314,0,315,0,315,1804800,315,1804800,315,1804800,315,1804800,316,1804800,316,1804800,316,2208000,317,2208000
407,0,410,3,408,5349880,412,0,0,416,0,416,0,417,1804800,417,1804800,418,1804800,418,1804800,418,1804800,419,1804800,420,2208000,420,2208000
508,0,510,3,508,5352904,512,0,0,516,0,516,0,517,1804800,517,1804800,518,1804800,518,1804800,519,1804800,519,1804800,520,2208000,520,2208000
608,0,610,3,609,5356692,613,0,0,617,0,617,0,618,1804800,618,1804800,618,1804800,619,1804800,620,1804800,620,1804800,621,2208000,621,2208000
709,0,710,3,709,5359456,713,0,0,717,0,718,0,718,1804800,719,1804800,719,1804800,720,1804800,720,1804800,721,1804800,721,2208000,722,2208000
812,0,814,3,812,5364788,816,0,0,825,0,825,0,826,1804800,826,1804800,827,1804800,827,1804800,828,1804800,828,1804800,829,2208000,829,2208000
913,0,914,3,913,5368140,916,0,0,919,0,919,0,920,1804800,920,1804800,921,1804800,921,1804800,922,1804800,922,1804800,922,2208000,922,2208000
1013,0,1015,3,1014,5370164,1016,0,0,1019,5,1020,0,1020,1804800,1021,1804800,1021,1804800,1022,1804800,1022,1804800,1022,1804800,1022,2208000,1023,2208000
