Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
19,0,21,3,20,5264668,22,0,0,25,0,26,0,26,1804800,26,1804800,27,1804800,27,1804800,27,1804800,27,1804800,27,2208000,28,2208000
108,0,111,3,109,5270008,115,0,0,119,0,119,0,120,1804800,120,1804800,121,1804800,122,1804800,123,1804800,123,1804800,124,2208000,124,2208000
208,0,210,3,209,5271512,213,0,0,217,3,218,0,218,1804800,219,1804800,219,1804800,219,1804800,220,1804800,220,1804800,220,2073600,221,2073600
309,0,310,3,309,5273780,312,192552,182473,314,3,315,0,315,1804800,315,1804800,315,1804800,316,1804800,316,1804800,316,1804800,316,1248000,316,1248000
410,0,411,3,410,5275072,413,192552,182473,415,3,415,0,416,1804800,416,1804800,416,1804800,416,1804800,417,1804800,417,1804800,417,1248000,417,1248000
510,0,511,3,511,5275796,513,192552,182473,515,3,516,0,516,1804800,516,1804800,516,1804800,517,1804800,517,1804800,517,1804800,517,1248000,517,1248000
611,0,613,3,612,5276048,615,192552,182473,617,3,618,0,619,1804800,619,1804800,619,1804800,620,1804800,620,1804800,621,1804800,621,1248000,621,1248000
713,0,715,3,714,5278468,716,192552,182473,719,3,719,0,720,1804800,720,1804800,720,1804800,720,1804800,721,1804800,721,1804800,721,1248000,721,1248000
813,0,815,3,814,5279476,816,192552,182473,818,3,818,0,819,1804800,819,1804800,819,1804800,819,1804800,820,1804800,820,1804800,820,1248000,820,1248000
914,0,917,3,915,5281116,918,192552,182473,921,3,921,0,921,1804800,921,1804800,922,1804800,922,1804800,922,1804800,922,1804800,922,2208000,923,2208000
1015,0,1016,3,1015,5272296,1017,192552,182473,1019,3,1020,0,1020,1804800,1020,1804800,1020,1804800,1021,1804800,1021,1804800,1021,1804800,1021,1248000,1021,1248000
1115,0,1116,3,1115,5273052,1117,192552,182473,1120,3,1120,0,1121,1804800,1121,1804800,1121,1804800,1122,1804800,1122,1804800,1122,1804800,1122,1248000,1123,1248000
1216,0,1218,3,1217,5273604,1220,192552,182473,1223,3,1223,0,1223,1248000,1224,1248000,1224,1248000,1225,1248000,1225,1248000,1225,1248000,1226,1036800,1226,1036800
1317,0,1319,3,1318,5274336,1321,192552,182473,1324,3,1325,0,1325,1248000,1326,1248000,1326,1248000,1326,1248000,1327,1248000,1327,1248000,1327,1036800,1327,1036800
1418,0,1419,3,1418,5274612,1421,192552,182473,1425,3,1426,0,1426,1324800,1426,1324800,1427,1324800,1427,1324800,1427,1324800,1428,1324800,1428,1036800,1428,1036800
1519,0,1522,3,1521,5275016,1527,50398,40319,1535,3,1536,0,1537,576000,1537,576000,1538,576000,1538,576000,1539,576000,1539,576000,1540,787200,1541,787200
1620,0,1623,3,1621,5275708,1628,50398,40319,1634,3,1635,0,1636,576000,1637,576000,1638,576000,1638,576000,1639,576000,1640,576000,1640,787200,1642,787200
1721,0,1724,3,1722,5275840,1730,50398,40319,1738,3,1739,0,1741,576000,1742,576000,1743,576000,1743,576000,1744,576000,1744,1248000,1745,787200,1745,787200
1822,0,1826,3,1823,5276472,1830,50398,40319,1839,3,1840,0,1841,576000,1841,576000,1842,576000,1843,576000,1844,576000,1844,576000,1845,787200,1845,787200
1924,0,1926,3,1925,5276728,1929,50398,40319,1931,3,1932,0,1932,1248000,1933,1248000,1933,1248000,1933,1248000,1935,1248000,1935,1248000,1935,787200,1936,787200
2023,0,2026,3,2025,5276728,2030,50398,40319,2036,3,2037,0,2038,576000,2039,576000,2040,576000,2040,576000,2041,576000,2042,576000,2042,787200,2044,787200
2124,0,2127,3,2125,5277004,2130,50398,40319,2138,3,2139,0,2140,768000,2141,768000,2141,768000,2142,768000,2142,768000,2143,768000,2143,787200,2144,787200
2227,0,2230,3,2228,5278264,2235,50398,40319,2246,3,2247,0,2247,1248000,2248,1248000,2248,1248000,2249,1248000,2249,1248000,2250,1248000,2250,787200,2250,787200
2328,0,2332,3,2330,5278516,2339,50398,40319,2347,3,2348,0,2348,1248000,2349,1248000,2349,1248000,2350,1248000,2350,1248000,2350,1248000,2351,787200,2351,787200
2429,0,2432,3,2430,5278772,2436,50398,40319,2446,3,2447,0,2447,1248000,2448,1248000,2449,1248000,2449,1248000,2449,1248000,2450,1248000,2451,787200,2452,787200
2533,0,2539,3,2536,5279276,2544,50398,40319,2551,3,2552,0,2553,768000,2553,768000,2554,768000,2555,768000,2555,768000,2556,768000,2557,787200,2557,787200
2635,0,2638,3,2636,5279780,2645,50398,40319,2652,5,2655,0,2656,768000,2657,768000,2658,768000,2658,768000,2659,768000,2659,768000,2660,787200,2661,787200
2735,0,2738,3,2736,5279804,2744,83997,73918,2748,5,2749,0,2749,1017600,2749,1017600,2750,1017600,2750,1017600,2751,1017600,2751,1017600,2751,787200,2752,787200
2838,0,2841,3,2839,5280560,2845,83997,73918,2849,5,2850,0,2850,1248000,2854,1248000,2854,1248000,2854,1248000,2855,1248000,2855,1248000,2855,787200,2856,787200
2938,0,2941,3,2939,5281568,2943,83997,73918,2947,5,2948,0,2948,1017600,2949,1017600,2949,1017600,2949,1017600,2950,1017600,2950,1017600,2950,787200,2951,787200
3039,0,3042,3,3041,5281844,3046,83997,73918,3051,5,3052,0,3052,768000,3053,768000,3054,768000,3054,768000,3055,768000,3055,768000,3056,787200,3056,787200
3140,0,3142,3,3141,5282852,3147,83997,73918,3152,5,3153,0,3153,768000,3154,768000,3155,768000,3155,768000,3156,768000,3157,768000,3157,787200,3158,787200
3242,0,3245,3,3243,5283128,3254,83997,73918,3263,5,3264,0,3265,1248000,3265,1248000,3266,1248000,3266,1248000,3266,1248000,3267,1248000,3267,787200,3267,787200
3342,0,3344,3,3343,5283704,3348,83997,73918,3354,5,3354,0,3355,768000,3355,768000,3356,768000,3357,768000,3357,768000,3358,768000,3359,787200,3360,787200
3443,0,3446,3,3444,5284484,3450,83997,73918,3455,5,3455,0,3456,768000,3457,768000,3457,768000,3458,768000,3458,768000,3459,768000,3459,787200,3460,787200
3544,0,3547,3,3545,5288384,3551,83997,73918,3559,5,3560,0,3561,576000,3561,576000,3562,576000,3562,576000,3563,576000,3564,576000,3564,787200,3565,787200
3645,0,3647,3,3646,5288920,3652,83997,73918,3659,5,3659,0,3660,768000,3660,768000,3661,768000,3661,768000,3662,768000,3662,768000,3663,1248000,3663,1248000
3746,0,3749,3,3747,5268224,3751,83997,73918,3758,5,3759,0,3760,768000,3760,768000,3761,768000,3761,768000,3762,768000,3763,768000,3763,787200,3764,787200
3847,0,3849,3,3848,5269004,3852,83997,73918,3856,5,3856,0,3856,1017600,3857,1017600,3857,1017600,3858,1017600,3858,1017600,3858,1017600,3859,787200,3859,787200
3948,0,3950,3,3949,5268980,3952,83997,73918,3955,5,3956,0,3956,1248000,3957,1248000,3957,1248000,3957,1248000,3958,1248000,3958,1248000,3958,787200,3958,787200
4049,0,4052,3,4050,5270052,4056,83997,73918,4061,5,4062,0,4062,768000,4063,768000,4063,768000,4064,768000,4064,768000,4065,1248000,4065,787200,4065,787200
4150,0,4153,3,4151,5270492,4156,83997,73918,4161,5,4162,0,4162,768000,4163,768000,4164,768000,4164,768000,4165,1017600,4165,1017600,4165,787200,4166,787200
4253,0,4255,3,4254,5271436,4258,83997,73918,4265,5,4266,0,4266,1804800,4266,1804800,4267,1804800,4267,1804800,4267,1804800,4267,1804800,4268,787200,4268,787200
4352,0,4354,3,4353,5272440,4356,83997,73918,4359,5,4359,0,4359,1324800,4360,1324800,4360,1324800,4361,1324800,4361,1324800,4362,1324800,4362,787200,4363,787200
4453,0,4455,3,4454,5272268,4459,83997,73918,4466,5,4467,0,4467,768000,4468,768000,4469,768000,4469,768000,4470,768000,4470,768000,4472,787200,4473,787200
4554,0,4556,3,4555,5272448,4559,83997,73918,4563,5,4564,0,4565,1017600,4565,1017600,4565,1017600,4566,1017600,4566,1017600,4566,1017600,4567,787200,4567,787200
4655,0,4657,3,4656,5273428,4659,83997,73918,4663,5,4663,0,4663,1017600,4664,1017600,4665,1804800,4665,1804800,4665,1804800,4665,1804800,4666,787200,4666,787200
