Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
29,0,31,3,30,5438280,34,0,0,37,0,37,0,38,1804800,38,1804800,39,1804800,39,1804800,39,1804800,40,1804800,40,2208000,41,2208000
108,0,110,3,108,5439824,113,0,0,118,0,119,0,119,1804800,120,1804800,120,1804800,122,1804800,123,1804800,124,1804800,124,2208000,125,2208000
208,0,210,3,209,5443072,213,0,0,217,0,218,0,219,1804800,219,1804800,220,1804800,220,1804800,221,1804800,221,1804800,222,2208000,229,2208000
309,0,311,3,310,5446820,315,0,0,320,0,321,0,323,1804800,324,1804800,325,1804800,326,1804800,327,1804800,328,1804800,330,2208000,332,2208000
410,0,412,3,410,5441464,417,0,0,424,0,425,0,426,1804800,426,1804800,427,1804800,427,1804800,428,1804800,429,1804800,429,2208000,430,2208000
510,0,512,3,510,5447164,515,0,0,520,0,521,0,523,1804800,525,1804800,526,1804800,528,1804800,529,1804800,530,1804800,531,2208000,533,2208000
611,0,615,3,612,5441240,622,0,0,633,2,633,0,635,1804800,637,1804800,639,1804800,641,1804800,642,1804800,643,1804800,645,2208000,647,2208000
711,0,714,3,712,5448100,720,128368,121649,728,2,729,0,738,1804800,739,1804800,740,1804800,741,1804800,742,1804800,743,1804800,745,2208000,745,2208000
812,0,814,3,813,5442488,819,128368,121649,825,2,826,0,826,1804800,827,1804800,828,1804800,829,1804800,834,1804800,834,1804800,835,2208000,836,2208000
913,0,916,3,913,5441104,921,128368,121649,928,2,929,0,930,1804800,932,1804800,933,1804800,934,1804800,934,1804800,935,1804800,935,2208000,936,2208000
1015,0,1017,3,1016,5442584,1020,128368,121649,1024,2,1024,0,1025,1804800,1025,1804800,1025,1804800,1026,1804800,1026,1804800,1026,1804800,1027,1248000,1027,1248000
1116,0,1118,3,1117,5443592,1121,128368,121649,1124,2,1124,0,1125,1804800,1125,1804800,1126,1804800,1126,1804800,1126,1804800,1126,1804800,1127,1248000,1127,1248000
1217,0,1219,3,1217,5443844,1221,128368,121649,1224,2,1225,0,1225,1804800,1226,1804800,1227,1804800,1227,1804800,1228,1804800,1229,1804800,1229,1248000,1230,1248000
1318,0,1320,3,1319,5444624,1323,128368,121649,1328,2,1328,0,1329,1248000,1330,1804800,1330,1804800,1331,1804800,1332,1804800,1332,1804800,1333,1036800,1333,1036800
