Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
24,0,25,3,25,5275608,27,0,0,30,0,31,0,31,1804800,31,1804800,32,1804800,32,1804800,33,1804800,33,1804800,33,2208000,34,2208000
108,0,111,3,109,5278820,113,0,0,118,0,118,0,119,1804800,120,1804800,120,1804800,121,1804800,121,1804800,121,1804800,122,2208000,123,2208000
208,0,210,3,209,5280868,211,0,0,215,0,215,0,215,1804800,216,1804800,216,1804800,216,1804800,217,1804800,217,1804800,218,1248000,218,1248000
310,0,312,3,311,5283136,315,0,0,320,0,321,0,321,1804800,322,1804800,322,1804800,323,1804800,323,1804800,323,1804800,323,1900800,324,1900800
409,0,411,3,410,5284680,412,0,0,415,0,415,0,416,1804800,416,1804800,416,1804800,416,1804800,417,1804800,417,1804800,417,1248000,417,1248000
510,0,512,3,511,5286192,513,0,0,515,0,516,0,516,1804800,516,1804800,517,1804800,517,1804800,517,1804800,517,1804800,518,1248000,518,1248000
611,0,612,3,611,5286696,615,0,0,618,3,619,0,619,1804800,619,1804800,620,1804800,620,1804800,620,1804800,621,1804800,621,1248000,621,1248000
712,0,713,3,712,5288428,714,192552,8272,717,3,717,0,717,1804800,717,1804800,718,1804800,718,1804800,718,1804800,718,1804800,719,1248000,719,1248000
812,0,813,3,812,5290404,815,192552,8272,817,3,817,0,817,1804800,818,1804800,818,1804800,818,1804800,818,1804800,819,1804800,819,1248000,819,1248000
912,0,913,3,913,5290712,915,192552,8272,917,3,917,0,917,1804800,918,1804800,918,1804800,918,1804800,918,1804800,919,1804800,919,1248000,919,1248000
1013,0,1014,3,1013,5291720,1016,192552,8272,1018,3,1019,0,1019,1804800,1019,1804800,1020,1804800,1020,1804800,1020,1804800,1020,1804800,1021,1248000,1021,1248000
1113,0,1114,3,1113,5293100,1115,192552,8272,1118,3,1118,0,1118,1804800,1118,1804800,1119,1804800,1119,1804800,1119,1804800,1119,1804800,1120,1248000,1120,1248000
