Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
73,0,75,3,74,5304876,77,0,0,81,0,81,0,82,1804800,82,1804800,82,1804800,83,1804800,83,1804800,83,1804800,83,2208000,84,2208000
173,0,175,3,174,5306380,176,0,0,179,3,179,0,180,1804800,180,1804800,180,1804800,181,1804800,181,1804800,181,1804800,181,1248000,182,1248000
274,0,276,3,275,5307664,277,192552,0,280,3,280,0,281,1804800,281,1804800,281,1804800,281,1804800,282,1804800,282,1804800,282,1248000,282,1248000
375,0,377,3,376,5308192,378,192552,0,381,3,381,0,381,1804800,381,1804800,382,1804800,382,1804800,382,1804800,382,1804800,382,1248000,383,1248000
475,0,477,3,476,5308720,478,192552,0,481,3,481,0,481,1804800,482,1804800,482,1804800,482,1804800,482,1804800,483,1804800,483,1248000,483,1248000
576,0,579,3,578,5309980,582,192552,0,585,3,585,0,585,1804800,586,1804800,586,1804800,586,1804800,586,1804800,586,1804800,587,1248000,587,1248000
676,0,677,3,677,5312028,679,192552,0,681,3,681,0,681,1804800,681,1804800,682,1804800,682,1804800,682,1804800,682,1804800,683,1248000,683,1248000
777,0,778,3,777,5314092,779,192552,0,781,3,782,0,782,1804800,782,1804800,782,1804800,783,1804800,783,1804800,783,1804800,783,1248000,783,1248000
877,0,879,3,878,5313740,881,192552,0,883,3,884,0,884,1804800,884,1804800,885,1804800,885,1804800,885,1804800,885,1804800,886,1248000,886,1248000
978,0,979,3,978,5307684,981,192552,0,984,3,985,0,985,1804800,985,1804800,986,1804800,986,1804800,986,1804800,987,1804800,987,2073600,987,2073600
1078,0,1080,3,1079,5312804,1082,192552,0,1086,3,1087,0,1087,1804800,1087,1804800,1088,1804800,1088,1804800,1090,1804800,1090,1804800,1090,2208000,1091,2208000
1180,0,1182,3,1180,5314484,1185,192552,0,1189,3,1190,0,1190,1804800,1191,1804800,1191,1804800,1192,1804800,1193,1804800,1193,1804800,1194,2208000,1194,2208000
1280,0,1282,3,1281,5319988,1286,192552,0,1291,3,1291,0,1292,1516800,1293,1516800,1293,1516800,1294,1516800,1294,1516800,1295,1516800,1295,2208000,1295,2208000
1381,0,1383,3,1382,5326036,1387,192552,0,1392,3,1393,0,1394,1804800,1394,1804800,1395,1804800,1395,1804800,1395,1804800,1396,1804800,1396,2208000,1396,2208000
1481,0,1483,3,1482,5332240,1485,192552,0,1489,2,1490,0,1490,1804800,1490,1804800,1491,1804800,1491,1804800,1492,1804800,1492,1804800,1493,2208000,1493,2208000
1582,0,1584,3,1583,5334800,1586,128368,0,1592,2,1592,0,1593,1248000,1593,1248000,1594,1248000,1594,1248000,1595,1248000,1595,1248000,1596,2208000,1596,2208000
1683,0,1685,3,1683,5337848,1689,128368,0,1694,2,1695,0,1696,768000,1696,768000,1697,768000,1698,768000,1699,768000,1699,768000,1700,2131200,1700,2073600
1783,0,1785,3,1784,5339636,1788,128368,0,1793,2,1793,0,1794,1248000,1794,1248000,1794,1248000,1795,1248000,1795,1248000,1796,1804800,1796,2208000,1797,2208000
1883,0,1885,3,1884,5350768,1888,128368,0,1892,2,1893,0,1893,1804800,1893,1804800,1894,1804800,1895,1804800,1895,1804800,1896,1804800,1896,2208000,1897,2208000
1984,0,1985,3,1984,5342564,1988,128368,0,1991,2,1992,0,1992,1804800,1993,1804800,1993,1804800,1993,1804800,1994,1804800,1994,1804800,1994,2208000,1994,2208000
2085,0,2086,3,2085,5344596,2089,128368,0,2093,2,2093,0,2094,1516800,2094,1248000,2095,1248000,2095,1248000,2096,1248000,2096,1248000,2096,2208000,2097,2208000
2185,0,2187,3,2186,5346028,2190,80132,0,2195,2,2195,0,2196,1017600,2196,1017600,2197,1017600,2197,1017600,2198,1017600,2198,1017600,2198,2208000,2199,2208000
2286,0,2287,3,2286,5349052,2290,80132,0,2294,2,2294,0,2294,1248000,2295,1248000,2295,1248000,2295,1248000,2296,1248000,2296,1248000,2296,2208000,2296,2208000
2386,0,2389,3,2387,5350864,2392,58100,0,2396,2,2396,0,2396,1017600,2397,1017600,2397,1017600,2398,1017600,2398,1017600,2398,1017600,2399,2208000,2399,2208000
2487,0,2489,3,2488,5353736,2491,58100,0,2497,3,2497,0,2498,1804800,2498,1804800,2499,1804800,2499,1804800,2500,1804800,2500,1804800,2500,2208000,2501,2208000
2588,0,2591,3,2589,5354712,2597,87150,0,2603,3,2604,0,2605,1248000,2605,1248000,2605,1248000,2606,1248000,2607,1248000,2607,1248000,2607,2208000,2608,2208000
2690,0,2691,3,2690,5358272,2694,87150,0,2698,3,2699,0,2700,768000,2700,1612800,2700,1804800,2701,1804800,2701,1804800,2701,1804800,2701,2208000,2702,2208000
2791,0,2793,3,2792,5360232,2798,50398,0,2803,3,2804,0,2805,1248000,2805,1248000,2806,1248000,2806,1248000,2807,1248000,2807,1248000,2807,2208000,2808,2208000
2893,0,2895,3,2894,5362052,2899,50398,0,2904,3,2905,0,2905,768000,2906,768000,2906,768000,2907,768000,2908,768000,2909,768000,2909,2208000,2910,2208000
2995,0,2997,3,2996,5368096,2999,50398,0,3002,3,3003,0,3003,1017600,3004,1017600,3004,1017600,3005,1017600,3005,1017600,3005,1017600,3006,2208000,3006,2208000
3096,0,3097,3,3096,5370112,3100,50398,0,3105,3,3105,0,3105,1804800,3106,1804800,3106,1804800,3106,1804800,3106,1804800,3107,1804800,3107,2208000,3107,2208000
3196,0,3198,3,3197,5367868,3201,50398,0,3210,3,3211,0,3211,1804800,3211,1804800,3211,1804800,3211,1804800,3212,1804800,3212,1804800,3212,2208000,3212,2208000
3297,0,3299,3,3298,5348220,3304,50398,0,3308,3,3309,0,3309,1804800,3310,1804800,3310,1804800,3311,1804800,3311,1804800,3312,1804800,3312,2208000,3313,2208000
3397,0,3399,3,3398,5345936,3402,50398,0,3406,3,3406,0,3407,1804800,3407,1804800,3407,1804800,3408,1804800,3408,1612800,3409,1612800,3409,2208000,3410,2208000
3499,0,3502,3,3500,5349836,3506,50398,0,3511,5,3512,0,3513,768000,3514,768000,3515,768000,3515,768000,3516,768000,3516,768000,3517,2208000,3517,2208000
3600,0,3602,3,3600,5349836,3605,83997,0,3610,5,3611,0,3612,768000,3612,768000,3613,768000,3613,768000,3614,768000,3614,768000,3614,2208000,3615,2208000
3702,0,3704,3,3703,5351128,3708,83997,0,3715,5,3715,0,3716,768000,3717,768000,3718,768000,3719,768000,3720,768000,3721,1248000,3721,2208000,3722,2208000
3801,0,3803,3,3802,5352292,3807,83997,0,3812,5,3813,0,3814,768000,3814,768000,3815,768000,3815,768000,3816,768000,3816,768000,3817,2208000,3817,2208000
3904,0,3907,3,3905,5355536,3910,83997,0,3916,5,3917,0,3918,768000,3920,768000,3920,768000,3921,1248000,3921,1248000,3921,1248000,3922,2208000,3922,2208000
4003,0,4007,3,4004,5359876,4011,83997,0,4020,5,4021,0,4021,1248000,4022,1248000,4023,1248000,4024,1248000,4024,1248000,4025,1248000,4026,2208000,4026,2208000
4103,0,4105,3,4104,5360448,4109,83997,0,4114,5,4115,0,4115,768000,4116,768000,4117,768000,4117,768000,4117,768000,4119,768000,4119,2208000,4120,2208000
4204,0,4207,3,4206,5362180,4210,83997,0,4216,5,4217,0,4217,1804800,4218,1804800,4219,1804800,4221,1804800,4221,1804800,4222,1804800,4222,2208000,4222,2208000
4304,0,4306,3,4305,5368612,4310,83997,0,4314,5,4315,0,4315,1804800,4316,1804800,4316,1804800,4317,1804800,4317,1804800,4317,1804800,4318,2208000,4318,2208000
4406,0,4408,3,4406,5370892,4412,83997,0,4419,5,4420,0,4423,1804800,4424,1804800,4424,1804800,4425,1804800,4426,1804800,4426,1804800,4427,2208000,4427,2208000
4506,0,4508,3,4507,5360540,4511,83997,0,,,,,,,,,,,,,,,,,,,,
