Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
70,0,72,3,71,5236916,75,0,0,79,0,80,0,80,1804800,81,1804800,81,1804800,81,1804800,82,1804800,82,1804800,83,2208000,83,2208000
171,0,172,3,171,5240288,174,0,0,178,0,179,0,180,1804800,181,1804800,182,1804800,183,1804800,183,1804800,184,1804800,184,2073600,185,2073600
273,0,275,3,274,5232088,277,0,0,280,0,281,0,281,1804800,281,1804800,282,1804800,282,1804800,282,1804800,283,1804800,283,1766400,283,1766400
373,0,375,3,374,5235388,378,0,0,382,0,382,0,383,1804800,383,1804800,383,1804800,384,1804800,384,1804800,384,1804800,385,2208000,385,2208000
474,0,476,3,475,5239320,478,0,0,482,0,483,0,484,1804800,484,1804800,484,1804800,485,1804800,485,1804800,486,1804800,486,2208000,486,2208000
575,0,577,3,576,5243920,580,0,0,585,2,585,0,586,1804800,586,1804800,587,1804800,587,1804800,588,1804800,588,1804800,589,2208000,589,2208000
676,0,677,3,676,5249748,682,128368,0,688,2,689,0,690,1804800,690,1804800,691,1804800,691,1804800,692,1804800,692,1804800,692,2208000,693,2208000
776,0,778,3,777,5255120,781,128368,0,787,2,788,0,790,1804800,791,1804800,792,1804800,792,1804800,793,1804800,793,1804800,794,2208000,794,2208000
876,0,878,3,877,5260892,881,128368,0,886,2,887,0,888,1804800,888,1804800,889,1804800,890,1804800,891,1804800,891,1804800,892,2208000,893,2208000
977,0,978,3,977,5262804,980,128368,0,984,2,985,0,985,1804800,986,1804800,986,1804800,987,1804800,987,1804800,987,1804800,988,2208000,988,2208000
1078,0,1080,3,1078,5265828,1083,128368,0,1088,2,1089,0,1089,1804800,1090,1804800,1091,1804800,1092,1804800,1092,1804800,1093,1804800,1094,1248000,1094,1248000
1178,0,1180,3,1179,5271404,1185,128368,0,1190,2,1190,0,1191,1804800,1191,1804800,1192,1804800,1192,1804800,1193,1804800,1193,1804800,1194,2208000,1194,2208000
1279,0,1281,3,1279,5274476,1287,80132,0,1294,2,1295,0,1295,1804800,1296,1804800,1297,1804800,1298,1804800,1298,1804800,1299,1804800,1299,2208000,1299,2208000
1379,0,1381,3,1380,5281304,1383,80132,0,1387,2,1387,0,1388,1804800,1388,1804800,1388,1804800,1389,1804800,1389,1804800,1389,1804800,1390,1036800,1390,1036800
1480,0,1482,3,1480,5267552,1485,80132,0,1490,2,1490,0,1491,1324800,1491,1324800,1492,1324800,1493,1324800,1493,1324800,1494,1324800,1494,1766400,1495,1766400
1580,0,1582,3,1581,5269548,1589,58100,0,1594,4,1595,0,1596,1612800,1597,1612800,1597,1612800,1597,1612800,1598,1612800,1598,1612800,1599,2208000,1599,2208000
1681,0,1683,3,1681,5262484,1687,116200,0,1693,4,1693,0,1694,1017600,1695,1017600,1696,1017600,1696,1017600,1697,1017600,1697,1017600,1698,2208000,1699,2208000
1782,0,1784,3,1783,5265508,1790,116200,0,1796,4,1798,0,1798,1248000,1799,1248000,1800,1017600,1800,1017600,1801,1017600,1802,1324800,1802,2208000,1803,2208000
1882,0,1885,3,1883,5269376,1891,67197,0,1895,4,1896,0,1897,1804800,1898,1804800,1899,1804800,1900,1804800,1900,1804800,1901,1804800,1902,979200,1902,979200
1983,0,1985,3,1984,5274276,1987,67197,0,1991,4,1992,0,1992,1516800,1993,1516800,1993,1516800,1993,1516800,1994,1516800,1994,1516800,1994,2073600,1995,2073600
2085,0,2088,3,2086,5281168,2095,67197,0,2100,4,2101,0,2102,1804800,2103,1804800,2103,1804800,2103,1804800,2104,1804800,2105,1804800,2106,2208000,2106,2208000
2188,0,2190,3,2189,5286028,2193,67197,0,2197,4,2198,0,2198,1804800,2199,1804800,2200,1804800,2200,1804800,2200,1804800,2201,1804800,2201,2208000,2201,2208000
2290,0,2293,3,2291,5290084,2299,116200,0,2304,4,2305,0,2306,1804800,2307,1804800,2308,1804800,2309,1804800,2309,1804800,2310,1804800,2311,2208000,2311,2208000
2390,0,2391,3,2390,5292636,2394,116200,0,2398,4,2399,0,2399,1804800,2400,1804800,2401,1804800,2402,1804800,2402,1804800,2403,1804800,2403,2208000,2403,2208000
2491,0,2494,3,2492,5298520,2497,116200,0,2502,4,2503,0,2503,1017600,2504,1017600,2504,1017600,2505,1017600,2505,1017600,2506,1017600,2506,2208000,2507,2208000
2591,0,2594,3,2592,5303876,2597,116200,0,2601,9,2602,0,2602,1017600,2603,1017600,2603,1017600,2604,1017600,2604,1017600,2604,1017600,2605,2208000,2605,2208000
2693,0,2695,3,2694,5310712,2699,261451,18328,2703,9,2704,0,2704,1017600,2705,1017600,2705,1017600,2706,1017600,2706,1017600,2707,1017600,2707,2208000,2708,2208000
2794,0,2796,3,2795,5313948,2799,261451,18328,2804,9,2804,0,2805,1017600,2805,1017600,2806,1017600,2806,1017600,2807,1017600,2807,1017600,2807,1248000,2808,1248000
2895,0,2899,3,2896,5317036,2903,261451,18328,2908,9,2909,0,2909,1804800,2910,1804800,2910,1804800,2910,1804800,2911,1804800,2911,1248000,2912,2208000,2913,2208000
2997,0,3000,3,2998,5322444,3004,151194,0,3009,9,3011,0,3011,768000,3012,768000,3013,768000,3014,768000,3015,768000,3015,768000,3016,1555200,3017,1555200
3097,0,3100,3,3098,5324996,3103,151194,0,3108,9,3109,0,3109,1248000,3110,1248000,3110,1248000,3110,1248000,3111,1248000,3111,1248000,3111,2208000,3111,2208000
3198,0,3201,3,3199,5329524,3204,151194,0,3211,9,3212,0,3212,768000,3213,768000,3213,768000,3214,768000,3215,768000,3215,768000,3216,2208000,3217,2208000
3298,0,3300,3,3299,5333752,3305,151194,0,3313,9,3314,0,3314,1612800,3315,768000,3316,768000,3317,768000,3318,768000,3318,768000,3319,2208000,3320,2208000
3399,0,3402,3,3400,5323816,3405,151194,0,3409,9,3409,0,3410,1248000,3410,1248000,3410,1248000,3411,1248000,3411,1248000,3411,1248000,3412,2208000,3412,2208000
3500,0,3502,3,3501,5329140,3505,151194,0,3510,9,3510,0,3511,1017600,3511,1017600,3512,1017600,3512,1017600,3513,1017600,3514,1017600,3514,2208000,3515,2208000
3601,0,3603,3,3602,5331408,3607,151194,0,3611,9,3612,0,3613,1017600,3613,1017600,3614,1017600,3614,1017600,3615,1017600,3616,1017600,3616,2208000,3617,2208000
3701,0,3703,3,3702,5333140,3706,151194,0,3711,5,3712,0,3712,1017600,3713,1017600,3713,1017600,3714,1017600,3714,1017600,3715,1017600,3715,2208000,3716,2208000
3802,0,3804,3,3803,5335296,3808,83997,0,3814,5,3814,0,3815,768000,3816,768000,3816,768000,3817,768000,3818,768000,3819,768000,3819,2208000,3820,2208000
