Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
26,0,28,3,27,5375344,31,0,0,33,0,33,0,33,1804800,34,1804800,34,1804800,34,1804800,35,1804800,35,1804800,35,2208000,35,2208000
111,0,113,3,112,5377116,115,0,0,119,3,120,0,120,1804800,121,1804800,121,1804800,122,1804800,122,1804800,123,1804800,123,2208000,124,2208000
211,0,213,3,212,5377932,215,192552,145514,218,3,218,0,219,1804800,219,1804800,219,1804800,219,1804800,220,1804800,220,1804800,220,1248000,220,1248000
312,0,313,3,312,5379916,315,192552,145514,318,3,319,0,319,1804800,319,1804800,319,1804800,320,1804800,320,1804800,320,1804800,321,1248000,321,1248000
412,0,413,3,412,5381176,415,192552,145514,418,3,418,0,418,1804800,419,1804800,419,1804800,419,1804800,419,1804800,420,1804800,420,1248000,420,1248000
513,0,515,3,514,5382436,517,192552,145514,520,3,521,0,521,1804800,522,1804800,522,1804800,522,1804800,522,1804800,522,1804800,523,1248000,523,1248000
613,0,615,3,614,5383476,617,192552,145514,620,3,620,0,621,1804800,621,1804800,621,1804800,622,1804800,622,1804800,622,1804800,622,1248000,623,1248000
714,0,715,3,714,5384508,716,192552,145514,718,3,718,0,718,1804800,719,1804800,719,1804800,719,1804800,719,1804800,720,1804800,720,1248000,720,1248000
814,0,815,3,815,5385744,817,192552,145514,820,3,820,0,820,1804800,821,1804800,821,1804800,821,1804800,822,1804800,822,1804800,822,1248000,822,1248000
915,0,917,3,916,5386248,919,192552,145514,922,3,922,0,922,1804800,923,1804800,923,1804800,923,1804800,923,1804800,924,1804800,924,1248000,924,1248000
1015,0,1016,3,1016,5387024,1018,192552,145514,1020,3,1021,0,1021,1804800,1021,1804800,1022,1804800,1022,1804800,1022,1804800,1022,1804800,1023,1248000,1023,1248000
1115,0,1117,3,1116,5387780,1118,192552,145514,1121,3,1121,0,1122,1804800,1122,1804800,1122,1804800,1122,1804800,1123,1804800,1123,1804800,1123,1248000,1124,1248000
1216,0,1218,3,1217,5388796,1222,192552,145514,1225,3,1226,0,1226,1324800,1227,1324800,1227,1324800,1227,1324800,1228,1324800,1228,1324800,1228,1036800,1229,1036800
1317,0,1319,3,1318,5389300,1321,50398,3360,1325,3,1325,0,1326,1804800,1326,1804800,1326,1804800,1327,1804800,1327,1804800,1327,1804800,1328,1036800,1328,1036800
1418,0,1420,3,1418,5390056,1423,50398,3360,1426,3,1426,0,1427,1516800,1427,1516800,1427,1516800,1428,1516800,1428,1516800,1428,1516800,1428,1036800,1429,1036800
