Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
30,0,32,3,31,5275792,33,0,0,36,0,36,0,36,1804800,37,1804800,37,1804800,37,1804800,37,1804800,37,1804800,38,2208000,38,2208000
117,0,118,3,117,5278288,119,0,0,122,0,122,0,122,1804800,122,1804800,123,1804800,123,1804800,123,1804800,123,1804800,123,2208000,124,2208000
218,0,220,3,219,5278792,221,0,0,224,3,224,0,225,1804800,225,1804800,225,1804800,225,1804800,226,1804800,226,1804800,226,1248000,227,1248000
319,0,320,3,319,5280400,322,192552,0,324,3,325,0,325,1804800,325,1804800,325,1804800,326,1804800,326,1804800,326,1804800,326,1248000,326,1248000
419,0,421,3,420,5281156,423,192552,0,426,3,427,0,427,1804800,427,1804800,428,1804800,428,1804800,428,1804800,429,1804800,429,2208000,429,2208000
521,0,522,3,521,5285248,524,192552,0,527,3,527,0,528,1804800,528,1804800,529,1804800,529,1804800,530,1804800,530,1804800,530,2073600,531,2073600
622,0,624,3,623,5288584,627,192552,0,631,3,633,0,634,1804800,634,1804800,635,1804800,635,1804800,636,1804800,636,1804800,636,2208000,637,2208000
724,0,727,3,726,5286348,730,192552,0,734,3,734,0,735,1804800,735,1804800,736,1804800,737,1804800,737,1804800,738,1804800,738,2208000,739,2208000
824,0,826,3,825,5289532,829,192552,0,833,3,833,0,834,1804800,835,1804800,836,1804800,836,1804800,837,1804800,837,1804800,837,2208000,838,2208000
925,0,926,3,925,5293856,927,192552,0,930,3,930,0,931,1804800,931,1804800,931,1804800,931,1804800,932,1804800,932,1804800,932,2208000,932,2208000
1025,0,1027,3,1026,5301684,1030,192552,0,1034,3,1034,0,1034,1804800,1035,1804800,1035,1804800,1035,1804800,1035,1804800,1036,1804800,1036,2208000,1036,2208000
1126,0,1127,3,1126,5306088,1130,192552,0,1134,3,1134,0,1135,1804800,1135,1804800,1136,1248000,1136,1248000,1137,1804800,1137,1804800,1137,2208000,1138,2208000
1226,0,1228,3,1227,5309372,1230,192552,0,1233,2,1233,0,1234,1248000,1234,1248000,1235,1248000,1235,1248000,1236,1248000,1236,1248000,1236,2208000,1237,2208000
1327,0,1329,3,1328,5312860,1331,128368,0,1335,2,1336,0,1336,1248000,1337,1804800,1337,1804800,1337,1804800,1337,1804800,1338,1804800,1338,2208000,1338,2208000
1427,0,1429,3,1428,5314120,1432,128368,0,1435,2,1435,0,1436,1248000,1436,1248000,1436,1248000,1437,1248000,1437,1248000,1437,1248000,1437,2208000,1438,2208000
1528,0,1530,3,1529,5320216,1532,128368,0,1536,2,1536,0,1537,1516800,1537,1516800,1537,1516800,1538,1516800,1538,1516800,1538,1516800,1538,2131200,1539,2131200
1629,0,1631,3,1629,5325208,1633,80132,0,1637,2,1638,0,1638,1324800,1639,1324800,1639,1324800,1639,1324800,1640,1324800,1640,1324800,1640,2208000,1641,2208000
1730,0,1732,3,1730,5325460,1734,58100,0,1738,2,1739,0,1739,768000,1740,768000,1740,768000,1741,768000,1742,768000,1742,768000,1742,2208000,1743,2208000
1830,0,1833,3,1831,5327728,1836,58100,0,1842,2,1843,0,1843,768000,1844,768000,1844,1017600,1845,1017600,1845,1017600,1846,1017600,1846,2208000,1846,2208000
1931,0,1933,3,1932,5330248,1936,33598,0,1940,2,1941,0,1941,768000,1942,768000,1942,768000,1943,768000,1943,768000,1944,768000,1944,2208000,1945,2208000
2032,0,2033,3,2032,5333296,2037,33598,0,2041,2,2042,0,2042,1017600,2043,1017600,2043,1017600,2044,1017600,2044,1017600,2045,1017600,2045,2208000,2045,2208000
2132,0,2135,3,2133,5335832,2138,33598,0,2143,2,2143,0,2144,1804800,2144,1804800,2145,1612800,2145,1612800,2145,1612800,2146,1612800,2146,2208000,2146,2208000
