Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
27,0,28,3,27,5318872,30,0,0,33,0,34,0,34,1804800,34,1804800,35,1804800,35,1804800,35,1804800,36,1804800,36,2208000,36,2208000
111,0,114,3,112,5323968,117,0,0,124,0,124,0,125,1804800,125,1804800,126,1804800,127,1804800,128,1804800,128,1804800,131,2208000,132,2208000
215,0,219,3,216,5332768,228,0,0,232,0,233,0,234,1804800,246,1804800,247,1804800,247,1804800,248,1804800,248,1804800,249,2208000,249,2208000
315,0,317,3,315,5336524,325,0,0,332,0,332,0,333,1804800,333,1804800,334,1804800,335,1804800,335,1804800,336,1804800,337,2208000,339,2208000
415,0,417,3,416,5339704,420,0,0,424,0,424,0,425,1804800,426,1804800,426,1804800,427,1804800,427,1804800,428,1804800,428,2208000,429,2208000
516,0,518,3,517,5345280,521,0,0,525,3,526,0,526,1804800,527,1804800,527,1804800,528,1804800,528,1804800,528,1804800,529,2208000,529,2208000
617,0,618,3,617,5347052,621,192552,177433,624,3,625,0,625,1804800,626,1804800,627,1804800,627,1804800,627,1804800,628,1804800,628,2208000,628,2208000
717,0,719,3,718,5349320,723,192552,177433,729,3,730,0,730,1804800,731,1804800,731,1804800,732,1804800,732,1804800,733,1804800,733,2208000,733,2208000
818,0,820,3,819,5351368,823,192552,177433,827,3,827,0,828,1804800,828,1804800,829,1804800,829,1804800,829,1804800,830,1804800,830,2208000,831,2208000
919,0,921,3,920,5355316,924,192552,177433,927,3,928,0,928,1804800,929,1804800,929,1804800,930,1804800,930,1804800,931,1804800,931,2208000,931,2208000
1020,0,1022,3,1020,5357332,1024,192552,177433,1027,3,1028,0,1028,1804800,1028,1804800,1029,1804800,1029,1804800,1029,1804800,1030,1804800,1030,2208000,1030,2208000
1120,0,1122,3,1121,5358216,1125,192552,177433,1129,3,1129,0,1129,1804800,1130,1804800,1130,1804800,1131,1804800,1131,1804800,1131,1804800,1132,2208000,1132,2208000
1221,0,1223,3,1222,5361272,1226,192552,177433,1231,3,1231,0,1232,1804800,1233,1804800,1233,1804800,1234,1804800,1235,1804800,1236,1804800,1237,2208000,1237,2208000
1322,0,1324,3,1323,5351736,1327,120198,105079,1334,3,1335,0,1337,1804800,1339,1804800,1340,1804800,1341,1804800,1342,1804800,1343,1804800,1343,2208000,1344,2208000
1423,0,1424,3,1423,5352336,1427,120198,105079,1431,3,1432,0,1432,1804800,1433,1804800,1433,1804800,1433,1804800,1434,1804800,1434,1804800,1435,2208000,1435,2208000
1523,0,1524,3,1523,5353668,1526,120198,105079,1530,4,1531,0,1531,1804800,1532,1804800,1532,1804800,1533,1804800,1533,1804800,1534,1804800,1534,2208000,1535,2208000
1623,0,1625,3,1624,5356976,1627,116200,101081,1633,4,1633,0,1634,1804800,1634,1804800,1635,1804800,1635,1804800,1636,1804800,1636,1804800,1637,2208000,1637,2208000
1724,0,1727,3,1724,5364848,1733,67197,52078,1738,4,1740,0,1741,1804800,1742,1804800,1744,1804800,1745,1804800,1756,1804800,1757,1804800,1757,2208000,1757,2208000
1824,0,1826,3,1825,5358032,1828,67197,52078,1831,4,1832,0,1832,1804800,1833,1804800,1834,1804800,1834,1804800,1834,1804800,1834,1804800,1835,787200,1835,787200
1927,0,1930,3,1928,5358888,1933,67197,52078,1939,4,1940,0,1940,1017600,1941,1017600,1942,1017600,1942,1017600,1943,1017600,1944,1017600,1944,1555200,1945,1555200
2028,0,2030,3,2028,5359652,2034,67197,52078,2040,4,2041,0,2042,768000,2042,768000,2043,768000,2043,768000,2044,768000,2044,768000,2045,2208000,2045,2208000
2129,0,2132,3,2130,5360660,2136,67197,52078,2142,4,2143,0,2144,768000,2145,768000,2146,768000,2146,1248000,2147,1248000,2147,1248000,2148,787200,2148,787200
2229,0,2232,3,2230,5361724,2236,67197,52078,2241,4,2242,0,2242,1017600,2243,1017600,2243,1017600,2244,1017600,2244,1017600,2245,1017600,2245,979200,2246,979200
2331,0,2334,3,2332,5362236,2339,67197,52078,2348,4,2349,0,2351,1248000,2351,1248000,2352,1248000,2353,1248000,2353,1248000,2354,1248000,2354,2073600,2355,2073600
2431,0,2433,3,2432,5365152,2435,67197,52078,2438,4,2439,0,2439,1804800,2440,1804800,2440,1804800,2440,1804800,2441,1804800,2441,1804800,2441,2208000,2441,2208000
2532,0,2534,3,2532,5367752,2536,67197,52078,2542,10,2542,0,2543,768000,2544,768000,2544,768000,2545,768000,2546,768000,2546,1017600,2547,2208000,2547,2208000
2634,0,2636,3,2634,5369240,2640,167994,152875,2646,10,2647,0,2647,1804800,2648,1804800,2648,1804800,2648,1804800,2649,1804800,2649,1804800,2649,2073600,2650,2073600
2734,0,2736,3,2735,5370924,2742,167994,152875,2747,10,2748,0,2749,1516800,2749,1516800,2750,1516800,2751,1516800,2751,1516800,2752,1516800,2752,1401600,2752,1401600
2835,0,2836,3,2835,5376508,2840,167994,152875,2844,10,2844,0,2845,1804800,2846,1804800,2846,1804800,2847,1804800,2847,1804800,2848,1804800,2848,1036800,2848,1036800
2940,0,2943,3,2941,5377692,2947,167994,152875,2954,10,2955,0,2955,1248000,2956,1248000,2957,1248000,2957,1248000,2958,1248000,2958,1248000,2959,787200,2959,787200
3041,0,3043,3,3042,5380040,3047,167994,152875,3051,10,3052,0,3052,1324800,3053,1324800,3053,1324800,3054,1324800,3055,1324800,3055,1324800,3056,2208000,3056,2208000
3141,0,3144,3,3142,5382024,3148,167994,152875,3152,10,3153,0,3154,1248000,3155,1248000,3156,1248000,3156,1248000,3157,1248000,3157,1248000,3158,2208000,3158,2208000
3241,0,3243,3,3242,5388120,3247,167994,152875,3256,10,3256,0,3257,1804800,3257,1804800,3258,1804800,3258,1804800,3259,1804800,3259,1804800,3260,2208000,3260,2208000
3342,0,3344,3,3343,5359824,3346,167994,152875,3350,10,3351,0,3352,1248000,3353,1248000,3354,1248000,3354,1248000,3355,1516800,3355,1324800,3356,2208000,3357,2208000
3442,0,3444,3,3443,5360392,3447,167994,152875,3450,10,3450,0,3451,1804800,3451,1804800,3451,1804800,3452,1804800,3452,1804800,3452,1804800,3453,2208000,3453,2208000
3543,0,3545,3,3544,5349884,3547,167994,152875,3552,5,3552,0,3553,1516800,3553,1516800,3553,1516800,3554,1516800,3554,1516800,3555,1516800,3555,2131200,3556,2131200
3644,0,3646,3,3645,5350784,3650,83997,68878,3656,5,3657,0,3658,768000,3658,768000,3659,768000,3659,768000,3660,768000,3660,768000,3660,2208000,3661,2208000
3745,0,3748,3,3746,5361540,3752,83997,68878,3757,5,3758,0,3759,1017600,3760,1017600,3760,1017600,3761,1017600,3761,1017600,3762,1017600,3762,787200,3763,787200
3846,0,3849,3,3847,5362328,3855,83997,68878,3864,5,3865,0,3866,1017600,3867,1324800,3868,1324800,3868,1324800,3869,1324800,3870,1324800,3870,787200,3871,787200
3947,0,3951,3,3948,5362884,3955,83997,68878,3961,5,3962,0,3963,768000,3963,768000,3964,768000,3965,768000,3965,768000,3966,768000,3967,787200,3967,787200
4048,0,4051,3,4049,5367168,4056,83997,68878,4061,5,4062,0,4063,768000,4064,768000,4064,768000,4065,768000,4066,768000,4067,1248000,4068,787200,4068,787200
