Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
70,0,72,3,71,5357320,74,0,0,78,0,78,0,79,1804800,79,1804800,80,1804800,80,1804800,80,1804800,81,1804800,81,2208000,81,2208000
170,0,172,3,171,5358548,174,0,0,176,0,177,0,177,1804800,177,1804800,177,1804800,178,1804800,178,1804800,178,1804800,178,1248000,179,1248000
271,0,272,3,271,5360312,273,0,0,276,0,276,0,276,1804800,277,1804800,277,1804800,277,1804800,277,1804800,278,1804800,278,1248000,278,1248000
371,0,381,3,379,5361344,382,0,0,385,0,385,0,385,1804800,385,1804800,386,1804800,386,1804800,386,1804800,387,1804800,387,1248000,388,1248000
472,0,473,3,472,5353816,475,0,0,478,0,478,0,478,1804800,479,1804800,479,1804800,479,1804800,479,1804800,480,1804800,480,1248000,480,1248000
573,0,574,3,573,5354440,576,0,0,578,0,578,0,578,1804800,579,1804800,579,1804800,579,1804800,579,1804800,580,1804800,580,1248000,580,1248000
673,0,675,3,674,5356920,676,0,0,683,0,683,0,683,1804800,684,1804800,684,1804800,684,1804800,684,1804800,684,1804800,685,1248000,685,1248000
774,0,775,3,774,5356404,777,0,0,779,0,780,0,780,1804800,780,1804800,781,1804800,781,1804800,781,1804800,781,1804800,781,1248000,782,1248000
877,0,879,3,877,5361252,882,0,0,889,0,890,0,891,1804800,892,1804800,892,1804800,893,1804800,896,1804800,897,1804800,897,2208000,898,2208000
975,0,977,3,976,5366416,980,0,0,986,0,988,0,989,1804800,992,1804800,992,1804800,993,1804800,993,1804800,994,1804800,994,2208000,995,2208000
1076,0,1077,3,1076,5375828,1080,0,0,1084,3,1085,0,1085,1804800,1089,1804800,1091,1804800,1091,1804800,1091,1804800,1092,1804800,1092,2208000,1093,2208000
1176,0,1178,3,1177,5378136,1180,192552,0,1184,3,1185,0,1185,1804800,1186,1804800,1186,1804800,1186,1804800,1187,1804800,1187,1804800,1187,2208000,1188,2208000
1277,0,1279,3,1278,5382180,1282,192552,0,1290,3,1291,0,1291,1804800,1292,1804800,1292,1804800,1293,1804800,1293,1804800,1293,1804800,1293,2208000,1294,2208000
1378,0,1379,3,1378,5391220,1382,192552,0,1385,3,1385,0,1386,1248000,1386,1248000,1387,1804800,1387,1804800,1387,1804800,1388,1804800,1388,2208000,1388,2208000
1479,0,1481,3,1480,5394244,1485,192552,0,1490,3,1490,0,1491,1804800,1491,1804800,1491,1804800,1492,1804800,1492,1804800,1492,1804800,1492,2208000,1492,2208000
1579,0,1581,3,1580,5395672,1583,192552,0,1588,3,1588,0,1589,1804800,1590,1804800,1591,1804800,1591,1804800,1592,1804800,1592,1804800,1592,2208000,1593,2208000
1680,0,1682,3,1681,5398600,1685,192552,0,1689,3,1690,0,1690,1248000,1691,1248000,1691,1248000,1691,1248000,1692,1248000,1692,1248000,1693,2208000,1693,2208000
1780,0,1783,3,1781,5399584,1785,192552,0,1790,3,1790,0,1791,1017600,1791,1017600,1792,1017600,1792,1017600,1793,1017600,1793,1017600,1793,2208000,1794,2208000
1881,0,1883,3,1882,5400868,1889,120198,0,1893,3,1894,0,1894,1248000,1895,1708800,1895,1708800,1896,1708800,1896,1708800,1896,1708800,1897,2208000,1897,2208000
1982,0,1983,3,1982,5406640,1985,120198,0,1989,3,1989,0,1989,1804800,1990,1804800,1990,1804800,1990,1804800,1990,1804800,1991,1804800,1991,2208000,1991,2208000
2082,0,2083,3,2082,5409468,2084,120198,0,2086,3,2087,0,2087,768000,2088,768000,2089,1804800,2089,1804800,2089,1804800,2090,1804800,2090,2208000,2090,2208000
2183,0,2185,3,2184,5411868,2189,50398,0,2194,3,2195,0,2195,768000,2196,768000,2196,768000,2197,768000,2197,768000,2198,768000,2199,2208000,2199,2208000
2283,0,2285,3,2284,5415660,2287,50398,0,2292,3,2293,0,2293,1248000,2294,1248000,2295,1248000,2296,1804800,2297,1804800,2297,1804800,2297,2073600,2298,2073600
2384,0,2386,3,2385,5406444,2390,50398,0,2396,3,2397,0,2397,768000,2398,768000,2399,768000,2399,768000,2400,768000,2400,768000,2400,2208000,2401,2208000
2484,0,2486,3,2485,5410192,2489,50398,0,2495,3,2495,0,2496,1804800,2496,1804800,2497,1804800,2497,1804800,2498,1804800,2498,1804800,2499,2208000,2499,2208000
