Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
64,0,65,3,64,5350508,69,0,0,75,0,76,0,76,1804800,77,1804800,78,1804800,78,1804800,78,1804800,78,1804800,79,2208000,79,2208000
164,0,166,3,165,5352272,169,0,0,173,0,174,0,175,1804800,175,1804800,176,1804800,176,1804800,177,1804800,177,1804800,178,1248000,178,1248000
265,0,266,3,265,5354256,272,0,0,280,3,281,0,283,1804800,284,1804800,285,1804800,286,1804800,286,1804800,287,1804800,288,2208000,288,2208000
365,0,367,3,366,5337364,368,192552,0,371,3,372,0,372,1804800,372,1804800,373,1804800,373,1804800,373,1804800,373,1804800,373,1555200,374,1555200
465,0,467,3,466,5338372,468,192552,0,471,3,471,0,472,1804800,472,1804800,472,1804800,473,1804800,473,1804800,473,1804800,473,1248000,473,1248000
567,0,568,3,567,5339632,570,192552,0,577,3,577,0,578,1804800,578,1804800,579,1804800,579,1804800,580,1804800,581,1804800,581,1401600,582,1401600
667,0,668,3,667,5341160,669,192552,0,671,3,672,0,672,1804800,672,1804800,672,1804800,673,1804800,673,1804800,673,1804800,673,1248000,673,1248000
768,0,769,3,768,5342484,772,192552,0,776,0,776,0,777,1804800,777,1804800,777,1804800,778,1804800,778,1804800,779,1804800,779,1248000,779,1248000
868,0,869,3,869,5342624,871,0,0,874,0,875,0,875,1804800,876,1804800,876,1804800,877,1804800,877,1804800,877,1804800,878,1248000,879,1248000
969,0,971,3,970,5343132,973,0,0,977,0,978,0,979,1804800,979,1804800,979,1804800,980,1804800,980,1804800,980,1804800,980,1248000,981,1248000
1070,0,1072,3,1072,5344148,1076,0,0,1079,0,1079,0,1080,1804800,1080,1804800,1080,1804800,1080,1804800,1080,1804800,1081,1804800,1081,1248000,1081,1248000
1170,0,1173,3,1172,5345188,1177,0,0,1181,0,1182,0,1183,1804800,1183,1804800,1184,1804800,1184,1804800,1185,1804800,1185,1804800,1185,1036800,1186,1036800
1272,0,1273,3,1273,5336000,1276,0,0,1280,0,1280,0,1281,1248000,1281,1248000,1281,1248000,1282,1248000,1282,1248000,1282,1804800,1283,1036800,1283,1036800
1373,0,1374,3,1373,5336808,1377,0,0,1380,2,1381,0,1381,1248000,1381,1248000,1382,1248000,1382,1248000,1382,1804800,1383,1804800,1383,1036800,1383,1036800
1474,0,1477,3,1476,5337588,1481,128368,0,1488,2,1489,0,1490,576000,1491,1248000,1491,1248000,1492,1248000,1492,1248000,1492,1248000,1493,787200,1493,787200
1575,0,1577,3,1576,5338068,1581,128368,0,1588,2,1589,0,1590,768000,1590,1017600,1591,1017600,1591,1017600,1592,1017600,1592,1017600,1592,787200,1593,787200
1676,0,1679,3,1677,5338068,1682,128368,0,1688,2,1688,0,1689,576000,1690,768000,1691,768000,1691,768000,1692,768000,1692,768000,1693,787200,1693,787200
1776,0,1778,3,1777,5338756,1780,128368,0,1785,2,1785,0,1786,768000,1786,768000,1787,768000,1787,768000,1788,768000,1788,768000,1789,2208000,1789,2208000
1877,0,1880,3,1878,5340300,1885,128368,0,1891,2,1892,0,1892,1248000,1893,1248000,1893,1248000,1894,1248000,1894,1248000,1895,1248000,1896,2208000,1896,2208000
1978,0,1979,3,1978,5344244,1982,128368,0,1986,2,1987,0,1987,1324800,1988,1324800,1988,1324800,1989,1324800,1990,1324800,1990,1248000,1991,2208000,1991,2208000
2078,0,2080,3,2079,5347876,2082,128368,0,2086,2,2087,0,2088,1804800,2088,1804800,2089,1804800,2089,1804800,2089,1804800,2090,1804800,2090,2131200,2091,2208000
2179,0,2180,3,2179,5350180,2183,128368,0,2186,2,2187,0,2187,1804800,2188,1804800,2188,1804800,2188,1804800,2189,1804800,2189,1804800,2189,2208000,2189,2208000
2279,0,2281,3,2280,5356416,2284,80132,0,2287,2,2288,0,2288,1708800,2289,1708800,2289,1708800,2290,1708800,2291,1804800,2291,1804800,2291,2131200,2292,2131200
2380,0,2381,3,2380,5357900,2386,80132,0,2390,3,2390,0,2391,1804800,2391,1804800,2392,1804800,2392,1804800,2393,1804800,2394,1804800,2396,1401600,2396,2208000
2481,0,2485,3,2482,5359664,2490,87150,0,2496,3,2497,0,2497,768000,2498,768000,2498,768000,2499,768000,2499,768000,2500,768000,2500,1555200,2500,1555200
2582,0,2585,3,2584,5360444,2591,87150,0,2597,3,2597,0,2598,768000,2599,768000,2599,768000,2600,768000,2600,768000,2600,768000,2601,787200,2602,787200
2683,0,2686,3,2684,5360672,2693,50398,0,2698,3,2698,0,2699,768000,2699,768000,2700,768000,2700,768000,2701,768000,2702,768000,2702,787200,2703,787200
2783,0,2784,3,2783,5361964,2787,50398,0,2793,3,2793,0,2793,1516800,2794,1516800,2794,1516800,2795,1516800,2795,1516800,2795,1516800,2795,2208000,2796,2208000
2884,0,2887,3,2885,5362436,2894,50398,0,2899,3,2899,0,2900,768000,2900,768000,2900,768000,2901,768000,2901,768000,2902,768000,2902,787200,2903,787200
2985,0,2989,3,2986,5363476,2997,50398,0,3004,3,3004,0,3005,768000,3006,768000,3007,768000,3007,768000,3008,768000,3008,768000,3009,1248000,3010,1248000
3086,0,3089,3,3087,5364980,3093,50398,0,3097,3,3098,0,3099,768000,3099,768000,3099,768000,3100,768000,3100,768000,3101,768000,3101,787200,3102,787200
3187,0,3191,3,3189,5365460,3195,50398,0,3200,3,3201,0,3202,576000,3203,576000,3204,576000,3204,576000,3205,576000,3205,576000,3206,787200,3206,787200
3290,0,3295,3,3292,5365884,3301,50398,0,3309,3,3309,0,3310,576000,3311,1248000,3311,1248000,3312,1248000,3312,1248000,3312,1248000,3313,787200,3314,787200
3390,0,3393,3,3391,5370892,3396,50398,0,3402,3,3402,0,3403,768000,3403,768000,3404,768000,3404,768000,3405,768000,3405,768000,3406,787200,3406,787200
3492,0,3494,3,3493,5371924,3500,50398,0,3506,5,3507,0,3507,768000,3508,768000,3508,768000,3509,768000,3509,768000,3510,768000,3510,787200,3511,787200
3592,0,3595,3,3593,5372176,3597,83997,0,3602,5,3602,0,3603,768000,3603,768000,3604,768000,3604,768000,3605,768000,3605,768000,3606,787200,3606,787200
3693,0,3697,3,3695,5372908,3701,83997,0,3710,5,3711,0,3712,1248000,3712,1248000,3713,1248000,3713,1248000,3714,1248000,3714,1248000,3714,787200,3715,787200
3794,0,3797,3,3795,5374200,3801,83997,0,3807,5,3808,0,3809,576000,3810,576000,3811,1248000,3811,1248000,3812,1248000,3812,1248000,3812,787200,3813,787200
3895,0,3898,3,3896,5374224,3903,83997,0,3910,5,3911,0,3912,768000,3913,768000,3914,768000,3915,768000,3915,768000,3916,768000,3916,787200,3917,787200
4001,0,4004,3,4002,5375208,4007,83997,0,4011,5,4012,0,4012,768000,4013,768000,4013,768000,4014,768000,4014,768000,4015,768000,4015,1555200,4016,1555200
4103,0,4106,3,4104,5350288,4111,83997,0,4116,5,4116,0,4117,1248000,4117,1248000,4117,1248000,4118,1248000,4118,1248000,4119,1248000,4119,787200,4119,787200
4203,0,4205,3,4204,5352496,4208,83997,0,4212,5,4213,0,4213,1248000,4214,1248000,4214,1248000,4215,1248000,4215,1248000,4215,1248000,4216,787200,4216,787200
4304,0,4307,3,4305,5353116,4312,83997,0,4316,5,4316,0,4317,1804800,4317,1804800,4317,1804800,4317,1804800,4318,1804800,4318,1804800,4319,787200,4319,787200
4404,0,4407,3,4406,5353144,4411,83997,0,4416,5,4416,0,4417,768000,4418,768000,4418,768000,4419,768000,4420,768000,4420,768000,4421,787200,4422,787200
4505,0,4507,3,4506,5353396,4509,83997,0,4512,5,4513,0,4513,768000,4514,768000,4514,768000,4515,768000,4515,768000,4516,768000,4516,787200,4517,787200
4606,0,4609,3,4607,5353836,4613,83997,0,,,,,,,,,,,,,,,,,,,,
