Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
32,0,34,3,32,5345652,38,0,0,43,0,43,0,44,1804800,44,1804800,44,1804800,45,1804800,45,1804800,45,1804800,46,2208000,46,2208000
117,0,119,3,118,5355240,121,0,0,126,0,127,0,127,1804800,127,1804800,128,1804800,128,1804800,129,1804800,129,1804800,129,2208000,130,2208000
217,0,219,3,218,5357660,221,0,0,225,0,226,0,226,1804800,227,1804800,227,1804800,227,1804800,228,1804800,228,1804800,228,2208000,229,2208000
318,0,320,3,319,5366160,324,0,0,328,3,329,0,329,1804800,330,1804800,330,1804800,331,1804800,331,1804800,331,1804800,332,2208000,332,2208000
419,0,421,3,420,5371564,425,192552,175753,430,3,431,0,431,1804800,432,1804800,432,1804800,433,1804800,434,1804800,434,1804800,435,2208000,435,2208000
519,0,521,3,520,5377896,525,192552,175753,530,3,530,0,531,1804800,532,1804800,532,1804800,532,1804800,533,1804800,534,1804800,534,2208000,534,2208000
620,0,622,3,620,5384228,627,192552,175753,632,3,633,0,634,1804800,635,1804800,635,1804800,636,1804800,636,1804800,637,1804800,637,2208000,638,2208000
720,0,723,3,721,5440360,726,192552,175753,735,3,735,0,736,1804800,737,1804800,738,1804800,739,1804800,741,1804800,741,1804800,742,2208000,742,2208000
821,0,822,3,821,5444684,825,192552,175753,828,3,829,0,829,1804800,829,1804800,830,1804800,830,1804800,831,1804800,831,1804800,831,2208000,831,2208000
921,0,923,3,922,5447708,925,192552,175753,929,3,930,0,931,1804800,931,1804800,931,1804800,932,1804800,932,1804800,932,1804800,932,2208000,933,2208000
1022,0,1024,3,1023,5449440,1027,192552,175753,1038,3,1039,0,1039,1804800,1040,1804800,1041,1804800,1041,1804800,1042,1804800,1042,1804800,1043,2208000,1043,2208000
