Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
26,0,28,3,27,5383156,31,128368,17749,35,2,37,0,37,1804800,38,1804800,38,1804800,39,1804800,40,1804800,40,1804800,41,2208000,41,2208000
111,0,114,3,112,5375596,121,128368,17749,135,2,137,0,138,1804800,139,1804800,139,1804800,142,1804800,142,1804800,143,1804800,144,2208000,144,2208000
211,0,212,3,211,5378412,215,128368,17749,219,2,220,0,220,1804800,221,1804800,221,1804800,222,1804800,222,1804800,222,1804800,222,2208000,223,2208000
311,0,313,3,311,5379404,315,128368,17749,319,2,320,0,320,1804800,321,1804800,321,1804800,322,1804800,322,1804800,323,1804800,325,2208000,325,2208000
411,0,413,3,412,5383312,416,128368,17749,421,4,422,0,423,1804800,423,1804800,424,1804800,424,1804800,425,1804800,426,1804800,426,2208000,427,2208000
512,0,514,3,513,5385640,517,256736,146117,522,4,523,0,523,1804800,524,1804800,525,1804800,525,1804800,526,1804800,526,1804800,527,2208000,527,2208000
613,0,614,3,613,5387404,617,256736,146117,621,4,622,0,622,1804800,622,1804800,623,1804800,623,1804800,624,1804800,624,1804800,625,2208000,625,2208000
714,0,716,3,715,5389672,717,256736,146117,720,4,720,0,720,1804800,721,1804800,721,1804800,721,1804800,721,1804800,721,1804800,722,1248000,722,1248000
814,0,816,3,815,5391688,818,256736,146117,819,4,820,0,820,1804800,820,1804800,820,1804800,821,1804800,821,1804800,821,1804800,821,1248000,822,1248000
915,0,916,3,915,5392948,917,256736,146117,920,4,920,0,920,1804800,920,1804800,921,1804800,921,1804800,921,1804800,921,1804800,922,1248000,922,1248000
1015,0,1016,3,1015,5393476,1017,256736,146117,1019,4,1019,0,1020,1804800,1020,1804800,1020,1804800,1020,1804800,1020,1804800,1021,1804800,1021,1248000,1021,1248000
1115,0,1117,3,1116,5393988,1118,256736,146117,1120,4,1120,0,1121,1804800,1121,1804800,1121,1804800,1121,1804800,1121,1804800,1122,1804800,1122,1248000,1122,1248000
1216,0,1218,3,1217,5394492,1220,256736,146117,1223,4,1224,0,1224,1248000,1225,1248000,1225,1248000,1225,1248000,1226,1248000,1226,1248000,1226,1036800,1226,1036800
1317,0,1319,3,1318,5395020,1321,256736,146117,1324,4,1325,0,1325,1248000,1325,1248000,1326,1248000,1326,1248000,1326,1248000,1327,1248000,1327,1036800,1327,1036800
1418,0,1419,3,1418,5396060,1421,256736,146117,1424,4,1425,0,1425,1248000,1426,1248000,1426,1248000,1426,1248000,1426,1248000,1427,1248000,1427,1036800,1427,1036800
1519,0,1523,3,1521,5395856,1528,256736,146117,1535,4,1537,0,1538,576000,1538,576000,1539,576000,1540,576000,1541,576000,1542,576000,1542,787200,1543,787200
1619,0,1621,3,1620,5396384,1626,256736,146117,1631,2,1632,0,1632,1017600,1633,1017600,1633,1017600,1634,1017600,1634,1017600,1635,1017600,1635,787200,1635,787200
1721,0,1725,3,1722,5396904,1732,128368,17749,1739,2,1739,0,1740,576000,1741,576000,1742,576000,1742,576000,1743,576000,1743,576000,1744,787200,1744,787200
1823,0,1826,3,1824,5397044,1833,33598,0,1840,0,1841,0,1842,768000,1842,768000,1843,768000,1844,768000,1844,768000,1845,768000,1845,787200,1846,787200
1923,0,1929,3,1926,5397800,1933,0,0,1940,0,1941,0,1942,576000,1945,576000,1945,576000,1946,576000,1947,576000,1947,576000,1948,787200,1949,787200
2024,0,2031,3,2027,5398556,2036,0,0,2044,0,2045,0,2046,576000,2047,576000,2047,576000,2048,576000,2049,576000,2050,576000,2050,787200,2052,787200
2125,0,2130,3,2126,5399060,2134,0,0,2141,0,2142,0,2143,768000,2143,768000,2144,768000,2145,768000,2145,768000,2146,768000,2146,787200,2148,787200
2226,0,2229,3,2227,5400068,2233,0,0,2242,0,2242,0,2243,576000,2244,576000,2245,576000,2245,576000,2246,576000,2246,576000,2247,787200,2248,787200
2326,0,2328,3,2327,5400824,2330,0,0,2337,0,2337,0,2338,1017600,2338,1017600,2339,1017600,2339,1017600,2340,1017600,2340,1017600,2340,787200,2341,787200
2427,0,2431,3,2429,5401580,2437,0,0,2443,0,2444,0,2445,768000,2446,768000,2446,768000,2447,768000,2447,768000,2448,768000,2448,787200,2449,787200
2529,0,2532,3,2530,5401584,2536,0,0,2541,0,2542,0,2543,576000,2544,576000,2545,576000,2545,576000,2546,576000,2546,576000,2547,787200,2547,787200
2629,0,2631,3,2630,5402340,2634,0,0,2640,0,2640,0,2641,576000,2642,576000,2643,576000,2643,576000,2644,576000,2645,576000,2645,787200,2646,787200
2730,0,2733,3,2731,5403096,2736,0,0,2742,0,2743,0,2744,576000,2744,576000,2745,576000,2746,576000,2746,576000,2747,576000,2747,787200,2748,787200
2834,0,2836,3,2835,5403600,2839,0,0,2842,4,2843,0,2843,1248000,2844,1248000,2844,1248000,2844,1248000,2845,1248000,2845,1248000,2845,787200,2845,787200
2937,0,2940,3,2939,5404104,2944,67197,0,2949,4,2949,0,2950,576000,2951,576000,2951,576000,2952,576000,2952,576000,2953,768000,2953,787200,2954,787200
3038,0,3041,3,3039,5405112,3044,67197,0,3048,4,3048,0,3049,768000,3049,768000,3050,768000,3050,768000,3051,768000,3051,768000,3051,787200,3052,787200
3139,0,3142,3,3140,5405388,3147,67197,0,3152,4,3153,0,3153,768000,3154,768000,3154,768000,3154,768000,3155,768000,3155,768000,3156,787200,3156,787200
3239,0,3242,3,3240,5405924,3248,67197,0,3253,4,3254,0,3254,768000,3255,768000,3255,768000,3255,768000,3256,768000,3257,768000,3257,787200,3258,787200
3342,0,3344,3,3343,5412224,3349,67197,0,3354,4,3354,0,3355,768000,3356,768000,3356,768000,3358,768000,3359,768000,3359,768000,3360,2208000,3360,2208000
3443,0,3446,3,3445,5387284,3450,67197,0,3459,4,3460,0,3460,768000,3461,768000,3461,768000,3462,768000,3462,768000,3463,768000,3463,787200,3463,787200
3546,0,3549,3,3547,5388024,3552,67197,0,3558,4,3559,0,3560,768000,3561,768000,3561,768000,3562,768000,3562,768000,3562,768000,3563,787200,3563,787200
3646,0,3648,3,3647,5388064,3651,67197,0,3657,4,3657,0,3658,768000,3659,768000,3659,768000,3660,768000,3660,768000,3660,768000,3661,787200,3661,787200
3750,0,3753,3,3751,5388632,3756,67197,0,3761,4,3761,0,3762,768000,3762,768000,3763,768000,3763,768000,3763,768000,3764,768000,3765,787200,3765,787200
