Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
70,0,73,3,71,5383552,1,0,0,9,0,10,0,10,1804800,11,1804800,11,1804800,11,1804800,12,1804800,12,1804800,13,2208000,13,2208000
170,0,171,3,170,5380720,79,0,0,83,0,83,0,84,1804800,94,1804800,95,1804800,96,1804800,97,1804800,97,1804800,98,2208000,98,2208000
270,0,272,3,271,5386848,175,0,0,179,0,179,0,180,1804800,180,1804800,181,1804800,181,1804800,183,1804800,183,1804800,184,2208000,184,2208000
371,0,373,3,371,5398720,274,0,0,278,4,279,0,279,1804800,280,1804800,280,1804800,281,1804800,281,1804800,282,1804800,282,2208000,283,2208000
471,0,473,3,472,5413180,383,256736,224818,389,4,389,0,390,1804800,393,1804800,394,1804800,394,1804800,395,1804800,395,1804800,396,2208000,396,2208000
572,0,578,3,573,5441916,477,256736,224818,481,4,481,0,482,1804800,482,1804800,483,1804800,483,1804800,484,1804800,485,1804800,486,2208000,487,2208000
675,0,676,3,675,5444468,584,256736,224818,589,4,590,0,596,1804800,598,1804800,599,1804800,599,1804800,600,1804800,600,1804800,600,2208000,601,2208000
777,0,779,3,777,5438436,679,256736,224818,683,4,684,0,684,1804800,685,1804800,685,1804800,686,1804800,687,1804800,687,1804800,688,2208000,688,2208000
879,0,884,3,880,5443316,781,256736,224818,785,4,785,0,786,1804800,786,1804800,786,1804800,787,1804800,787,1804800,788,1804800,788,2208000,788,2208000
981,0,982,3,981,5449460,887,256736,224818,892,4,892,0,893,1804800,894,1804800,894,1804800,898,1804800,898,1804800,899,1804800,900,2208000,900,2208000
1082,0,1084,3,1083,5425612,985,256736,224818,1016,4,1016,0,1018,1804800,1019,1804800,1019,1804800,1020,1804800,1020,1804800,1021,1804800,1023,2208000,1023,2208000
1183,0,1186,3,1184,5427984,1088,256736,224818,1100,4,1101,0,1101,1804800,1102,1804800,1102,1804800,1103,1804800,1103,1804800,1104,1804800,1104,2208000,1104,2208000
1285,0,1287,3,1286,5440392,1188,256736,224818,1195,4,1196,0,1196,1804800,1197,1804800,1198,1804800,1198,1804800,1199,1804800,1199,1804800,1200,2208000,1200,2208000
1386,0,1388,3,1387,5451236,1291,256736,224818,1304,4,1305,0,1305,1804800,1306,1804800,1306,1804800,1306,1804800,1306,1804800,1307,1804800,1307,2208000,1307,2208000
1487,0,1490,3,1488,5441184,1393,256736,224818,1401,3,1401,0,1402,1804800,1403,1804800,1403,1804800,1404,1804800,1404,1804800,1405,1804800,1406,2208000,1407,2208000
1587,0,1589,3,1588,5404304,1497,192552,160634,1506,3,1506,0,1507,1804800,1508,1804800,1508,1804800,1509,1804800,1509,1804800,1516,1804800,1517,2208000,1517,2208000
1687,0,1688,3,1688,5406760,1591,192552,160634,1595,3,1595,0,1596,1804800,1596,1804800,1597,1804800,1597,1804800,1597,1804800,1598,1804800,1598,2208000,1598,2208000
1788,0,1790,3,1788,5414320,1691,192552,160634,1694,3,1695,0,1695,1804800,1695,1804800,1696,1804800,1696,1804800,1696,1804800,1696,1804800,1696,2208000,1697,2208000
1888,0,1890,3,1889,5405228,1793,192552,160634,1798,3,1798,0,1799,1804800,1799,1804800,1801,1804800,1801,1804800,1801,1804800,1802,1804800,1802,2208000,1802,2208000
1989,0,1991,3,1990,5409420,1892,192552,160634,1895,3,1896,0,1896,1708800,1896,1708800,1897,1708800,1897,1708800,1897,1708800,1898,1708800,1898,2208000,1898,2208000
2090,0,2092,3,2091,5415444,1994,192552,160634,1998,3,1998,0,1999,1804800,1999,1804800,2000,1804800,2000,1804800,2000,1804800,2001,1804800,2001,2208000,2001,2208000
2190,0,2192,3,2191,5419912,2095,192552,160634,2099,3,2100,0,2100,1804800,2101,1804800,2102,1804800,2102,1804800,2103,1804800,2104,1804800,2104,2208000,2105,2208000
2291,0,2293,3,2292,5421184,2194,120198,88280,2197,3,2197,0,2198,1804800,2198,1804800,2199,1804800,2199,1804800,2199,1804800,2200,1804800,2200,2208000,2200,2208000
