Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
19,0,20,3,19,5401024,22,0,0,24,0,24,0,25,1804800,25,1804800,25,1804800,25,1804800,26,1804800,26,1804800,26,2208000,26,2208000
107,0,108,3,107,5403512,109,0,0,112,0,113,0,113,1804800,113,1804800,114,1804800,114,1804800,114,1804800,116,1804800,117,2208000,117,2208000
207,0,208,3,207,5395480,210,0,0,213,3,213,0,214,1804800,214,1804800,215,1804800,215,1804800,215,1804800,215,1804800,216,1248000,216,1248000
307,0,309,3,308,5397560,311,192552,163994,315,3,316,0,316,1804800,317,1804800,317,1804800,318,1804800,318,1804800,318,1804800,319,1555200,320,1555200
408,0,409,3,408,5400520,412,192552,163994,416,3,417,0,417,1804800,417,1804800,418,1804800,418,1804800,419,1804800,419,1804800,420,2208000,420,2208000
508,0,510,3,509,5404488,512,192552,163994,516,3,516,0,517,1804800,517,1804800,518,1804800,518,1804800,519,1804800,519,1804800,519,2208000,520,2208000
609,0,611,3,610,5408772,614,192552,163994,619,3,620,0,620,1804800,620,1804800,621,1804800,621,1804800,622,1804800,622,1804800,623,2208000,623,2208000
711,0,714,3,711,5419576,725,192552,163994,734,3,734,0,735,1804800,735,1804800,736,1804800,737,1804800,737,1804800,738,1804800,738,2208000,739,2208000
810,0,812,3,811,5424648,816,192552,163994,819,3,820,0,820,1804800,821,1804800,821,1804800,822,1804800,822,1804800,823,1804800,823,2208000,824,2208000
911,0,920,3,912,5427492,923,192552,163994,931,3,932,0,932,1804800,933,1804800,933,1804800,934,1804800,934,1804800,935,1804800,935,2208000,936,1555200
1011,0,1013,3,1012,5431720,1016,192552,163994,1020,3,1020,0,1021,1804800,1021,1804800,1021,1804800,1022,1804800,1022,1804800,1023,1804800,1023,2208000,1023,2208000
1113,0,1114,3,1113,5432460,1116,192552,163994,1120,3,1120,0,1121,1804800,1121,1804800,1122,1804800,1122,1804800,1122,1804800,1122,1804800,1123,2073600,1123,2073600
1213,0,1216,3,1214,5433476,1218,192552,163994,1222,7,1223,0,1223,1804800,1224,1804800,1224,1804800,1224,1804800,1225,1804800,1225,1804800,1225,2073600,1225,2073600
1314,0,1316,3,1315,5434232,1319,280463,251905,1323,7,1324,0,1324,1248000,1325,1248000,1325,1248000,1325,1248000,1326,1248000,1326,1804800,1327,2208000,1327,2073600
1415,0,1417,3,1416,5436288,1423,203351,174793,1431,7,1431,0,1432,1804800,1433,1804800,1433,1804800,1434,1804800,1434,1804800,1435,1804800,1436,2208000,1436,2208000
1520,0,1526,3,1522,5491004,1555,117595,89037,1570,7,1572,0,1573,1804800,1574,1804800,1575,1804800,1575,1804800,1577,1804800,1578,1804800,1581,2208000,1582,2208000
1620,0,1623,3,1621,5480976,1630,117595,89037,1636,7,1636,0,1637,1804800,1638,1804800,1638,1804800,1639,1804800,1640,1804800,1640,1804800,1641,2208000,1642,2208000
1720,0,1722,3,1721,5469668,1726,117595,89037,1731,7,1732,0,1733,1804800,1733,1804800,1734,1804800,1734,1804800,1735,1804800,1735,1804800,1736,2208000,1736,2208000
1821,0,1824,3,1822,5465456,1830,117595,89037,1834,7,1835,0,1837,1804800,1839,1804800,1840,1804800,1841,1804800,1842,1804800,1842,1804800,1843,2208000,1843,2208000
