Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
30,0,32,3,31,5319720,33,0,0,36,0,37,0,37,1804800,38,1804800,39,1804800,40,1804800,41,1804800,41,1804800,41,2208000,42,2208000
115,0,117,3,116,5324668,122,0,0,127,0,127,0,128,1804800,128,1804800,129,1804800,129,1804800,130,1804800,130,1804800,131,2208000,131,2208000
216,0,218,3,217,5328780,221,0,0,225,0,225,0,226,1804800,226,1804800,227,1804800,228,1804800,228,1804800,229,1804800,229,2208000,230,2208000
317,0,319,3,318,5332152,323,0,0,327,0,327,0,328,1804800,328,1804800,329,1804800,330,1804800,330,1804800,331,1804800,331,2208000,331,2208000
417,0,419,3,418,5336148,422,0,0,426,4,426,0,427,1804800,428,1804800,429,1804800,429,1804800,430,1804800,431,1804800,431,2208000,432,2208000
518,0,519,3,518,5324424,522,256736,239937,525,4,526,0,526,1804800,527,1804800,527,1804800,528,1804800,528,1804800,529,1804800,529,2208000,530,2208000
618,0,620,3,619,5332820,623,256736,239937,627,4,628,0,628,1804800,629,1804800,629,1804800,630,1804800,630,1804800,630,1804800,631,2208000,631,2208000
719,0,720,3,719,5332000,723,256736,239937,728,4,728,0,729,1804800,729,1804800,730,1804800,730,1804800,731,1804800,731,1804800,732,2208000,732,2208000
821,0,823,3,821,5334048,826,256736,239937,830,4,830,0,831,1804800,831,1804800,832,1804800,832,1804800,833,1804800,833,1804800,834,2208000,834,2208000
921,0,923,3,921,5337676,926,256736,239937,931,4,932,0,933,1804800,934,1804800,935,1804800,935,1804800,935,1804800,936,1804800,936,2208000,937,2208000
1021,0,1023,3,1022,5342828,1026,256736,239937,1032,4,1033,0,1033,1804800,1034,1804800,1035,1804800,1035,1804800,1035,1804800,1036,1804800,1036,2208000,1037,2208000
1122,0,1124,3,1123,5343712,1127,256736,239937,1133,4,1133,0,1134,1804800,1135,1804800,1137,1804800,1137,1804800,1138,1804800,1138,1804800,1139,2208000,1139,2208000
1223,0,1224,3,1223,5346216,1228,256736,239937,1232,4,1233,0,1233,1248000,1234,1804800,1234,1804800,1235,1804800,1235,1804800,1236,1804800,1236,2208000,1236,2208000
1323,0,1325,3,1324,5350932,1329,256736,239937,1334,4,1334,0,1335,1804800,1335,1804800,1336,1804800,1337,1804800,1337,1804800,1338,1804800,1338,2208000,1338,2208000
1424,0,1426,3,1425,5354572,1429,256736,239937,1433,3,1434,0,1434,1804800,1435,1804800,1435,1248000,1436,1248000,1436,1248000,1437,1248000,1437,2073600,1438,2073600
1525,0,1526,3,1525,5344796,1530,120198,103399,1534,3,1534,0,1535,1324800,1536,1324800,1536,1324800,1537,1804800,1537,1804800,1538,1324800,1538,2208000,1539,2208000
1625,0,1627,3,1626,5347868,1630,120198,103399,1636,3,1636,0,1637,1248000,1637,1248000,1638,1248000,1639,1248000,1639,1248000,1640,1248000,1640,2208000,1640,2208000
