Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
64,0,66,3,65,5435492,77,0,0,95,0,96,0,98,1804800,98,1804800,99,1804800,99,1804800,100,1804800,101,1804800,102,2208000,102,2208000
109,0,111,3,110,5422116,115,0,0,118,0,118,0,119,1804800,119,1804800,120,1804800,120,1804800,120,1804800,121,1804800,121,2208000,122,2208000
210,0,212,3,210,5431072,215,0,0,219,0,219,0,220,1804800,221,1804800,221,1804800,222,1804800,222,1804800,223,1804800,223,2208000,224,2208000
312,0,314,3,313,5437144,317,0,0,321,0,327,0,327,1804800,328,1804800,328,1804800,329,1804800,329,1804800,330,1804800,331,2208000,331,2208000
412,0,414,3,413,5444680,416,0,0,428,0,429,0,429,1804800,431,1804800,433,1804800,433,1804800,434,1804800,434,1804800,435,2208000,436,2208000
513,0,515,3,513,5442760,520,0,0,527,4,528,0,529,1804800,530,1804800,530,1804800,531,1804800,531,1804800,533,1804800,534,2208000,535,2208000
613,0,615,3,614,5441700,620,256736,131600,628,4,628,0,629,1804800,629,1804800,630,1804800,630,1804800,631,1804800,631,1804800,631,2208000,632,2208000
714,0,718,3,715,5444216,726,256736,131600,734,4,735,0,737,1804800,737,1804800,738,1804800,738,1804800,739,1804800,740,1804800,741,2208000,742,2208000
814,0,816,3,815,5440672,818,256736,131600,824,4,825,0,825,1804800,826,1804800,826,1804800,827,1804800,827,1804800,828,1804800,828,2208000,828,2208000
914,0,916,3,915,5445460,919,256736,131600,923,4,924,0,924,1804800,925,1804800,925,1804800,926,1804800,926,1804800,927,1804800,927,2208000,928,2208000
1016,0,1018,3,1016,5443936,1024,256736,131600,1032,4,1032,0,1033,1804800,1034,1804800,1035,1804800,1035,1804800,1036,1804800,1036,1804800,1038,2208000,1038,2208000
1116,0,1119,3,1117,5442096,1123,256736,131600,1139,4,1141,0,1143,1804800,1143,1804800,1144,1804800,1145,1804800,1146,1804800,1147,1804800,1148,2208000,1148,2208000
1217,0,1220,3,1218,5443476,1226,256736,131600,1238,4,1238,0,1240,1804800,1241,1804800,1243,1804800,1244,1804800,1245,1804800,1247,1804800,1248,2208000,1249,2208000
1321,0,1324,3,1322,5443776,1332,256736,131600,1344,4,1345,0,1346,1804800,1348,1804800,1349,1804800,1349,1804800,1350,1804800,1351,1804800,1352,2208000,1353,2208000
1423,0,1427,3,1424,5442652,1431,256736,131600,1440,4,1449,0,1450,1804800,1451,1804800,1453,1804800,1453,1804800,1454,1804800,1460,1804800,1461,2073600,1462,2073600
1523,0,1525,3,1523,5433556,1537,160265,35129,1542,3,1542,0,1543,1804800,1543,1804800,1544,1804800,1544,1804800,1545,1804800,1545,1804800,1545,2208000,1546,2208000
1624,0,1629,3,1624,5439668,1632,120198,0,1641,3,1641,0,1642,1804800,1647,1804800,1648,1804800,1648,1804800,1648,1804800,1649,1804800,1649,2208000,1650,2208000
1726,0,1728,3,1726,5442156,1733,50398,0,1753,3,1754,0,1756,1804800,1757,1804800,1758,1804800,1759,1804800,1760,1804800,1760,1804800,1761,2208000,1762,2208000
1826,0,1832,3,1827,5443380,1843,50398,0,1850,3,1851,0,1852,1804800,1854,1804800,1856,1804800,1858,1804800,1859,1804800,1860,1804800,1861,2208000,1862,2208000
1926,0,1928,3,1927,5442392,1932,50398,0,1940,3,1940,0,1941,1804800,1942,1804800,1943,1804800,1944,1804800,1945,1804800,1946,1804800,1946,2208000,1950,2208000
2030,0,2033,3,2031,5442348,2043,50398,0,2055,3,2056,0,2058,1804800,2059,1804800,2060,1804800,2060,1804800,2061,1804800,2061,1804800,2062,2208000,2062,2208000
2131,0,2133,3,2131,5437796,2137,50398,0,2145,3,2146,0,2147,1804800,2147,1804800,2148,1804800,2148,1804800,2149,1804800,2152,1804800,2152,2208000,2153,2208000
2233,0,2239,3,2234,5480028,2244,50398,0,2261,3,2262,0,2262,1804800,2263,1804800,2264,1804800,2264,1804800,2264,1804800,2265,1804800,2266,2208000,2266,2208000
2333,0,2336,3,2334,5418912,2342,50398,0,2348,3,2348,0,2349,1804800,2349,1804800,2350,1804800,2350,1804800,2350,1804800,2351,1804800,2351,2208000,2351,2208000
2434,0,2436,3,2435,5420832,2440,50398,0,2445,3,2446,0,2446,768000,2447,768000,2448,1708800,2448,1708800,2448,1708800,2449,1708800,2449,2208000,2449,2208000
2535,0,2538,3,2536,5422880,2542,50398,0,2547,3,2547,0,2549,1248000,2550,1804800,2550,1804800,2550,1804800,2551,1708800,2551,1708800,2551,2208000,2552,2208000
2635,0,2636,3,2635,5426344,2637,50398,0,2641,6,2641,0,2642,1516800,2642,1516800,2643,1516800,2643,1516800,2643,1516800,2644,1516800,2644,2208000,2644,2208000
2735,0,2737,3,2736,5428708,2739,100796,0,2742,6,2742,0,2742,1804800,2743,1804800,2743,1804800,2743,1804800,2743,1804800,2744,1804800,2744,1248000,2744,1248000
2836,0,2837,3,2836,5430024,2839,100796,0,2841,6,2842,0,2842,1612800,2842,1612800,2842,1612800,2843,1612800,2843,1612800,2843,1612800,2843,787200,2844,787200
2936,0,2938,3,2937,5430688,2940,100796,0,2943,6,2944,0,2944,1324800,2944,1324800,2945,1324800,2945,1324800,2945,1324800,2946,1324800,2946,787200,2946,787200
3037,0,3040,3,3038,5431664,3044,100796,0,3049,6,3050,0,3050,1017600,3051,1017600,3052,1017600,3052,1017600,3052,1017600,3053,1017600,3053,787200,3054,787200
3138,0,3140,3,3139,5432924,3144,100796,0,3150,6,3150,0,3151,1248000,3151,1248000,3151,1248000,3152,1248000,3152,1248000,3152,1248000,3153,787200,3153,787200
3239,0,3241,3,3240,5433428,3252,100796,0,3255,6,3256,0,3256,1248000,3256,1248000,3257,1248000,3257,1248000,3257,1248000,3258,1248000,3258,787200,3258,787200
3340,0,3341,3,3340,5434020,3343,100796,0,3347,6,3348,0,3348,1612800,3351,1612800,3352,1612800,3352,1612800,3353,1612800,3353,1612800,3353,787200,3354,787200
3439,0,3441,3,3440,5438556,3443,100796,0,3446,6,3446,0,3446,1248000,3447,1248000,3447,1248000,3447,1248000,3447,1612800,3448,1612800,3448,787200,3448,787200
3543,0,3546,3,3544,5440824,3551,100796,0,3559,6,3560,0,3561,576000,3562,576000,3562,576000,3563,576000,3564,576000,3565,576000,3565,787200,3566,787200
3643,0,3646,3,3644,5441580,3652,100796,0,3660,6,3662,0,3663,768000,3664,768000,3665,768000,3665,768000,3666,768000,3667,768000,3668,787200,3668,787200
3746,0,3750,3,3747,5442144,3757,100796,0,3765,4,3768,0,3768,1248000,3768,1248000,3769,1248000,3769,1248000,3770,1248000,3770,1248000,3771,787200,3772,787200
3845,0,3847,3,3846,5443152,3849,67197,0,3853,4,3853,0,3854,1324800,3854,1324800,3855,1324800,3856,1324800,3856,1324800,3857,1324800,3857,787200,3857,787200
3947,0,3950,3,3948,5443688,3953,67197,0,3959,4,3960,0,3961,576000,3961,576000,3962,576000,3963,576000,3963,576000,3964,576000,3964,787200,3965,787200
4048,0,4051,3,4049,5444192,4056,67197,0,4072,4,4073,0,4073,1248000,4074,1248000,4074,1248000,4075,1248000,4075,1248000,4076,1248000,4076,787200,4077,787200
4148,0,4150,3,4149,5446744,4151,67197,0,4154,4,4155,0,4155,1804800,4156,1804800,4156,1804800,4156,1804800,4156,1804800,4156,1804800,4158,787200,4159,787200
4250,0,4255,3,4252,5406900,4260,67197,0,4269,4,4270,0,4272,1804800,4272,1804800,4273,1804800,4273,1804800,4274,1804800,4274,1804800,4275,979200,4275,979200
4350,0,4353,3,4352,5406376,4356,67197,0,4361,4,4362,0,4362,768000,4363,768000,4363,768000,4364,768000,4364,768000,4365,768000,4365,787200,4365,787200
4450,0,4452,3,4451,5406784,4453,67197,0,4456,4,4456,0,4457,1804800,4457,1804800,4457,1804800,4458,1804800,4458,1804800,4458,1804800,4458,787200,4459,787200
4551,0,4553,3,4552,5407656,4555,67197,0,4558,4,4559,0,4559,1804800,4559,1804800,4560,1804800,4560,1804800,4560,1804800,4561,1804800,4561,787200,4561,787200
