Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
29,0,33,3,31,5301976,35,0,0,41,0,41,0,42,1804800,43,1804800,43,1804800,44,1804800,45,1804800,45,1804800,46,2208000,47,2208000
112,0,113,3,112,5306576,116,0,0,120,0,121,0,121,1804800,122,1804800,122,1804800,123,1804800,123,1804800,123,1804800,124,2208000,124,2208000
212,0,214,3,213,5312324,216,0,0,219,0,220,0,220,1804800,221,1804800,221,1804800,221,1804800,222,1804800,222,1804800,222,2208000,223,2208000
313,0,315,3,314,5300440,318,0,0,322,4,323,0,323,1804800,324,1804800,324,1804800,324,1804800,324,1804800,325,1804800,325,2208000,325,2208000
416,0,418,3,417,5303240,420,256736,238257,426,4,426,0,427,1804800,427,1804800,428,1804800,428,1804800,428,1804800,429,1804800,429,2208000,430,2208000
519,0,520,3,519,5306152,523,256736,238257,529,4,530,0,530,1804800,531,1804800,531,1804800,532,1804800,532,1804800,533,1804800,533,2208000,534,2208000
621,0,622,3,621,5308376,625,256736,238257,630,4,630,0,631,1804800,631,1804800,632,1804800,633,1804800,633,1804800,634,1804800,634,2208000,635,2208000
721,0,723,3,722,5313208,726,256736,238257,730,4,731,0,731,1804800,732,1804800,732,1804800,733,1804800,733,1804800,733,1804800,734,2208000,734,2208000
821,0,823,3,821,5316824,825,256736,238257,828,4,828,0,829,1804800,829,1804800,829,1804800,830,1804800,830,1804800,830,1804800,831,2208000,831,2208000
922,0,924,3,923,5322748,926,256736,238257,931,4,931,0,932,1804800,933,1804800,933,1804800,933,1804800,934,1804800,934,1804800,934,2208000,935,2208000
1023,0,1025,3,1024,5326016,1028,256736,238257,1032,4,1033,0,1033,1804800,1034,1804800,1034,1804800,1035,1804800,1035,1804800,1036,1804800,1036,2208000,1037,2208000
1124,0,1126,3,1125,5326756,1129,256736,238257,1133,4,1134,0,1134,1804800,1135,1804800,1136,1804800,1136,1804800,1137,1804800,1137,1804800,1138,2208000,1138,2208000
1224,0,1226,3,1225,5330340,1228,256736,238257,1232,4,1233,0,1233,1612800,1233,1612800,1234,1612800,1234,1612800,1234,1516800,1235,1516800,1235,2208000,1235,2208000
1325,0,1326,3,1325,5331568,1329,256736,238257,1333,7,1333,0,1334,1804800,1334,1804800,1335,1804800,1335,1804800,1336,1804800,1336,1804800,1336,2208000,1337,2208000
1425,0,1427,3,1426,5332868,1430,449288,430809,1434,7,1435,0,1435,1804800,1436,1804800,1436,1804800,1437,1804800,1437,1804800,1438,1804800,1438,2208000,1439,2208000
1526,0,1528,3,1527,5340468,1532,117595,99116,1537,7,1537,0,1538,1324800,1539,1324800,1540,1324800,1540,1324800,1541,1324800,1541,1324800,1542,2208000,1542,2208000
