Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
61,0,66,3,62,5357516,69,0,0,73,0,73,0,74,1804800,74,1804800,75,1804800,75,1804800,76,1804800,76,1804800,77,2208000,77,2208000
163,0,165,3,163,5362824,168,0,0,177,0,177,0,178,1804800,178,1804800,178,1804800,179,1804800,179,1804800,180,1804800,180,2208000,181,2208000
262,0,268,3,263,5350000,270,0,0,275,0,278,0,278,1804800,279,1804800,279,1804800,280,1804800,280,1804800,281,1804800,281,2208000,282,2208000
363,0,364,3,363,5353644,367,0,0,371,0,372,0,372,1804800,373,1804800,373,1804800,374,1804800,374,1804800,375,1804800,375,2208000,375,2208000
463,0,465,3,464,5356160,467,0,0,471,0,472,0,472,1804800,473,1804800,473,1804800,474,1804800,474,1804800,475,1804800,475,2208000,476,2208000
564,0,567,3,564,5357368,570,0,0,574,0,574,0,575,1804800,575,1804800,576,1804800,576,1804800,577,1804800,577,1804800,578,2208000,578,2208000
664,0,666,3,665,5359976,668,0,0,673,0,674,0,674,1804800,675,1804800,676,1804800,676,1804800,677,1804800,677,1804800,678,2208000,678,2208000
765,0,766,3,766,5351412,772,0,0,777,14,777,0,778,1804800,779,1804800,780,1804800,780,1804800,781,1804800,781,1804800,782,2073600,783,2073600
865,0,867,3,866,5352384,868,898577,813029,871,14,871,0,872,1804800,872,1804800,873,1804800,873,1804800,873,1804800,874,1804800,874,1248000,875,1248000
966,0,968,3,967,5352668,970,898577,813029,977,14,978,0,978,1804800,979,1804800,979,1804800,980,1804800,980,1804800,981,1804800,981,2073600,981,2073600
1066,0,1068,3,1067,5352292,1071,898577,813029,1075,14,1075,0,1076,1804800,1076,1804800,1077,1804800,1077,1804800,1077,1804800,1078,1804800,1078,1248000,1078,1248000
1167,0,1169,3,1168,5352544,1173,898577,813029,1177,14,1178,0,1179,1324800,1179,1804800,1180,1804800,1180,1804800,1180,1804800,1181,1804800,1182,1036800,1182,1036800
1269,0,1271,3,1270,5352764,1276,560927,475379,1283,14,1284,0,1284,1804800,1285,1804800,1286,1804800,1287,1804800,1288,1804800,1289,1804800,1289,1036800,1290,1036800
1370,0,1372,3,1371,5353804,1377,406702,321154,1381,14,1381,0,1382,1804800,1383,1804800,1384,1804800,1384,1804800,1384,1804800,1386,1804800,1386,1555200,1387,1555200
1471,0,1476,3,1472,5354080,1483,235191,149643,1490,14,1491,0,1492,768000,1493,768000,1494,768000,1495,768000,1496,1248000,1496,1248000,1497,1248000,1497,1248000
1571,0,1575,3,1573,5354652,1582,406702,321154,1590,14,1591,0,1592,768000,1594,768000,1594,768000,1595,768000,1596,1248000,1597,1248000,1597,979200,1598,979200
1672,0,1676,3,1673,5355180,1682,406702,321154,1689,14,1691,0,1693,768000,1694,768000,1696,1248000,1697,1248000,1697,1248000,1698,1248000,1698,979200,1699,979200
1773,0,1776,3,1774,5355912,1781,406702,321154,1790,43,1791,0,1792,768000,1792,768000,1793,768000,1794,768000,1794,768000,1795,768000,1796,1248000,1796,1248000
1873,0,1875,3,1874,5356416,1878,1249156,1163608,1885,43,1886,0,1887,768000,1888,768000,1888,768000,1889,768000,1890,768000,1891,768000,1892,979200,1893,979200
1974,0,1977,3,1976,5356920,1983,1249156,1163608,1992,43,1993,0,1994,768000,1995,768000,1995,1248000,1996,1248000,1997,1248000,1997,1248000,1998,1248000,1998,1248000
2075,0,2078,3,2076,5357676,2084,1249156,1163608,2091,43,2092,0,2093,768000,2093,768000,2094,768000,2095,768000,2095,768000,2096,1248000,2097,1248000,2098,1248000
2178,0,2181,3,2179,5358432,2187,1249156,1163608,2193,43,2194,0,2195,768000,2196,1248000,2196,1248000,2198,1248000,2199,1248000,2199,1248000,2200,1248000,2201,1248000
2279,0,2282,3,2280,5359440,2286,1249156,1163608,2292,43,2293,0,2294,768000,2294,768000,2295,768000,2296,1248000,2296,1248000,2297,1248000,2297,787200,2297,787200
2381,0,2384,3,2382,5360700,2388,722374,636826,2394,43,2395,0,2396,1017600,2396,1017600,2397,1017600,2397,1017600,2398,1017600,2398,1017600,2399,1248000,2400,1248000
2482,0,2485,3,2483,5361456,2490,1249156,1163608,2496,43,2497,0,2498,768000,2499,768000,2499,768000,2500,768000,2500,768000,2501,768000,2501,1248000,2502,1248000
2583,0,2587,3,2584,5362204,2593,1249156,1163608,2601,43,2602,0,2603,768000,2604,768000,2605,768000,2605,768000,2606,768000,2607,768000,2608,1036800,2608,1036800
2685,0,2687,3,2685,5362716,2692,1249156,1163608,2699,43,2700,0,2701,768000,2701,768000,2702,768000,2702,768000,2703,768000,2704,768000,2705,1248000,2706,1248000
2785,0,2787,3,2786,5363464,2790,1249156,1163608,2796,49,2796,0,2797,1248000,2798,1248000,2798,1248000,2798,1248000,2799,1248000,2799,1248000,2799,1555200,2800,1555200
2886,0,2890,3,2888,5364228,2896,823171,737623,2904,49,2905,0,2905,768000,2906,768000,2907,768000,2908,768000,2909,768000,2910,768000,2911,1900800,2911,1900800
2988,0,2991,3,2989,5365512,2996,1423457,1337909,3003,49,3003,0,3004,768000,3005,768000,3006,768000,3007,768000,3007,768000,3008,768000,3008,1248000,3009,1248000
3088,0,3092,3,3090,5366016,3097,1423457,1337909,3106,49,3107,0,3108,768000,3109,768000,3110,768000,3110,768000,3111,768000,3112,768000,3113,1036800,3114,1036800
3189,0,3192,3,3190,5366544,3200,1423457,1337909,3206,49,3206,0,3207,768000,3208,768000,3208,768000,3210,768000,3211,768000,3211,768000,3212,1248000,3214,1248000
