Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
24,0,25,3,25,5270060,26,0,0,28,0,29,0,29,1804800,29,1804800,29,1804800,29,1804800,30,1804800,30,1804800,30,2208000,30,2208000
110,0,112,3,111,5272792,114,0,0,117,0,118,0,118,1804800,118,1804800,119,1804800,119,1804800,119,1804800,119,1804800,120,2208000,120,2208000
211,0,213,3,212,5274564,215,0,0,218,0,218,0,219,1804800,219,1804800,220,1804800,220,1804800,220,1804800,221,1804800,221,2208000,222,2208000
313,0,315,3,314,5277908,320,0,0,327,3,327,0,328,1804800,328,1804800,329,1804800,329,1804800,330,1804800,330,1804800,330,2208000,330,2208000
413,0,415,3,414,5282692,416,192552,163994,418,3,419,0,419,1804800,420,1804800,420,1804800,420,1804800,420,1804800,421,1804800,421,2208000,421,2208000
518,0,520,3,519,5286724,522,192552,163994,525,3,525,0,526,1804800,526,1804800,526,1804800,526,1804800,527,1804800,527,1804800,527,2208000,531,2208000
615,0,616,3,615,5280432,620,192552,163994,624,3,625,0,625,1804800,626,1804800,627,1804800,627,1804800,628,1804800,628,1804800,629,2208000,629,2208000
717,0,718,3,717,5283612,721,192552,163994,725,3,725,0,726,1804800,727,1804800,727,1804800,728,1804800,729,1804800,729,1804800,730,2208000,731,2208000
818,0,820,3,818,5291984,826,192552,163994,830,3,831,0,832,1804800,832,1804800,833,1804800,833,1804800,834,1804800,834,1804800,835,2208000,835,2208000
918,0,920,3,919,5294528,922,192552,163994,926,3,927,0,927,1804800,928,1804800,928,1804800,929,1804800,929,1804800,929,1804800,930,2208000,930,2208000
