Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
2,0,3,3,2,5442504,4,0,0,6,0,6,0,7,1804800,7,1804800,7,1804800,7,1804800,8,1804800,8,1804800,8,2208000,8,2208000
87,0,90,3,87,5445088,94,0,0,98,0,98,0,99,1804800,99,1804800,100,1804800,100,1804800,100,1804800,101,1804800,101,2208000,101,2208000
188,0,190,3,188,5440756,194,0,0,200,3,200,0,203,1804800,203,1804800,204,1804800,204,1804800,205,1804800,205,1804800,206,2073600,207,2073600
290,0,292,3,290,5442832,297,192552,174073,303,3,303,0,304,1804800,305,1804800,305,1804800,306,1804800,306,1804800,306,1804800,307,1766400,307,1766400
391,0,393,3,391,5442648,398,192552,174073,404,3,405,0,406,1804800,406,1804800,407,1804800,407,1804800,408,1804800,408,1804800,409,2208000,409,2208000
491,0,492,3,491,5441356,496,192552,174073,500,3,501,0,501,1804800,502,1804800,502,1804800,503,1804800,503,1804800,503,1804800,504,2208000,504,2208000
591,0,595,3,593,5442656,600,192552,174073,609,3,610,0,610,1804800,611,1804800,612,1804800,612,1804800,613,1804800,613,1804800,614,2208000,614,2208000
692,0,695,3,693,5443104,699,192552,174073,707,3,708,0,709,1804800,709,1804800,709,1804800,710,1804800,710,1804800,711,1804800,711,2208000,712,2208000
792,0,794,3,793,5436108,797,192552,174073,803,3,804,0,805,1804800,805,1804800,806,1804800,806,1804800,806,1804800,807,1804800,807,2208000,808,2208000
892,0,894,3,893,5437832,897,192552,174073,901,3,902,0,902,1804800,903,1804800,903,1804800,904,1804800,904,1804800,905,1804800,905,2208000,905,2208000
994,0,996,3,994,5440808,1003,192552,174073,1008,3,1008,0,1009,1804800,1009,1804800,1010,1804800,1010,1804800,1011,1804800,1011,1804800,1011,2208000,1012,2208000
1094,0,1095,3,1094,5443408,1098,192552,174073,1103,3,1104,0,1104,1804800,1105,1804800,1105,1804800,1106,1804800,1106,1804800,1107,1804800,1108,2208000,1108,2208000
1194,0,1195,3,1194,5447448,1197,192552,174073,1199,5,1200,0,1200,1804800,1200,1804800,1201,1804800,1201,1804800,1202,1708800,1202,1708800,1203,2208000,1203,2208000
1295,0,1299,3,1296,5440472,1305,200331,181852,1312,5,1313,0,1314,1804800,1314,1804800,1315,1804800,1315,1804800,1316,1804800,1316,1804800,1317,2208000,1318,2208000
1395,0,1397,3,1396,5442888,1401,145250,126771,1407,5,1408,0,1408,1804800,1409,1804800,1410,1804800,1410,1804800,1410,1804800,1411,1804800,1412,2208000,1412,2208000
1495,0,1497,3,1496,5445676,1500,83997,65518,1504,5,1504,0,1505,1804800,1505,1804800,1506,1804800,1506,1804800,1506,1804800,1506,1804800,1506,2208000,1507,2208000
1597,0,1599,3,1597,5435088,1606,83997,65518,1617,5,1618,0,1621,1804800,1626,1804800,1626,1804800,1627,1804800,1627,1804800,1628,1804800,1628,2208000,1629,2208000
1697,0,1699,3,1698,5437120,1701,83997,65518,1705,5,1706,0,1707,1804800,1707,1804800,1707,1804800,1708,1804800,1709,1804800,1709,1804800,1710,2208000,1710,2208000
1798,0,1800,3,1799,5440144,1804,83997,65518,1809,5,1810,0,1811,1804800,1812,1804800,1813,1804800,1813,1804800,1813,1804800,1814,1804800,1814,2208000,1814,2208000
1900,0,1902,3,1901,5442696,1907,83997,65518,1916,5,1917,0,1919,1804800,1920,1804800,1920,1804800,1921,1804800,1922,1804800,1922,1804800,1923,2208000,1923,2208000
2003,0,2005,3,2003,5442536,2016,83997,65518,2026,5,2027,0,2030,1804800,2031,1804800,2033,1804800,2035,1804800,2036,1804800,2036,1804800,2038,2208000,2039,2208000
2102,0,2104,3,2102,5443044,2109,83997,65518,2116,5,2117,0,2118,1612800,2118,1612800,2119,1612800,2119,1612800,2120,1612800,2120,1804800,2121,2208000,2121,2208000
2201,0,2202,3,2202,5439472,2205,83997,65518,2216,16,2216,0,2217,1516800,2217,1516800,2218,1516800,2218,1516800,2219,1516800,2219,1516800,2220,2208000,2221,2208000
2303,0,2305,3,2304,5436356,2308,268790,250311,2314,16,2314,0,2316,1248000,2317,1248000,2317,1248000,2318,1248000,2318,1248000,2319,1248000,2319,787200,2320,787200
2405,0,2408,3,2406,5437808,2415,268790,250311,2425,16,2426,0,2427,1612800,2428,1612800,2428,1612800,2429,1612800,2429,1612800,2429,1612800,2430,1248000,2430,1248000
2505,0,2507,3,2505,5437776,2512,268790,250311,2519,16,2519,0,2520,1248000,2522,1248000,2522,1248000,2523,1248000,2524,1248000,2524,1248000,2525,787200,2525,787200
2605,0,2607,3,2605,5441304,2612,268790,250311,2617,16,2619,0,2620,1017600,2620,1017600,2621,1017600,2622,1017600,2622,1017600,2623,1017600,2623,1248000,2624,1248000
2706,0,2708,3,2707,5441524,2713,268790,250311,2718,16,2718,0,2719,1017600,2720,1017600,2720,1017600,2722,1017600,2722,1017600,2724,1017600,2724,787200,2725,787200
2806,0,2808,3,2807,5442564,2811,268790,250311,2815,16,2816,0,2816,1612800,2816,1612800,2817,1612800,2817,1612800,2818,1612800,2818,1612800,2819,1401600,2819,1401600
2908,0,2912,3,2909,5442816,2918,268790,250311,2927,16,2928,0,2929,1248000,2929,1248000,2930,1248000,2931,1248000,2931,1248000,2931,1248000,2932,979200,2932,979200
3012,0,3015,3,3013,5443472,3022,268790,250311,3031,16,3031,0,3033,1612800,3035,1612800,3037,1248000,3038,1248000,3039,1248000,3039,1248000,3042,1900800,3043,1900800
3109,0,3110,3,3109,5442748,3112,268790,250311,3117,16,3117,0,3118,1017600,3118,1017600,3118,1017600,3119,1017600,3119,1017600,3120,1017600,3120,979200,3120,979200
3210,0,3213,3,3212,5442748,3218,268790,250311,3226,16,3227,0,3227,1017600,3228,1017600,3228,1017600,3229,1017600,3229,1017600,3230,1017600,3230,979200,3230,979200
3311,0,3314,3,3312,5442212,3320,268790,250311,3327,0,3328,0,3329,1248000,3329,1248000,3329,1248000,3330,1248000,3330,1248000,3330,1248000,3331,1248000,3333,1248000
3414,0,3418,3,3415,5443280,3425,0,0,3436,4,3437,0,3439,768000,3440,768000,3441,768000,3442,768000,3443,768000,3444,1804800,3446,2131200,3447,2131200
3514,0,3516,3,3514,5414024,3521,67197,48718,3528,4,3528,0,3529,1248000,3529,1248000,3529,1248000,3530,1248000,3530,1248000,3530,1248000,3531,1555200,3531,1555200
3614,0,3618,3,3615,5414048,3623,67197,48718,3629,4,3630,0,3631,768000,3632,768000,3632,768000,3633,768000,3635,768000,3635,768000,3636,787200,3636,787200
3716,0,3720,3,3717,5415276,3725,67197,48718,3731,4,3732,0,3733,1017600,3734,1017600,3734,1017600,3734,1017600,3735,1017600,3735,1017600,3736,787200,3737,787200
3816,0,3820,3,3817,5415968,3826,67197,48718,3834,4,3836,0,3838,1017600,3838,1017600,3839,1017600,3839,1017600,3841,1017600,3841,1017600,3842,1766400,3842,1766400
3917,0,3921,3,3918,5416188,3927,67197,48718,3933,4,3934,0,3935,1017600,3936,1017600,3936,1017600,3937,1017600,3938,1017600,3938,1017600,3938,787200,3939,787200
4018,0,4020,3,4019,5415804,4024,67197,48718,4030,4,4030,0,4031,768000,4031,768000,4032,768000,4033,768000,4033,768000,4034,768000,4034,1248000,4034,1248000
4118,0,4120,3,4119,5416168,4123,67197,48718,4131,4,4132,0,4133,768000,4134,768000,4134,768000,4135,768000,4136,768000,4137,768000,4137,979200,4138,979200
4218,0,4220,3,4219,5418472,4223,67197,48718,4225,4,4225,0,4225,1804800,4225,1804800,4226,1804800,4226,1804800,4226,1804800,4226,1804800,4226,2208000,4226,2208000
4319,0,4321,3,4320,5418180,4325,67197,48718,4331,4,4331,0,4332,1017600,4333,1017600,4334,1017600,4334,1017600,4335,1017600,4335,1017600,4335,2073600,4336,2073600
4419,0,4420,3,4419,5419308,4422,67197,48718,4426,4,4427,0,4427,1248000,4428,1248000,4429,1248000,4429,1248000,4429,1248000,4430,1248000,4430,1900800,4430,1900800
4520,0,4524,3,4522,5420080,4527,67197,48718,4533,4,4534,0,4534,1248000,4535,1248000,4535,1248000,4536,1248000,4536,1248000,,,,,,
