Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
24,0,25,3,24,5307488,27,0,0,31,0,31,0,32,1804800,32,1804800,33,1804800,33,1804800,34,1804800,34,1804800,34,2208000,34,2208000
110,0,112,3,111,5311764,115,0,0,120,0,120,0,121,1804800,122,1804800,122,1804800,123,1804800,123,1804800,124,1804800,125,2208000,125,2208000
209,0,210,3,210,5317308,212,0,0,214,0,215,0,215,1804800,216,1804800,216,1804800,216,1804800,216,1804800,217,1804800,217,2208000,217,2208000
310,0,311,3,310,5318568,312,0,0,316,3,316,0,317,1804800,317,1804800,317,1804800,317,1804800,318,1804800,318,1804800,318,1248000,318,1248000
410,0,412,3,411,5319104,414,192552,162314,417,3,418,0,418,1804800,418,1804800,418,1804800,419,1804800,419,1804800,419,1804800,420,2208000,420,2208000
511,0,513,3,512,5320332,515,192552,162314,518,3,518,0,519,1804800,519,1804800,519,1804800,519,1804800,520,1804800,520,1804800,520,1248000,520,1248000
612,0,613,3,612,5321088,615,192552,162314,619,3,620,0,620,1804800,620,1804800,621,1804800,621,1804800,621,1804800,621,1804800,621,2208000,622,2208000
712,0,713,3,712,5322624,715,192552,162314,719,3,719,0,719,1804800,720,1804800,720,1804800,720,1804800,720,1804800,721,1804800,721,1248000,721,1248000
812,0,814,3,813,5323860,815,192552,162314,817,3,818,0,818,1804800,818,1804800,819,1804800,819,1804800,819,1804800,819,1804800,820,1248000,820,1248000
913,0,914,3,913,5324868,915,192552,162314,917,3,918,0,918,1804800,918,1804800,918,1804800,919,1804800,919,1804800,919,1804800,919,1248000,919,1248000
1013,0,1014,3,1014,5325624,1016,192552,162314,1019,3,1019,0,1019,1804800,1020,1804800,1020,1804800,1021,1804800,1021,1804800,1021,1804800,1021,1248000,1022,1248000
1114,0,1115,3,1114,5325900,1116,192552,162314,1119,3,1119,0,1119,1804800,1120,1804800,1120,1804800,1120,1804800,1121,1804800,1121,1804800,1121,1248000,1122,1248000
1215,0,1218,3,1216,5326428,1222,192552,162314,1225,3,1226,0,1226,1804800,1227,1804800,1227,1804800,1227,1804800,1227,1804800,1228,1804800,1228,1036800,1228,1036800
1316,0,1317,3,1316,5326956,1320,50398,20160,1323,3,1324,0,1324,1804800,1325,1804800,1325,1804800,1325,1804800,1325,1804800,1326,1804800,1326,1036800,1326,1036800
1417,0,1419,3,1417,5327436,1424,50398,20160,1428,3,1429,0,1429,1804800,1430,1804800,1430,1804800,1430,1804800,1431,1804800,1431,1804800,1431,1036800,1432,1036800
1518,0,1520,3,1519,5327964,1523,50398,20160,1526,2,1527,0,1527,1248000,1527,1248000,1528,1248000,1528,1248000,1529,1248000,1529,1248000,1529,787200,1529,787200
1620,0,1624,3,1621,5328568,1628,33598,3360,1634,2,1636,0,1637,1248000,1638,1248000,1639,1248000,1639,1248000,1640,1248000,1641,1248000,1641,787200,1642,787200
1720,0,1722,3,1720,5317720,1723,33598,3360,1726,2,1726,0,1726,1516800,1727,1516800,1727,1516800,1727,1516800,1727,1516800,1727,1516800,1728,787200,1728,787200
1821,0,1824,3,1823,5318180,1829,33598,3360,1836,2,1837,0,1838,1248000,1838,1248000,1839,1248000,1839,1248000,1840,1248000,1840,1248000,1841,787200,1841,787200
1923,0,1926,3,1925,5318052,1931,33598,3360,1938,2,1939,0,1940,768000,1940,768000,1941,768000,1942,768000,1942,768000,1943,768000,1943,787200,1944,787200
2026,0,2028,3,2027,5318304,2032,33598,3360,2038,2,2038,0,2039,768000,2039,768000,2040,768000,2040,768000,2041,768000,2042,768000,2042,787200,2043,787200
2127,0,2131,3,2129,5318280,2136,33598,3360,2143,2,2144,0,2145,576000,2145,576000,2146,576000,2147,576000,2147,576000,2148,576000,2149,787200,2149,787200
2228,0,2231,3,2229,5318784,2237,33598,3360,2244,2,2245,0,2247,576000,2249,576000,2250,576000,2251,576000,2251,576000,2252,576000,2252,787200,2253,787200
2330,0,2337,3,2334,5319036,2345,33598,3360,2355,2,2357,0,2357,1248000,2358,1248000,2358,1248000,2359,1248000,2360,1248000,2360,1248000,2361,787200,2361,787200
2432,0,2436,3,2434,5320044,2443,33598,3360,2454,2,2455,0,2455,576000,2456,576000,2457,1248000,2458,1248000,2458,1248000,2459,1248000,2460,787200,2460,787200
2530,0,2533,3,2531,5320044,2537,33598,3360,2543,4,2544,0,2544,1017600,2545,1017600,2545,1017600,2546,1017600,2547,1017600,2547,1017600,2548,787200,2548,787200
2631,0,2634,3,2633,5320800,2639,67197,36959,2648,4,2649,0,2650,576000,2651,576000,2651,576000,2652,576000,2653,576000,2654,576000,2654,787200,2655,787200
2736,0,2738,3,2737,5321556,2743,67197,36959,2751,4,2752,0,2753,576000,2754,576000,2754,576000,2755,576000,2756,576000,2756,576000,2757,787200,2757,787200
2834,0,2835,3,2834,5321832,2837,67197,36959,2842,4,2843,0,2843,1248000,2844,1248000,2844,1248000,2845,1248000,2845,1248000,2845,1248000,2846,787200,2846,787200
2935,0,2939,3,2937,5322612,2943,67197,36959,2949,4,2950,0,2951,576000,2952,576000,2953,576000,2953,576000,2954,576000,2955,576000,2955,787200,2956,787200
3036,0,3038,3,3037,5323140,3042,67197,36959,3046,4,3047,0,3048,768000,3048,768000,3049,768000,3050,768000,3050,768000,3051,768000,3051,787200,3052,787200
3138,0,3142,3,3139,5324148,3146,67197,36959,3153,4,3153,0,3154,576000,3155,576000,3156,576000,3156,576000,3157,1248000,3157,1248000,3158,787200,3158,787200
3242,0,3245,3,3243,5324952,3251,67197,36959,3256,4,3256,0,3257,1017600,3258,1017600,3258,1017600,3258,1017600,3259,1017600,3260,1017600,3261,787200,3261,787200
3343,0,3346,3,3344,5325232,3349,67197,36959,3356,4,3357,0,3357,768000,3358,768000,3359,768000,3359,768000,3360,768000,3360,768000,3361,787200,3362,787200
3444,0,3447,3,3445,5330044,3451,67197,36959,3458,4,3459,0,3459,576000,3460,576000,3461,576000,3463,576000,3463,576000,3464,576000,3465,787200,3466,787200
