Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
66,0,68,3,67,5357640,69,0,0,71,0,72,0,72,1804800,72,1804800,72,1804800,73,1804800,73,1804800,73,1804800,73,2208000,74,2208000
167,0,168,3,167,5358396,170,0,0,172,3,172,0,173,1804800,173,1804800,173,1804800,173,1804800,174,1804800,174,1804800,174,1248000,174,1248000
268,0,270,3,268,5358860,272,192552,162314,276,3,276,0,277,1804800,277,1804800,277,1804800,277,1804800,278,1804800,278,1804800,279,1248000,279,1248000
368,0,370,3,368,5365160,373,192552,162314,377,3,378,0,378,1804800,379,1804800,379,1804800,380,1804800,380,1804800,381,1804800,381,2208000,382,2208000
468,0,470,3,469,5370264,472,192552,162314,476,3,476,0,477,1804800,477,1804800,477,1804800,478,1804800,478,1804800,478,1804800,478,2208000,479,2208000
570,0,572,3,571,5374052,575,192552,162314,580,3,581,0,582,1804800,583,1804800,583,1804800,584,1804800,584,1804800,585,1804800,585,2208000,585,2208000
670,0,671,3,670,5380812,674,192552,162314,678,3,678,0,679,1804800,679,1804800,680,1804800,680,1804800,681,1804800,681,1804800,681,2208000,682,2208000
771,0,773,3,771,5384812,777,192552,162314,797,3,797,0,798,1804800,798,1804800,799,1804800,799,1804800,800,1804800,800,1804800,801,2208000,801,2208000
871,0,874,3,872,5387844,877,192552,162314,882,3,882,0,883,1804800,884,1804800,884,1804800,885,1804800,885,1804800,885,1804800,886,2208000,886,2208000
972,0,973,3,972,5389672,976,192552,162314,979,3,979,0,980,1804800,980,1804800,981,1804800,981,1804800,981,1804800,982,1804800,982,2208000,982,2208000
1072,0,1073,3,1072,5390444,1074,192552,162314,1076,3,1077,0,1077,1804800,1077,1804800,1077,1804800,1078,1804800,1078,1804800,1078,1804800,1078,2208000,1078,2208000
1173,0,1175,3,1174,5391200,1179,192552,162314,1185,3,1185,0,1186,1248000,1187,1248000,1188,1516800,1188,1516800,1189,1516800,1189,1516800,1190,1036800,1190,1036800
1273,0,1275,3,1274,5391452,1278,192552,162314,1282,4,1282,0,1282,1248000,1283,1248000,1284,1804800,1284,1804800,1284,1804800,1285,1804800,1285,1036800,1286,1036800
1376,0,1378,3,1377,5392484,1380,256736,226498,1383,4,1383,0,1384,1516800,1384,1516800,1385,1516800,1386,1516800,1386,1516800,1386,1516800,1387,1036800,1387,1036800
1477,0,1481,3,1478,5392736,1485,256736,226498,1494,4,1495,0,1496,1248000,1496,1248000,1497,1248000,1497,1248000,1498,1248000,1498,1248000,1498,787200,1498,787200
1578,0,1579,3,1578,5393532,1581,160265,130027,1586,4,1586,0,1587,1248000,1587,1248000,1588,1248000,1588,1248000,1589,1248000,1589,1248000,1589,787200,1590,787200
1679,0,1682,3,1680,5394792,1688,160265,130027,1693,4,1694,0,1695,1248000,1696,1248000,1696,1248000,1696,1248000,1697,1248000,1698,1248000,1698,787200,1699,787200
1783,0,1787,3,1785,5395044,1793,160265,130027,1798,4,1799,0,1800,768000,1800,768000,1801,768000,1801,768000,1802,768000,1803,768000,1803,787200,1804,787200
1884,0,1889,3,1886,5395572,1892,160265,130027,1897,4,1897,0,1898,1248000,1898,1248000,1899,1248000,1899,1248000,1899,1248000,1900,1248000,1900,787200,1901,787200
1985,0,1990,3,1987,5396192,1995,116200,85962,2008,4,2009,0,2009,1248000,2010,1248000,2010,1248000,2012,1248000,2012,1248000,2012,1248000,2013,787200,2013,787200
2086,0,2095,3,2090,5396468,2102,116200,85962,2109,4,2110,0,2111,1248000,2112,1248000,2113,1248000,2113,1248000,2114,1248000,2114,1248000,2116,787200,2116,787200
2187,0,2190,3,2189,5397200,2197,116200,85962,2203,4,2204,0,2205,768000,2206,768000,2206,768000,2207,768000,2207,1248000,2208,1248000,2208,787200,2209,787200
2288,0,2294,3,2291,5397964,2301,67197,36959,2308,3,2309,0,2310,1612800,2311,1612800,2311,1612800,2312,1612800,2313,1612800,2313,1612800,2313,787200,2314,787200
2389,0,2392,3,2390,5399016,2397,50398,20160,2403,3,2404,0,2404,1248000,2405,1248000,2405,1248000,2406,1248000,2408,1612800,2409,1612800,2409,787200,2409,787200
2490,0,2494,3,2491,5399564,2499,50398,20160,2507,3,2508,0,2509,1248000,2509,1248000,2510,1248000,2511,1248000,2511,1248000,2512,1248000,2512,787200,2513,787200
2590,0,2595,3,2592,5399840,2601,50398,20160,2609,3,2609,0,2610,1248000,2610,1248000,2611,1248000,2611,1248000,2612,1248000,2612,1248000,2613,787200,2613,787200
2697,0,2702,3,2698,5401100,2708,50398,20160,2715,3,2716,0,2717,768000,2718,768000,2718,768000,2719,768000,2720,768000,2720,768000,2722,787200,2722,787200
2798,0,2801,3,2799,5397272,2804,50398,20160,2810,3,2810,0,2811,1017600,2812,1017600,2813,1017600,2813,1017600,2814,1017600,2814,1017600,2815,787200,2815,787200
2899,0,2902,3,2900,5397800,2906,50398,20160,2912,3,2913,0,2913,768000,2914,768000,2914,768000,2915,768000,2916,768000,2916,768000,2917,787200,2918,787200
3000,0,3003,3,3001,5398280,3008,50398,20160,3013,3,3014,0,3016,768000,3016,768000,3017,768000,3018,768000,3019,768000,3020,768000,3020,787200,3021,787200
3101,0,3104,3,3102,5399288,3109,50398,20160,3115,3,3116,0,3117,768000,3117,768000,3118,768000,3119,768000,3119,768000,3120,768000,3121,787200,3121,787200
3203,0,3208,3,3206,5399816,3214,50398,20160,3225,3,3226,0,3227,576000,3228,1248000,3229,1248000,3230,1248000,3230,1248000,3231,1248000,3232,787200,3233,787200
3303,0,3307,3,3305,5400092,3316,50398,20160,3326,3,3327,0,3328,1248000,3328,1248000,3329,1248000,3329,1248000,3330,1248000,3330,1248000,3330,787200,3331,787200
3405,0,3408,3,3406,5404124,3415,50398,20160,3424,3,3425,0,3425,768000,3426,768000,3426,768000,3427,768000,3427,768000,3428,1248000,3429,787200,3430,787200
3506,0,3511,3,3509,5404400,3517,50398,20160,3525,3,3526,0,3528,576000,3529,1248000,3529,1248000,3530,1248000,3531,1248000,3532,1248000,3534,787200,3534,787200
3606,0,3609,3,3607,5405408,3616,50398,20160,3629,3,3630,0,3630,1248000,3631,1248000,3632,1248000,3632,1248000,3632,1248000,3633,1248000,3633,787200,3633,787200
3708,0,3711,3,3709,5405968,3718,50398,20160,3724,3,3725,0,3726,768000,3728,1248000,3729,1248000,3729,1248000,3730,1248000,3730,1248000,3731,787200,3731,787200
3811,0,3816,3,3813,5406496,3821,50398,20160,3829,3,3829,0,3830,1248000,3831,1248000,3831,1248000,3832,1248000,3832,1248000,3833,1248000,3833,787200,3833,787200
3913,0,3917,3,3915,5407000,3924,50398,20160,3930,3,3931,0,3932,1248000,3933,1248000,3934,1248000,3934,1248000,3935,1248000,3936,1248000,3936,787200,3937,787200
4015,0,4018,3,4016,5407912,4021,50398,20160,4028,3,4029,0,4029,768000,4030,768000,4031,768000,4031,768000,4032,768000,4032,768000,4033,787200,4033,787200
4115,0,4118,3,4116,5413992,4121,50398,20160,4128,3,4129,0,4130,768000,4130,768000,4131,768000,4132,768000,4133,768000,4133,768000,4134,2208000,4134,2208000
4217,0,4220,3,4218,5386476,4236,50398,20160,4241,4,4242,0,4242,1804800,4242,1804800,4242,1804800,4243,1804800,4243,1804800,4243,1804800,4243,787200,4243,787200
4318,0,4321,3,4319,5388132,4326,67197,36959,4331,4,4331,0,4332,1804800,4332,1804800,4333,1804800,4334,1804800,4335,1804800,4336,1804800,4336,787200,4337,787200
4420,0,4422,3,4421,5367520,4424,67197,36959,4427,4,4428,0,4429,1017600,4429,1017600,4429,1017600,4430,1017600,4430,1017600,4431,1017600,4431,787200,4432,787200
4520,0,4522,3,4521,5368788,4524,67197,36959,4528,4,4529,0,4529,1017600,4530,1017600,4530,1017600,4530,1017600,4531,1017600,4531,1017600,4531,1248000,4532,1248000
4621,0,4623,3,4622,5369272,4627,67197,36959,,,,,,,,,,,,,,,,,,,,
