Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
80,0,83,3,81,5263592,85,0,0,88,0,88,0,89,1804800,0,1804800,0,1804800,0,1804800,0,1804800,1,1804800,1,2208000,1,2208000
181,0,183,3,182,5265860,185,0,0,188,0,188,0,189,1804800,89,1804800,89,1804800,90,1804800,90,1804800,90,1804800,91,2208000,91,2208000
282,0,283,3,282,5266868,285,0,0,288,0,288,0,289,1804800,189,1804800,189,1804800,190,1804800,190,1804800,190,1804800,190,1248000,191,1248000
382,0,384,3,383,5267624,385,0,0,387,0,388,0,388,1804800,289,1804800,289,1804800,290,1804800,290,1804800,290,1804800,291,1248000,291,1248000
483,0,484,3,483,5267756,486,0,0,488,0,489,0,489,1804800,388,1804800,388,1804800,389,1804800,389,1804800,389,1804800,389,1248000,390,1248000
583,0,585,3,584,5269268,587,0,0,589,0,589,0,590,1804800,489,1804800,490,1804800,490,1804800,490,1804800,490,1804800,491,1248000,491,1248000
683,0,684,3,684,5273916,686,0,0,688,0,688,0,688,1804800,590,1804800,590,1804800,591,1804800,591,1804800,591,1804800,592,1248000,592,1248000
785,0,786,3,785,5275428,787,0,0,790,0,790,0,790,1804800,688,1804800,689,1804800,689,1804800,689,1804800,689,1804800,689,1766400,690,1766400
886,0,887,3,886,5276436,889,0,0,891,0,892,0,892,1804800,791,1804800,791,1804800,791,1804800,792,1804800,792,1804800,792,1248000,792,1248000
986,0,987,3,986,5277948,988,0,0,990,3,991,0,991,1804800,892,1804800,892,1804800,893,1804800,893,1804800,893,1804800,893,1248000,893,1248000
1087,0,1088,3,1088,5282460,1091,192552,92013,1095,3,1095,0,1096,1804800,991,1804800,992,1804800,992,1804800,992,1804800,992,1804800,993,1248000,993,1248000
1187,0,1189,3,1188,5282964,1192,192552,92013,1197,3,1197,0,1198,1804800,1096,1804800,1097,1804800,1097,1804800,1097,1804800,1098,1804800,1098,2208000,1098,2208000
1288,0,1290,3,1289,5285460,1292,192552,92013,1296,3,1297,0,1298,1324800,1198,1804800,1199,1804800,1199,1804800,1200,1804800,1200,1804800,1201,2208000,1201,2208000
1388,0,1390,3,1389,5288696,1393,120198,19659,1398,3,1398,0,1399,1804800,1298,1804800,1299,1804800,1299,1804800,1300,1804800,1300,1804800,1301,2208000,1301,2208000
1489,0,1491,3,1490,5293492,1494,120198,19659,1498,3,1498,0,1499,1804800,1399,1804800,1400,1804800,1400,1804800,1400,1804800,1401,1804800,1401,2208000,1401,2208000
1590,0,1593,3,1591,5302100,1600,87150,0,1618,3,1618,0,1619,1804800,1499,1708800,1500,1708800,1500,1804800,1501,1804800,1501,1804800,1502,2208000,1502,2208000
1692,0,1695,3,1694,5308912,1705,87150,0,1714,3,1719,0,1721,1804800,1620,1804800,1620,1804800,1621,1804800,1621,1804800,1622,1804800,1622,2208000,1623,2208000
1793,0,1795,3,1794,5302952,1798,50398,0,1806,3,1806,0,1807,1804800,1722,1804800,1724,1804800,1726,1804800,1727,1804800,1727,1804800,1728,2208000,1729,2208000
1894,0,1896,3,1895,5312616,1899,50398,0,1902,3,1903,0,1903,1708800,1807,1804800,1808,1804800,1808,1804800,1809,1804800,1809,1804800,1809,2208000,1810,2208000
1995,0,1997,3,1996,5312136,2000,50398,0,2004,5,2005,0,2005,1017600,1904,1708800,1904,1708800,1905,1708800,1905,1708800,1905,1708800,1906,1555200,1906,1555200
2096,0,2100,3,2098,5312892,2104,83997,0,2109,5,2110,0,2111,1248000,2006,1017600,2007,1017600,2007,1017600,2008,1017600,2008,1017600,2008,2208000,2009,2208000
2197,0,2201,3,2199,5313508,2204,83997,0,2207,5,2208,0,2208,1804800,2112,1248000,2112,1248000,2113,1248000,2113,1248000,2114,1248000,2115,1248000,2115,1248000
2296,0,2299,3,2297,5316940,2303,83997,0,2307,5,2308,0,2309,768000,2209,1804800,2209,1804800,2209,1804800,2209,1804800,2210,1804800,2210,787200,2210,787200
2398,0,2400,3,2398,5320248,2404,83997,0,2409,5,2410,0,2411,1324800,2310,768000,2311,1324800,2311,1324800,2312,1324800,2312,1324800,2313,2208000,2313,2208000
2498,0,2501,3,2500,5320528,2505,83997,0,2511,5,2513,0,2513,1248000,2411,1324800,2412,1324800,2413,1324800,2414,1324800,2414,1324800,2415,2208000,2415,2208000
2602,0,2605,3,2603,5321032,2609,83997,0,2617,5,2618,0,2619,1017600,2514,1248000,2515,1248000,2515,1248000,2516,1248000,2516,1248000,2517,1766400,2517,1766400
2703,0,2705,3,2704,5321504,2709,83997,0,2714,5,2715,0,2715,1248000,2619,1017600,2620,1017600,2620,1017600,2621,1017600,2621,1017600,2621,787200,2622,787200
2804,0,2806,3,2805,5322324,2811,83997,0,2817,5,2818,0,2819,1017600,2716,1248000,2716,1248000,2717,1248000,2717,1248000,2717,1248000,2718,787200,2719,787200
2906,0,2909,3,2907,5323080,2915,83997,0,2922,5,2924,0,2925,576000,2819,1017600,2820,1017600,2820,1017600,2821,1017600,2821,1017600,2821,787200,2822,787200
3008,0,3013,3,3010,5323584,3020,83997,0,3028,5,3029,0,3030,768000,2925,576000,2926,576000,2927,576000,2928,576000,2928,576000,2929,787200,2929,787200
3108,0,3111,3,3109,5324096,3117,83997,0,3121,4,3121,0,3122,1248000,3031,1248000,3032,1248000,3033,1248000,3033,1248000,3034,1248000,3034,787200,3035,787200
3209,0,3211,3,3210,5324380,3215,67197,0,3220,4,3221,0,3221,1248000,3122,1248000,3123,1248000,3126,1248000,3126,1248000,3127,1248000,3127,787200,3128,787200
3309,0,3311,3,3310,5325892,3316,67197,0,3322,4,3322,0,3323,1516800,3222,1248000,3222,1248000,3223,1248000,3224,1248000,3224,1248000,3224,787200,3225,787200
3409,0,3411,3,3410,5334964,3418,67197,0,3424,4,3424,0,3425,1804800,3324,1516800,3324,1516800,3325,768000,3326,768000,3327,768000,3328,2208000,3329,2208000
3510,0,3511,3,3510,5311140,3513,67197,0,3516,4,3516,0,3517,1248000,3425,1804800,3426,1804800,3427,1804800,3427,1804800,3428,1804800,3429,2131200,3430,2131200
3612,0,3615,3,3613,5310452,3618,67197,0,3624,4,3625,0,3625,768000,3517,1248000,3518,1248000,3518,1248000,3518,1248000,3519,1248000,3519,787200,3519,787200
3714,0,3719,3,3716,5310956,3724,67197,0,3732,4,3733,0,3733,1248000,3626,768000,3627,768000,3628,768000,3628,768000,3629,768000,3630,787200,3631,787200
3816,0,3819,3,3817,5311176,3822,67197,0,3829,4,3831,0,3831,1017600,3734,1248000,3735,1248000,3736,1248000,3736,1248000,3736,1248000,3737,1248000,3737,1248000
3916,0,3920,3,3918,5311468,3923,67197,0,3930,4,3931,0,3931,1248000,3832,1017600,3832,1017600,3833,1017600,3833,1017600,3833,1017600,3834,787200,3834,787200
4018,0,4020,3,4019,5311468,4025,67197,0,4031,4,4032,0,4033,576000,3932,1248000,3932,1248000,3932,1248000,3933,1248000,3933,1248000,3933,787200,3934,787200
4119,0,4121,3,4120,5312036,4126,67197,0,4134,4,4135,0,4136,576000,4033,576000,4035,576000,4035,576000,4036,576000,4036,576000,4037,787200,4038,787200
4221,0,4223,3,4221,5313704,4228,67197,0,4232,3,4232,0,4233,1804800,4137,576000,4137,576000,4138,576000,4138,576000,4139,576000,4140,787200,4140,787200
4320,0,4322,3,4321,5314532,4326,50398,0,4333,3,4333,0,4334,1017600,4233,1804800,4233,1804800,4234,1804800,4234,1804800,4234,1804800,4234,787200,4234,787200
4421,0,4425,3,4423,5315320,4429,50398,0,4436,3,4437,0,4437,1804800,4334,1017600,4335,1017600,4335,1017600,4335,1017600,4336,1017600,4336,979200,4336,979200
4522,0,4524,3,4523,5315604,4530,50398,0,4535,3,4536,0,4536,1804800,4437,1804800,4438,1804800,4438,1804800,4438,1804800,4438,1804800,4439,787200,4439,787200
4622,0,4623,3,4623,5316628,4625,50398,0,4631,3,4632,0,4632,1804800,4537,1804800,4537,1804800,4538,1804800,4539,1804800,4539,1804800,4539,787200,4540,787200
,,,,,,,,,,,,,,,4633,1804800,,,,,,,,,,,,
