Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
21,0,23,3,22,5286872,24,0,0,27,0,27,0,27,1804800,28,1804800,28,1804800,28,1804800,28,1804800,28,1804800,29,2208000,29,2208000
107,0,109,3,108,5290400,110,0,0,113,0,114,0,114,1804800,115,1804800,115,1804800,116,1804800,116,1804800,117,1804800,117,2208000,118,2208000
208,0,209,3,209,5291440,211,0,0,215,4,216,0,216,1017600,217,1017600,217,1017600,217,1017600,218,1017600,218,1017600,219,2208000,221,2208000
308,0,309,3,309,5292952,312,67197,25199,316,4,316,0,317,1017600,317,1017600,317,1017600,318,1017600,318,1017600,319,1017600,319,2208000,319,2208000
409,0,410,3,409,5294496,413,67197,25199,416,4,417,0,418,1017600,418,1017600,419,1017600,419,1017600,419,1017600,420,1017600,420,2208000,420,2208000
510,0,512,3,511,5295788,515,67197,25199,518,4,519,0,519,1017600,520,1017600,520,1017600,521,1017600,521,1017600,521,1017600,522,2208000,522,2208000
620,0,623,3,621,5296544,626,67197,25199,634,4,634,0,634,1516800,635,1516800,635,1516800,635,1516800,636,1516800,636,1516800,636,2208000,636,2208000
713,0,714,3,713,5298548,716,67197,25199,719,4,719,0,725,1612800,728,1612800,729,1612800,729,1612800,730,1612800,731,1612800,732,787200,732,787200
813,0,814,3,814,5301376,818,67197,25199,827,4,828,0,828,1804800,829,1804800,830,1804800,830,1804800,830,1804800,831,1804800,831,787200,831,787200
915,0,917,3,916,5303424,920,67197,25199,925,4,925,0,926,1804800,926,1804800,928,1804800,929,1804800,929,1804800,930,1804800,932,2208000,932,2208000
1015,0,1017,3,1016,5308252,1020,67197,25199,1025,4,1025,0,1026,1248000,1027,1248000,1027,1248000,1028,1248000,1029,1248000,1029,1708800,1030,2208000,1030,2208000
1117,0,1120,3,1118,5312060,1124,67197,25199,1131,4,1132,0,1133,1804800,1139,1804800,1140,1804800,1141,1804800,1142,1804800,1143,1804800,1144,2208000,1144,2208000
1216,0,1218,3,1217,5308920,1224,67197,25199,1231,4,1232,0,1232,1804800,1233,1804800,1233,1804800,1234,1804800,1235,1804800,1236,1804800,1237,1766400,1238,1766400
1317,0,1319,3,1318,5321808,1321,67197,25199,1325,4,1326,0,1326,1804800,1327,1804800,1328,1804800,1328,1804800,1328,1804800,1329,1804800,1329,2131200,1329,2131200
1418,0,1420,3,1418,5331644,1422,67197,25199,1427,4,1427,0,1428,1612800,1429,1612800,1429,1612800,1430,1612800,1430,1612800,1430,1612800,1431,2208000,1431,2208000
1518,0,1520,3,1519,5329548,1524,67197,25199,1529,4,1529,0,1530,1804800,1531,1804800,1532,1804800,1532,1804800,1533,1804800,1533,1804800,1533,2208000,1534,2208000
1620,0,1624,3,1622,5335704,1628,67197,25199,1634,4,1636,0,1637,1804800,1637,1804800,1638,1804800,1638,1804800,1640,1804800,1640,1804800,1642,2208000,1643,2208000
1720,0,1722,3,1721,5340832,1726,67197,25199,1732,4,1733,0,1734,1516800,1734,1516800,1735,1516800,1736,1516800,1736,1516800,1737,1516800,1737,2208000,1738,2208000
