Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
25,0,26,3,25,5219428,27,0,0,29,0,29,0,29,1804800,30,1804800,30,1804800,30,1804800,30,1804800,31,1804800,31,2208000,31,2208000
114,0,116,3,115,5215924,119,0,0,125,0,125,0,126,1804800,126,1804800,127,1804800,128,1804800,129,1804800,129,1804800,130,2208000,130,2208000
214,0,216,3,215,5215828,220,0,0,224,0,225,0,226,1804800,228,1804800,229,1804800,230,1804800,230,1804800,231,1804800,232,2208000,232,2208000
315,0,316,3,315,5219052,320,0,0,324,0,325,0,326,1708800,326,1804800,327,1804800,327,1804800,328,1804800,328,1804800,329,2208000,329,2208000
415,0,418,3,416,5227800,422,0,0,429,0,430,0,431,1708800,431,1708800,432,1804800,433,1708800,433,1708800,434,1708800,435,2208000,436,2208000
516,0,517,3,516,5229544,521,0,0,525,0,526,0,527,1804800,527,1804800,528,1804800,528,1804800,529,1804800,529,1804800,530,2208000,530,2208000
616,0,618,3,617,5234184,621,0,0,625,0,626,0,626,1708800,627,1708800,628,1708800,628,1804800,629,1804800,629,1804800,630,2208000,630,2208000
716,0,718,3,717,5239232,722,0,0,726,0,726,0,727,1804800,727,1804800,728,1804800,728,1804800,729,1804800,729,1804800,730,2208000,730,2208000
817,0,818,3,818,5239172,820,0,0,822,0,823,0,823,1804800,823,1804800,823,1804800,823,1804800,824,1804800,824,1804800,824,1248000,827,1248000
920,0,922,3,920,5243476,926,0,0,932,0,933,0,933,1804800,934,1804800,938,1804800,940,1804800,941,1804800,941,1804800,947,2131200,956,2131200
1019,0,1021,3,1020,5262596,1024,0,0,1027,0,1028,0,1030,1804800,1030,1804800,1031,1804800,1031,1804800,1031,1804800,1032,1804800,1032,2208000,1032,2208000
1121,0,1123,3,1122,5258668,1125,0,0,1129,8,1130,0,1130,1708800,1131,1708800,1131,1708800,1131,1708800,1132,1708800,1132,1708800,1133,2208000,1133,2208000
1222,0,1225,3,1223,5253268,1229,134395,83997,1233,8,1234,0,1234,1516800,1234,1516800,1235,1516800,1235,1516800,1235,1516800,1235,1516800,1236,2208000,1236,2208000
1323,0,1326,3,1324,5253992,1335,232401,182003,1341,8,1342,0,1343,1017600,1344,1017600,1345,1017600,1345,1017600,1346,1017600,1346,1017600,1347,787200,1348,787200
1423,0,1426,3,1424,5256512,1432,232401,182003,1437,8,1438,0,1438,1708800,1439,1708800,1440,1612800,1440,1804800,1441,1248000,1441,1248000,1442,2208000,1442,2208000
1524,0,1527,3,1526,5258528,1533,232401,182003,1539,8,1540,0,1540,1017600,1541,1017600,1541,1017600,1542,1017600,1542,1017600,1543,1017600,1543,787200,1543,787200
1625,0,1628,3,1626,5260072,1633,232401,182003,1639,8,1640,0,1641,768000,1641,768000,1642,768000,1644,768000,1645,768000,1645,768000,1646,787200,1646,787200
1726,0,1729,3,1727,5261268,1733,232401,182003,1739,8,1740,0,1740,768000,1741,768000,1742,768000,1742,768000,1743,768000,1743,768000,1744,787200,1744,787200
1828,0,1833,3,1830,5262056,1842,232401,182003,1852,8,1853,0,1854,1248000,1855,1248000,1855,1248000,1856,1248000,1857,1248000,1857,1248000,1858,787200,1858,787200
1928,0,1930,3,1929,5263064,1936,232401,182003,1943,8,1943,0,1944,768000,1945,768000,1945,768000,1946,768000,1946,768000,1947,768000,1947,787200,1947,787200
2029,0,2033,3,2031,5264104,2039,232401,182003,2046,8,2047,0,2047,576000,2048,576000,2049,1248000,2049,1248000,2049,1248000,2050,1248000,2050,787200,2050,787200
2133,0,2137,3,2135,5265112,2143,232401,182003,2151,7,2151,0,2152,1248000,2153,1248000,2154,1248000,2154,1248000,2155,1248000,2155,1248000,2155,787200,2156,787200
2234,0,2237,3,2235,5265112,2241,203351,152953,2248,7,2249,0,2250,768000,2251,768000,2251,768000,2252,768000,2253,768000,2253,768000,2254,787200,2254,787200
2337,0,2340,3,2338,5265616,2346,203351,152953,2353,7,2354,0,2355,768000,2356,768000,2356,768000,2357,768000,2358,768000,2358,768000,2359,787200,2359,787200
2436,0,2439,3,2437,5266120,2445,203351,152953,2452,7,2453,0,2454,576000,2455,576000,2456,576000,2456,576000,2457,576000,2458,576000,2458,787200,2459,787200
