Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
3,0,5,3,4,5338708,9,0,0,14,0,14,0,15,1804800,15,1804800,15,1804800,15,1804800,16,1804800,16,1804800,17,2208000,17,2208000
77,0,78,3,78,5353080,82,0,0,86,0,87,0,87,1804800,88,1804800,88,1804800,88,1804800,89,1804800,89,1804800,90,2208000,90,2208000
176,0,178,3,177,5347920,179,0,0,182,0,183,0,183,1516800,183,1516800,184,1516800,184,1516800,184,1516800,185,1516800,185,2208000,185,2208000
277,0,279,3,278,5350164,282,0,0,285,0,285,0,286,1804800,286,1804800,286,1804800,286,1804800,287,1804800,287,1804800,287,787200,287,787200
379,0,382,3,379,5352912,386,0,0,394,0,395,0,396,768000,397,1248000,398,1248000,399,1248000,399,1248000,400,1248000,400,787200,401,787200
482,0,485,3,484,5353952,492,0,0,506,0,509,0,509,1248000,510,1248000,510,1248000,510,1248000,511,1248000,511,1248000,512,787200,513,787200
582,0,584,3,583,5354952,589,0,0,609,0,609,0,610,1516800,611,1516800,611,1516800,611,1516800,612,1516800,613,1516800,614,787200,615,787200
683,0,685,3,684,5356496,688,0,0,692,9,692,0,693,1804800,693,1804800,694,1804800,694,1804800,694,1804800,694,1804800,695,787200,695,787200
786,0,788,3,787,5358480,792,151194,0,796,9,796,0,797,1804800,797,1804800,797,1804800,798,1804800,798,1804800,798,1804800,798,1248000,799,1248000
888,0,890,3,889,5356544,897,151194,0,901,9,902,0,902,1612800,902,1612800,903,1612800,903,1612800,903,1612800,903,1612800,904,787200,904,787200
990,0,994,3,992,5356796,999,151194,0,1005,9,1005,0,1006,1248000,1007,1248000,1007,1248000,1007,1248000,1008,1248000,1008,1248000,1009,787200,1009,787200
1092,0,1096,3,1094,5357804,1100,151194,0,1107,9,1109,0,1110,768000,1110,768000,1111,768000,1112,768000,1112,768000,1113,768000,1113,787200,1114,787200
1194,0,1196,3,1195,5349284,1199,151194,0,1204,9,1206,0,1206,1324800,1207,1324800,1207,1324800,1208,1324800,1208,1324800,1209,1324800,1209,787200,1209,787200
1295,0,1298,3,1297,5350084,1303,151194,0,1311,9,1312,0,1313,576000,1314,576000,1315,576000,1316,576000,1317,1248000,1317,1248000,1317,787200,1318,787200
1397,0,1400,3,1398,5349820,1404,151194,0,1411,9,1413,0,1414,576000,1416,576000,1417,1248000,1418,1248000,1418,1248000,1419,1248000,1419,787200,1419,787200
1497,0,1500,3,1498,5350256,1508,151194,0,1522,9,1522,0,1523,1248000,1524,1248000,1524,1248000,1525,1248000,1525,1248000,1526,1248000,1526,787200,1526,787200
1599,0,1603,3,1600,5350964,1611,151194,0,1619,9,1620,0,1621,1248000,1621,1248000,1622,1248000,1622,1248000,1623,1248000,1623,1248000,1623,787200,1624,787200
1699,0,1703,3,1701,5351444,1708,151194,0,1719,4,1720,0,1721,768000,1721,768000,1722,768000,1723,768000,1724,768000,1724,768000,1725,787200,1725,787200
1800,0,1803,3,1801,5351728,1806,67197,0,1815,4,1815,0,1816,768000,1817,1248000,1817,1248000,1818,1248000,1818,1248000,1819,1248000,1819,787200,1819,787200
1901,0,1905,3,1903,5351980,1909,67197,0,1916,4,1917,0,1917,1248000,1918,1248000,1918,1248000,1919,1248000,1919,1248000,1920,1248000,1920,787200,1921,787200
2002,0,2005,3,2004,5351980,2010,67197,0,2017,4,2018,0,2018,768000,2019,768000,2019,768000,2020,768000,2021,768000,2021,768000,2022,787200,2022,787200
2103,0,2106,3,2105,5352988,2111,67197,0,2118,4,2119,0,2119,768000,2120,768000,2121,768000,2121,768000,2122,768000,2123,768000,2123,787200,2124,787200
2205,0,2207,3,2206,5352736,2213,67197,0,2219,4,2219,0,2220,1017600,2221,1017600,2221,1017600,2222,1017600,2222,1017600,2223,1017600,2223,787200,2224,787200
2306,0,2309,3,2307,5353240,2313,67197,0,2319,4,2320,0,2321,768000,2321,768000,2322,768000,2322,768000,2323,768000,2323,768000,2324,787200,2324,787200
2406,0,2409,3,2407,5353516,2413,67197,0,2419,4,2420,0,2421,768000,2421,768000,2422,768000,2423,768000,2423,768000,2424,768000,2424,787200,2425,787200
2508,0,2511,3,2510,5354248,2517,67197,0,2523,4,2524,0,2525,576000,2526,576000,2527,576000,2527,576000,2528,576000,2529,576000,2530,787200,2530,787200
2609,0,2612,3,2610,5354776,2616,67197,0,2627,4,2628,0,2629,576000,2629,576000,2630,576000,2631,576000,2631,576000,2632,576000,2632,787200,2633,787200
2708,0,2711,3,2710,5366424,2715,67197,0,2720,4,2720,0,2721,1804800,2722,1804800,2722,1804800,2722,1804800,2723,1804800,2723,1804800,2723,787200,2723,787200
2809,0,2811,3,2809,5380056,2817,67197,0,2820,4,2820,0,2821,1708800,2821,1708800,2821,1708800,2822,1708800,2822,1708800,2822,1708800,2822,787200,2822,787200
2909,0,2911,3,2910,5383356,2914,67197,0,2916,4,2916,0,2917,1804800,2917,1804800,2917,1804800,2917,1804800,2917,1804800,2918,1804800,2918,787200,2918,787200
3010,0,3011,3,3010,5386908,3013,67197,0,3016,4,3017,0,3017,1804800,3017,1804800,3017,1804800,3018,1804800,3018,1804800,3018,1804800,3018,787200,3018,787200
3110,0,3112,3,3111,5389980,3114,67197,0,3117,4,3117,0,3118,1804800,3118,1804800,3118,1804800,3118,1804800,3118,1804800,3119,1804800,3119,787200,3119,787200
3211,0,3213,3,3212,5392780,3215,67197,0,3217,4,3221,0,3225,1804800,3225,1804800,3229,1804800,3230,1804800,3230,1804800,3230,1804800,3231,787200,3231,787200
3311,0,3313,3,3312,5392828,3315,67197,0,3318,4,3318,0,3318,1804800,3319,1804800,3319,1804800,3319,1804800,3319,1804800,3320,1804800,3320,787200,3320,787200
3413,0,3415,3,3414,5393632,3417,67197,0,3421,4,3422,0,3422,1017600,3423,1017600,3423,1017600,3423,1017600,3424,1017600,3424,1017600,3425,787200,3425,787200
3514,0,3516,3,3515,5393632,3520,67197,0,3525,4,3526,0,3526,768000,3527,768000,3527,768000,3528,768000,3528,768000,3529,768000,3529,787200,3530,787200
3614,0,3616,3,3615,5393344,3620,67197,0,3625,4,3626,0,3626,768000,3627,768000,3628,768000,3628,768000,3629,768000,3629,768000,3630,787200,3630,787200
3719,0,3722,3,3721,5394100,3726,67197,0,3733,4,3734,0,3734,576000,3735,576000,3736,576000,3736,576000,3737,1248000,3737,1248000,3738,787200,3738,787200
3820,0,3823,3,3822,5394856,3830,67197,0,3836,4,3837,0,3837,1248000,3838,1248000,3839,1248000,3839,1248000,3840,1248000,3840,1248000,3841,787200,3841,787200
3922,0,3927,3,3924,5394904,3936,67197,0,3945,4,3946,0,3947,768000,3947,768000,3948,768000,3948,768000,3949,768000,3950,768000,3950,787200,3954,787200
4021,0,4023,3,4022,5388076,4026,67197,0,4033,4,4035,0,4036,1017600,4036,1248000,4040,1248000,4041,1248000,4042,1248000,4042,1248000,4043,787200,4043,787200
4123,0,4126,3,4124,5387780,4130,67197,0,4137,4,4138,0,4138,1248000,4139,1248000,4139,1248000,4140,1248000,4140,1248000,4141,1248000,4141,787200,4141,787200
4222,0,4224,3,4223,5388300,4225,67197,0,4227,4,4228,0,4228,1804800,4229,1804800,4229,1804800,4229,1804800,4230,1804800,4230,1804800,4230,787200,4230,787200
4327,0,4330,3,4328,5389232,4339,67197,0,4343,4,4346,0,4347,1248000,4348,1248000,4348,1248000,4348,1248000,4349,1248000,4349,1248000,4350,787200,4350,787200
4427,0,4428,3,4427,5397088,4431,67197,0,4436,4,4437,0,4437,1804800,4438,1804800,4438,1804800,4438,1804800,4438,1804800,4439,1804800,4439,787200,4439,787200
4528,0,4529,3,4528,5397332,4531,67197,0,4533,4,4534,0,4534,1804800,4534,1804800,4535,1804800,4535,1804800,4535,1804800,,,,,,
