Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
65,0,66,3,65,5280552,68,0,0,71,0,71,0,72,1804800,72,1804800,72,1804800,73,1804800,73,1804800,73,1804800,73,2208000,73,2208000
166,0,167,3,166,5282316,169,0,0,172,0,172,0,172,1516800,173,1516800,173,1516800,173,1516800,174,1516800,174,1516800,174,787200,175,787200
266,0,268,3,267,5283608,269,0,0,272,0,272,0,273,1804800,273,1804800,274,1804800,274,1804800,274,1804800,274,1804800,275,787200,275,787200
370,0,375,3,372,5285196,383,0,0,393,0,394,0,395,1017600,396,1017600,397,1017600,398,1017600,400,1612800,400,1516800,401,2208000,402,2208000
468,0,470,3,469,5293292,473,0,0,477,0,478,0,479,1324800,479,1324800,479,1804800,480,1804800,480,1804800,480,1804800,481,2208000,481,2208000
569,0,572,3,569,5301024,577,0,0,583,4,584,0,585,1804800,600,1804800,601,1804800,601,1804800,607,1804800,608,1804800,609,2073600,610,2073600
669,0,671,3,670,5309292,675,67197,43678,680,4,681,0,682,1804800,682,1804800,683,1804800,683,1804800,684,1804800,684,1804800,684,2208000,685,2208000
770,0,772,3,770,5324200,777,67197,43678,786,4,787,0,787,1804800,788,1804800,788,1804800,789,1804800,790,1804800,790,1804800,791,2131200,791,2131200
870,0,872,3,871,5330708,876,67197,43678,884,4,885,0,885,1324800,886,1324800,887,1324800,887,1324800,888,1324800,889,1324800,889,2208000,890,2208000
972,0,975,3,973,5332444,981,67197,43678,988,4,989,0,990,1804800,990,1804800,991,1804800,992,1804800,993,1804800,993,1804800,994,2208000,994,2208000
1072,0,1074,3,1072,5349128,1078,67197,43678,1084,4,1084,0,1085,1804800,1085,1804800,1086,1804800,1086,1804800,1087,1804800,1088,1804800,1088,2208000,1089,2208000
1172,0,1174,3,1173,5359704,1177,67197,43678,1183,4,1183,0,1184,1804800,1184,1804800,1185,1804800,1186,1804800,1186,1804800,1186,1804800,1187,2208000,1187,2208000
1274,0,1277,3,1275,5360744,1282,67197,43678,1289,4,1290,0,1291,1248000,1292,1248000,1292,1248000,1293,1248000,1294,1248000,1294,1248000,1295,2208000,1296,2208000
1375,0,1378,3,1376,5363716,1381,67197,43678,1387,4,1388,0,1389,768000,1389,768000,1390,768000,1391,768000,1391,768000,1392,768000,1393,2208000,1394,2208000
1475,0,1478,3,1476,5367464,1485,67197,43678,1492,4,1492,0,1493,768000,1494,768000,1495,768000,1496,768000,1496,768000,1497,768000,1500,2208000,1501,2208000
1576,0,1579,3,1577,5371496,1583,67197,43678,1591,4,1592,0,1593,768000,1593,768000,1595,768000,1595,768000,1596,768000,1597,768000,1598,2208000,1598,2208000
1677,0,1679,3,1678,5368364,1684,67197,43678,1696,8,1697,0,1697,1804800,1698,1804800,1698,1804800,1699,1804800,1700,1804800,1700,1804800,1701,2208000,1701,2208000
1778,0,1780,3,1779,5371316,1783,134395,110876,1787,8,1787,0,1788,1804800,1788,1804800,1789,1804800,1790,1804800,1790,1804800,1790,1804800,1791,2208000,1792,2208000
1878,0,1881,3,1879,5375516,1885,134395,110876,1893,8,1893,0,1894,768000,1895,768000,1895,768000,1896,768000,1897,768000,1898,768000,1899,2208000,1900,2208000
1979,0,1982,3,1980,5378004,1990,134395,110876,1997,8,1999,0,2000,1248000,2000,1804800,2001,1804800,2002,1804800,2002,1804800,2003,1804800,2005,1036800,2005,1036800
2079,0,2082,3,2080,5378364,2089,134395,110876,2097,8,2100,0,2100,1516800,2101,1516800,2101,1516800,2102,1516800,2102,1516800,2103,1516800,2104,2208000,2104,2208000
2179,0,2181,3,2179,5381784,2185,134395,110876,2191,8,2192,0,2193,1017600,2194,1017600,2194,1017600,2195,1017600,2196,1804800,2196,1804800,2196,2208000,2197,2208000
2281,0,2286,3,2284,5384412,2291,134395,110876,2299,8,2300,0,2300,1248000,2301,1248000,2301,1248000,2302,1248000,2303,1248000,2304,1248000,2304,2208000,2305,2208000
2382,0,2385,3,2383,5387720,2389,134395,110876,2396,8,2397,0,2398,768000,2399,768000,2400,1248000,2400,1248000,2401,1248000,2401,1248000,2402,2208000,2403,2208000
2482,0,2483,3,2482,5391352,2486,134395,110876,2493,8,2494,0,2496,1248000,2497,1248000,2497,1248000,2498,1248000,2498,1248000,2498,1248000,2499,2208000,2499,2208000
2583,0,2586,3,2585,5392052,2592,134395,110876,2600,8,2601,0,2601,1248000,2602,1248000,2602,1248000,2603,1248000,2604,1248000,2605,1248000,2606,787200,2606,787200
2684,0,2688,3,2685,5392556,2695,134395,110876,2702,10,2703,0,2704,1248000,2704,1248000,2705,1248000,2705,1248000,2705,1248000,2706,1248000,2708,1248000,2708,1248000
2785,0,2787,3,2786,5392832,2793,167994,144475,2801,10,2801,0,2802,1017600,2802,1017600,2802,1017600,2803,1017600,2804,1017600,2805,1017600,2805,1248000,2806,1248000
2888,0,2891,3,2889,5393864,2897,167994,144475,2905,10,2906,0,2907,1017600,2907,1017600,2908,1017600,2909,1017600,2910,1017600,2910,1017600,2911,1900800,2912,1900800
2988,0,2994,3,2990,5396140,3000,167994,144475,3008,10,3009,0,3010,768000,3012,768000,3014,768000,3015,768000,3016,768000,3017,768000,3018,979200,3019,979200
