Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
66,0,70,3,66,5444060,74,0,0,82,0,82,0,0,1804800,1,1804800,2,1804800,2,1804800,3,1804800,3,1804800,4,2208000,5,2208000
166,0,169,3,167,5440072,173,0,0,181,0,181,0,83,1804800,85,1804800,86,1804800,87,1804800,89,1804800,90,1804800,91,2208000,93,2208000
267,0,270,3,268,5443192,276,0,0,287,0,287,0,182,1804800,183,1804800,183,1804800,184,1804800,184,1804800,184,1804800,185,2208000,185,2208000
368,0,372,3,369,5444036,377,0,0,386,6,386,0,290,1804800,291,1804800,292,1804800,293,1804800,295,1804800,296,1804800,298,2208000,299,2208000
469,0,472,3,470,5449596,478,100796,80637,486,6,487,0,388,1804800,388,1804800,389,1804800,390,1804800,390,1804800,391,1804800,392,2208000,393,2208000
568,0,570,3,569,5411468,575,100796,80637,582,6,582,0,488,1804800,489,1804800,490,1804800,491,1804800,492,1804800,493,1804800,494,2208000,495,2208000
669,0,672,3,670,5411352,675,100796,80637,678,6,678,0,583,1804800,583,1804800,584,1804800,584,1804800,585,1804800,585,1804800,585,2208000,585,2208000
769,0,772,3,770,5411856,776,100796,80637,781,6,781,0,679,1804800,680,1804800,680,1804800,681,1804800,681,1804800,681,1804800,681,2208000,682,2208000
870,0,872,3,871,5412236,874,100796,80637,877,6,878,0,782,1804800,782,1804800,783,1804800,783,1804800,783,1804800,784,1804800,784,787200,784,787200
972,0,976,3,974,5412776,982,100796,80637,989,6,990,0,878,1804800,879,1804800,879,1804800,879,1804800,879,1804800,880,1804800,880,1248000,880,1248000
1072,0,1076,3,1074,5413608,1084,100796,80637,1092,6,1093,0,991,1248000,992,1248000,992,1248000,993,1248000,993,1248000,994,1248000,994,787200,995,787200
1225,0,1229,3,1226,5415908,1234,100796,80637,1247,6,1249,0,1094,1248000,1094,1248000,1095,1248000,1095,1248000,1096,1248000,1097,1248000,1097,787200,1097,787200
1324,0,1329,3,1326,5416436,1334,100796,80637,1345,6,1345,0,1250,1248000,1251,1248000,1251,1248000,1252,1248000,1252,1248000,1253,1248000,1253,787200,1254,787200
1424,0,1426,3,1425,5417184,1430,100796,80637,1435,6,1435,0,1346,1248000,1347,1612800,1347,1612800,1348,1612800,1349,1612800,1350,1612800,1350,787200,1351,787200
1525,0,1529,3,1527,5417932,1535,100796,80637,1543,6,1544,0,1436,768000,1437,768000,1437,768000,1438,768000,1438,768000,1439,768000,1440,1900800,1440,1900800
1628,0,1632,3,1630,5418744,1638,100796,80637,1649,6,1650,0,1547,1248000,1548,1248000,1549,1248000,1549,1248000,1550,1248000,1550,1248000,1551,787200,1551,787200
1728,0,1730,3,1729,5409568,1732,100796,80637,1736,6,1736,0,1651,1248000,1651,1248000,1652,1248000,1652,1248000,1653,1248000,1653,1248000,1654,787200,1654,787200
1778,0,1782,3,1780,5409820,1786,100796,80637,1793,6,1793,0,1736,1324800,1737,1324800,1737,1324800,1737,1324800,1738,1324800,1738,1324800,1738,787200,1739,787200
1881,0,1887,3,1883,5410128,1892,100796,80637,1898,6,1899,0,1794,1248000,1795,1248000,1796,1248000,1796,1248000,1797,1248000,1797,1248000,1798,787200,1798,787200
1982,0,1985,3,1983,5410632,1990,100796,80637,1997,6,1998,0,1900,1248000,1900,1248000,1901,1248000,1901,1248000,1902,1248000,1902,1248000,1902,787200,1903,787200
2085,0,2089,3,2086,5410732,2095,100796,80637,2103,6,2104,0,1999,576000,2000,576000,2001,576000,2001,576000,2002,576000,2003,576000,2004,787200,2004,787200
2185,0,2190,3,2187,5411236,2195,100796,80637,2202,6,2203,0,2105,576000,2106,576000,2107,1248000,2108,1248000,2108,1248000,2109,1248000,2109,787200,2110,787200
