Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
27,0,28,3,27,5202608,30,0,0,32,0,32,0,33,1804800,33,1804800,33,1804800,34,1804800,34,1804800,34,1804800,34,2208000,34,2208000
116,0,118,3,117,5203420,124,0,0,128,0,129,0,129,1804800,129,1804800,129,1804800,130,1804800,130,1804800,130,1804800,131,2208000,131,2208000
218,0,222,3,220,5203900,232,0,0,237,0,237,0,238,1017600,238,1017600,239,1017600,239,1324800,240,1324800,241,1324800,241,787200,241,787200
317,0,320,3,318,5204908,322,0,0,325,0,325,0,326,1804800,326,1804800,326,1804800,327,1804800,328,1804800,328,1804800,328,787200,328,787200
418,0,420,3,419,5206452,422,0,0,427,0,427,0,428,1324800,428,1324800,428,1324800,429,1324800,429,1324800,429,1324800,430,787200,430,787200
520,0,523,3,522,5207996,527,0,0,532,8,533,0,534,768000,535,768000,535,768000,536,768000,537,768000,537,768000,538,787200,539,787200
620,0,622,3,621,5208468,625,134395,0,631,8,633,0,638,1248000,639,1248000,640,1612800,640,1612800,641,1612800,641,1612800,641,787200,642,787200
721,0,723,3,722,5209508,727,134395,0,733,8,736,0,738,1248000,739,1248000,739,1248000,740,1612800,740,1612800,740,1612800,740,787200,741,787200
821,0,824,3,823,5214044,829,134395,0,834,8,835,0,836,1804800,837,1804800,837,1804800,838,1804800,838,1804800,839,1804800,839,1401600,840,2208000
924,0,926,3,925,5226544,936,134395,0,945,8,946,0,947,1804800,948,1804800,949,1804800,950,1804800,951,1804800,951,1804800,952,2208000,953,2208000
1024,0,1026,3,1025,5223620,1029,134395,0,1033,8,1034,0,1034,1804800,1035,1804800,1035,1804800,1036,1804800,1036,1804800,1037,1804800,1037,2208000,1037,2208000
1125,0,1127,3,1126,5233124,1130,134395,0,1135,8,1136,0,1136,1017600,1137,1017600,1137,1017600,1138,1017600,1139,1017600,1139,1017600,1140,2208000,1140,2208000
1225,0,1227,3,1226,5234920,1229,134395,0,1234,8,1234,0,1235,1248000,1235,1248000,1236,1248000,1237,1248000,1237,1248000,1237,1248000,1238,2208000,1238,2208000
1326,0,1329,3,1328,5250792,1336,134395,0,1340,8,1341,0,1341,1804800,1342,1804800,1342,1804800,1343,1804800,1343,1804800,1344,1804800,1344,2073600,1345,2073600
1426,0,1429,3,1427,5249632,1433,134395,0,1440,8,1440,0,1441,1017600,1441,1017600,1442,1017600,1442,1017600,1443,1017600,1443,1017600,1443,2208000,1444,2208000
1527,0,1529,3,1528,5260680,1533,134395,0,1538,8,1538,0,1539,1017600,1540,1248000,1540,1248000,1541,1248000,1542,1248000,1543,1248000,1543,2208000,1544,2208000
1627,0,1629,3,1628,5267232,1632,134395,0,1638,5,1639,0,1640,1708800,1640,1708800,1641,1708800,1642,1708800,1642,1708800,1643,1708800,1644,2208000,1644,2208000
1728,0,1730,3,1729,5272192,1733,83997,0,1737,5,1737,0,1738,1248000,1738,1248000,1738,1248000,1739,1248000,1739,1248000,1740,1516800,1740,2208000,1740,2208000
1828,0,1830,3,1829,5278588,1832,83997,0,1838,5,1838,0,1841,1804800,1841,1804800,1842,1804800,1842,1804800,1843,1804800,1843,1804800,1844,2131200,1844,1900800
