Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
19,0,20,3,20,5268452,22,0,0,25,0,25,0,26,1804800,26,1804800,26,1804800,27,1804800,27,1804800,27,1804800,27,2208000,27,2208000
106,0,108,3,107,5262988,110,0,0,113,0,113,0,114,1804800,114,1804800,115,1804800,115,1804800,116,1804800,116,1804800,117,2208000,119,2208000
207,0,208,3,207,5255324,210,0,0,213,0,213,0,214,1804800,214,1804800,214,1804800,215,1804800,215,1804800,215,1804800,215,787200,216,787200
308,0,310,3,309,5254824,317,0,0,322,0,323,0,323,1804800,323,1804800,323,1804800,324,1804800,325,1804800,325,1804800,326,787200,326,787200
409,0,413,3,411,5255832,416,0,0,422,11,423,0,423,1248000,424,1248000,424,1248000,425,1248000,425,1248000,426,1248000,426,787200,426,787200
511,0,516,3,512,5257632,520,184793,162954,528,11,529,0,530,576000,531,576000,531,576000,532,576000,533,576000,533,576000,534,787200,534,787200
611,0,621,3,616,5257884,629,184793,162954,635,11,636,0,636,1612800,636,1612800,637,1612800,637,1612800,637,1612800,638,1612800,638,787200,638,787200
711,0,713,3,712,5258640,715,184793,162954,720,11,720,0,720,1804800,720,1804800,721,1804800,721,1804800,728,1804800,728,1804800,729,787200,729,787200
811,0,812,3,812,5250380,814,184793,162954,816,11,816,0,817,1804800,817,1804800,817,1804800,817,1804800,818,1804800,818,1804800,818,787200,819,787200
912,0,921,3,913,5252804,923,184793,162954,926,0,927,0,927,1516800,928,1516800,928,1516800,928,1516800,929,1516800,929,1516800,929,787200,931,787200
1012,0,1015,3,1014,5253608,1017,0,0,1020,0,1021,0,1022,1804800,1022,1804800,1022,1804800,1023,1804800,1024,1804800,1024,1804800,1025,787200,1025,787200
1114,0,1116,3,1115,5252120,1121,0,0,1128,0,1129,0,1130,576000,1131,576000,1132,576000,1132,576000,1133,576000,1134,1248000,1134,787200,1134,787200
1215,0,1219,3,1217,5252288,1226,0,0,1234,0,1235,0,1236,1248000,1236,1248000,1237,1248000,1238,1248000,1239,1248000,1239,1248000,1239,787200,1239,787200
1321,0,1326,3,1323,5254040,1333,0,0,1343,0,1344,0,1345,1248000,1346,1248000,1346,1248000,1346,1248000,1347,1248000,1348,1248000,1348,787200,1348,787200
1420,0,1424,3,1421,5254088,1431,0,0,1436,0,1437,0,1438,768000,1438,768000,1439,768000,1439,768000,1440,768000,1441,768000,1441,787200,1442,787200
1522,0,1525,3,1523,5254848,1529,0,0,1534,0,1535,0,1536,1017600,1536,1017600,1536,1017600,1537,1017600,1537,1017600,1538,1017600,1538,787200,1538,787200
1623,0,1625,3,1624,5254872,1630,0,0,1645,4,1648,0,1649,576000,1650,576000,1651,576000,1651,576000,1652,576000,1652,576000,1653,787200,1653,787200
1723,0,1726,3,1724,5252076,1732,67197,45358,1739,4,1740,0,1741,768000,1742,768000,1743,768000,1743,768000,1744,768000,1745,768000,1746,1248000,1747,1248000
1824,0,1826,3,1825,5247952,1829,67197,45358,1833,4,1834,0,1834,768000,1835,768000,1835,768000,1836,768000,1836,768000,1836,768000,1837,787200,1837,787200
1925,0,1928,3,1926,5248496,1932,67197,45358,1938,4,1938,0,1939,576000,1940,576000,1940,576000,1941,576000,1942,576000,1943,576000,1943,787200,1944,787200
2026,0,2030,3,2028,5249368,2034,67197,45358,2040,4,2040,0,2041,576000,2042,576000,2043,576000,2044,576000,2045,576000,2046,576000,2046,787200,2047,787200
2127,0,2129,3,2128,5250148,2133,67197,45358,2137,4,2139,0,2139,1017600,2140,1017600,2141,1017600,2142,1017600,2142,1017600,2143,1017600,2143,787200,2144,787200
2229,0,2234,3,2230,5250628,2237,67197,45358,2240,4,2241,0,2242,1248000,2242,1248000,2243,1248000,2243,1248000,2243,1248000,2244,1248000,2244,787200,2244,787200
2329,0,2332,3,2330,5251384,2335,67197,45358,2341,4,2342,0,2343,576000,2344,576000,2345,576000,2346,576000,2347,576000,2348,576000,2348,787200,2349,787200
2430,0,2432,3,2431,5252340,2436,67197,45358,2442,4,2443,0,2444,576000,2444,576000,2445,576000,2446,576000,2446,576000,2447,576000,2448,787200,2448,787200
2531,0,2534,3,2532,5253348,2541,67197,45358,2547,4,2548,0,2549,576000,2549,576000,2550,576000,2551,576000,2552,576000,2553,576000,2554,787200,2554,787200
2631,0,2634,3,2632,5253852,2637,67197,45358,2641,4,2642,0,2643,768000,2643,768000,2644,768000,2644,768000,2645,768000,2645,768000,2646,787200,2646,787200
2731,0,2733,3,2732,5268564,2734,67197,45358,2736,4,2737,0,2737,1804800,2737,1804800,2738,1804800,2738,1804800,2738,1804800,2738,1804800,2739,787200,2739,787200
2832,0,2834,3,2833,5278620,2835,67197,45358,2838,4,2839,0,2839,1516800,2840,1516800,2840,1516800,2840,1516800,2841,1516800,2841,1516800,2841,787200,2841,787200
2933,0,2934,3,2933,5282484,2936,67197,45358,2939,4,2939,0,2940,1804800,2940,1804800,2940,1804800,2941,1804800,2942,1804800,2943,1804800,2943,787200,2943,787200
3033,0,3035,3,3034,5286540,3037,67197,45358,3041,4,3041,0,3042,1804800,3042,1804800,3043,1804800,3043,1804800,3043,1804800,3043,1804800,3044,787200,3044,787200
3134,0,3135,3,3134,5290848,3137,67197,45358,3139,4,3139,0,3139,1804800,3139,1804800,3140,1804800,3140,1804800,3140,1804800,3140,1804800,3140,787200,3141,787200
3235,0,3237,3,3236,5291464,3239,67197,45358,3244,4,3245,0,3245,1017600,3246,1017600,3246,1017600,3247,1017600,3247,1017600,3248,1017600,3248,787200,3248,787200
3335,0,3337,3,3336,5291992,3340,67197,45358,3344,4,3344,0,3344,1804800,3345,1804800,3348,1804800,3349,1804800,3349,1804800,3349,1804800,3349,787200,3350,787200
3436,0,3437,3,3437,5292408,3439,67197,45358,3442,4,3443,0,3443,576000,3444,576000,3444,576000,3444,576000,3445,576000,3445,576000,3445,787200,3446,787200
3537,0,3540,3,3538,5292440,3544,67197,45358,3551,4,3551,0,3552,576000,3553,576000,3554,1248000,3554,1248000,3555,1248000,3555,1248000,3555,787200,3556,787200
3638,0,3640,3,3639,5292668,3643,67197,45358,3648,4,3648,0,3649,768000,3650,768000,3650,768000,3651,768000,3652,768000,3652,768000,3653,787200,3653,787200
3739,0,3741,3,3740,5293424,3745,67197,45358,3749,4,3749,0,3750,1248000,3750,1248000,3751,1248000,3751,1248000,3752,1248000,3752,1248000,3753,787200,3753,787200
3839,0,3842,3,3840,5293528,3847,67197,45358,3851,4,3852,0,3853,1017600,3854,1017600,3854,1017600,3854,1017600,3855,1017600,3855,1017600,3856,787200,3856,787200
3940,0,3942,3,3941,5293828,3944,67197,45358,3947,4,3948,0,3948,1017600,3949,1017600,3949,1017600,3950,1017600,3950,1017600,3950,1017600,3951,787200,3951,787200
4043,0,4046,3,4044,5294584,4049,67197,45358,4054,4,4055,0,4056,1017600,4056,1017600,4057,1017600,4057,1017600,4058,1017600,4058,1017600,4059,787200,4059,787200
4143,0,4145,3,4144,5295844,4147,67197,45358,4151,4,4152,0,4152,1017600,4153,1017600,4153,1017600,4154,1017600,4154,1017600,4154,1017600,4155,787200,4155,787200
4244,0,4247,3,4245,5296664,4250,67197,45358,4254,4,4255,0,4256,768000,4256,768000,4257,768000,4257,768000,4258,768000,4258,768000,4259,787200,4259,787200
4345,0,4350,3,4346,5296880,4353,67197,45358,4357,4,4359,0,4360,1017600,4360,1017600,4361,1017600,4361,1017600,4362,1017600,4362,1017600,4363,787200,4363,787200
4447,0,4452,3,4448,5300496,4456,67197,45358,4463,4,4464,0,4465,1612800,4466,1612800,4467,1612800,4467,1612800,4468,1612800,4469,1612800,4469,787200,4469,787200
4549,0,4550,3,4549,5282744,4552,67197,45358,4555,4,4556,0,4556,576000,4556,576000,4557,576000,4557,576000,4558,576000,4558,576000,4558,787200,4559,787200
4650,0,4653,3,4651,5284112,4658,67197,45358,4663,4,4663,0,4663,1017600,4664,1017600,4664,1017600,4665,1017600,4665,1017600,,,,,,
