Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
26,0,28,3,27,5393944,31,0,0,35,0,36,0,37,1804800,37,1804800,38,1804800,38,1804800,39,1804800,39,1804800,40,2208000,40,2208000
107,0,109,3,108,5397748,110,0,0,114,0,115,0,115,1804800,116,1804800,116,1804800,116,1804800,117,1804800,117,1804800,118,2208000,118,2208000
212,0,217,3,214,5387944,226,0,0,230,0,230,0,230,1248000,231,1248000,231,1248000,231,1248000,232,1248000,232,1248000,232,2208000,233,2208000
312,0,314,3,313,5390016,316,0,0,320,0,320,0,321,1804800,321,1804800,321,1804800,322,1804800,322,1804800,322,1804800,322,787200,323,787200
413,0,415,3,414,5407544,419,0,0,424,0,425,0,425,1708800,426,1708800,427,1708800,427,1708800,428,1708800,428,1708800,428,2208000,429,2208000
514,0,517,3,515,5409448,521,0,0,536,0,537,0,538,1804800,538,1804800,539,1804800,539,1804800,540,1804800,540,1804800,540,2208000,541,2208000
614,0,623,3,616,5414640,640,0,0,644,5,644,0,645,1804800,645,1804800,646,1804800,646,1804800,647,1804800,647,1804800,647,2208000,648,2208000
715,0,717,3,715,5443620,720,83997,63838,729,5,730,0,730,1804800,731,1804800,732,1804800,732,1804800,733,1804800,734,1804800,734,2208000,735,2208000
817,0,820,3,818,5446592,829,83997,63838,837,5,838,0,839,1804800,840,1804800,840,1804800,841,1804800,841,1804800,842,1804800,843,2208000,843,2208000
916,0,918,3,917,5430528,921,83997,63838,927,5,928,0,929,1804800,929,1804800,930,1804800,930,1804800,931,1804800,935,1804800,935,2208000,936,2208000
