Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
28,0,30,3,29,5434608,33,0,0,39,11,39,0,40,1804800,41,1804800,42,1804800,42,1804800,43,1804800,44,1804800,44,2208000,45,2208000
105,0,107,3,106,5441160,110,184793,156235,114,11,115,0,116,1804800,116,1804800,117,1804800,117,1804800,118,1804800,118,1804800,118,2208000,119,2208000
206,0,209,3,207,5460216,217,184793,156235,230,11,231,0,233,1804800,233,1804800,234,1804800,234,1804800,235,1804800,235,1804800,236,2208000,237,2208000
307,0,309,3,308,5458900,311,184793,156235,316,11,317,0,317,1804800,318,1804800,318,1804800,318,1804800,318,1804800,318,1804800,319,2208000,319,2208000
409,0,412,3,410,5457256,418,184793,156235,426,11,427,0,429,1804800,430,1804800,431,1804800,432,1804800,433,1804800,434,1804800,436,2208000,436,2208000
510,0,515,3,512,5456524,522,184793,156235,532,11,532,0,533,1324800,533,1324800,534,1324800,535,1324800,535,1324800,535,1324800,536,787200,536,787200
610,0,613,3,612,5454036,617,184793,156235,622,11,623,0,624,768000,625,768000,626,768000,626,768000,627,768000,627,768000,628,787200,629,787200
710,0,713,3,711,5454748,715,184793,156235,718,11,718,0,718,1804800,719,1804800,719,1804800,719,1804800,719,1804800,720,1804800,720,787200,720,787200
811,0,813,3,812,5455748,816,184793,156235,818,11,818,0,819,1804800,819,1804800,824,1804800,824,1804800,824,1804800,825,1804800,825,787200,825,787200
913,0,914,3,913,5454852,917,184793,156235,921,11,921,0,922,1804800,922,1804800,922,1804800,923,1804800,923,1804800,924,1804800,932,787200,932,787200
