Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
30,0,32,3,31,5342044,34,0,0,38,0,38,0,39,1804800,39,1804800,40,1804800,40,1804800,41,1804800,41,1804800,42,2208000,43,2208000
113,0,115,3,114,5349304,118,0,0,122,0,122,0,123,1804800,123,1804800,123,1804800,124,1804800,124,1804800,124,1804800,125,2208000,125,2208000
214,0,216,3,215,5353632,220,0,0,230,12,231,0,233,1516800,233,1516800,234,1708800,235,1516800,235,1516800,236,1516800,236,2208000,237,2208000
315,0,316,3,315,5358672,319,201592,80291,323,12,323,0,324,1804800,324,1804800,325,1804800,325,1804800,326,1804800,326,1804800,327,2208000,327,2208000
416,0,418,3,417,5363336,423,201592,80291,429,12,430,0,431,1804800,432,1804800,432,1804800,433,1804800,433,1804800,435,1804800,435,2208000,436,2208000
516,0,518,3,517,5370028,521,201592,80291,526,12,527,0,527,1804800,528,1804800,528,1804800,529,1804800,529,1804800,530,1804800,530,2208000,530,2208000
617,0,619,3,618,5377312,623,201592,80291,629,12,630,0,630,1612800,631,1612800,631,1612800,632,1612800,633,1612800,633,1612800,634,2208000,635,2208000
718,0,720,3,718,5383864,722,201592,80291,731,12,731,0,732,1804800,732,1804800,733,1804800,733,1804800,734,1804800,734,1804800,735,2208000,735,2208000
818,0,820,3,819,5387648,823,201592,80291,827,12,828,0,828,1804800,829,1804800,829,1804800,830,1804800,830,1804800,831,1804800,832,2208000,833,2208000
920,0,921,3,920,5392012,925,201592,80291,929,12,930,0,930,1804800,931,1804800,931,1804800,932,1804800,932,1804800,933,1804800,934,2208000,934,2208000
1021,0,1023,3,1022,5392572,1027,201592,80291,1037,12,1038,0,1039,1017600,1039,1017600,1040,1017600,1041,1017600,1041,1017600,1042,1017600,1042,2208000,1043,2208000
1121,0,1123,3,1122,5386952,1128,201592,80291,1138,12,1139,0,1139,1804800,1140,1804800,1140,1804800,1141,1804800,1142,1804800,1142,1804800,1142,2208000,1143,2208000
1222,0,1225,3,1223,5393988,1229,201592,80291,1233,5,1234,0,1235,1804800,1236,1804800,1236,1804800,1237,1804800,1238,1804800,1238,1804800,1239,2208000,1239,2208000
1324,0,1326,3,1325,5395696,1329,83997,0,1336,5,1336,0,1337,1804800,1338,1804800,1339,1804800,1340,1804800,1340,1804800,1341,1804800,1341,2208000,1342,2208000
1425,0,1427,3,1425,5401148,1430,83997,0,1434,5,1435,0,1435,1804800,1436,1804800,1436,1804800,1437,1804800,1437,1804800,1438,1804800,1438,2208000,1438,2208000
1525,0,1527,3,1526,5410020,1530,83997,0,1534,5,1534,0,1535,1248000,1536,1017600,1536,1017600,1537,1017600,1537,1017600,1538,1017600,1538,2208000,1539,2208000
1626,0,1630,3,1627,5409800,1634,83997,0,1639,5,1639,0,1640,768000,1641,768000,1641,768000,1642,768000,1643,768000,1643,768000,1644,1900800,1645,1900800
1727,0,1728,3,1727,5410840,1731,83997,0,1735,5,1735,0,1736,1248000,1736,1248000,1737,1248000,1737,1248000,1738,1248000,1738,1804800,1738,2208000,1739,2208000
1827,0,1828,3,1828,5412644,1831,83997,0,1835,5,1835,0,1836,1612800,1836,1612800,1836,1612800,1837,1612800,1837,1612800,1837,1612800,1838,2208000,1838,2208000
1928,0,1929,3,1928,5410708,1932,83997,0,1936,5,1936,0,1937,1804800,1937,1804800,1938,1804800,1938,1248000,1939,1248000,1939,1248000,1940,2208000,1941,2208000
2029,0,2031,3,2030,5406692,2035,83997,0,2041,5,2042,0,2043,768000,2044,768000,2044,768000,2045,768000,2045,768000,2046,1248000,2046,2208000,2046,2208000
2130,0,2133,3,2131,5409576,2137,83997,0,2142,5,2142,0,2142,1804800,2143,1804800,2143,1804800,2144,1804800,2144,1804800,2145,1804800,2145,2208000,2146,2131200
2230,0,2232,3,2231,5421352,2235,83997,0,2239,5,2240,0,2241,1804800,2241,1804800,2242,1804800,2242,1804800,2243,1804800,2244,1804800,2244,2208000,2245,2208000
2331,0,2332,3,2331,5420488,2335,83997,0,2347,5,2348,0,2349,1804800,2349,1804800,2350,1804800,2350,1804800,2351,1804800,2351,1804800,2352,2208000,2352,2208000
2431,0,2433,3,2432,5422656,2436,83997,0,2442,5,2442,0,2443,768000,2444,768000,2444,768000,2444,768000,2445,768000,2445,768000,2446,1401600,2446,1401600
2532,0,2534,3,2533,5423736,2536,83997,0,2541,5,2542,0,2542,1804800,2543,1804800,2543,1804800,2544,1804800,2544,1804800,2545,1804800,2546,2208000,2546,2208000
2633,0,2635,3,2634,5424500,2638,83997,0,2643,5,2644,0,2645,1017600,2647,1017600,2647,1017600,2648,1017600,2649,1017600,2649,1017600,2650,979200,2650,979200
2733,0,2735,3,2734,5426760,2739,83997,0,2744,5,2745,0,2746,1804800,2747,1804800,2747,1804800,2748,1804800,2749,1804800,2749,1804800,2750,2208000,2750,2208000
2834,0,2836,3,2835,5443312,2842,83997,0,2847,5,2848,0,2848,1804800,2850,1804800,2850,1804800,2852,1804800,2852,1804800,2852,1804800,2853,2208000,2853,2208000
2935,0,2938,3,2936,5460608,2942,83997,0,2971,5,2972,0,2973,1804800,2974,1804800,2975,1804800,2975,1804800,2976,1804800,2976,1804800,2977,2208000,2977,2208000
3036,0,3039,3,3037,5449808,3044,83997,0,3051,5,3052,0,3052,1804800,3053,1804800,3054,1804800,3054,1804800,3055,1804800,3055,1804800,3056,2208000,3057,2208000
3136,0,3138,3,3137,5453668,3141,83997,0,3145,5,3145,0,3146,1804800,3147,1804800,3147,1804800,3148,1804800,3148,1804800,3148,1804800,3149,2208000,3149,2208000
3239,0,3244,3,3239,5437424,3247,83997,0,3255,5,3255,0,3260,1804800,3260,1804800,3261,1804800,3261,1804800,3261,1804800,3261,1804800,3261,2208000,3262,2208000
3340,0,3344,3,3341,5441548,3350,83997,0,3360,6,3360,0,3361,1804800,3362,1804800,3362,1804800,3363,1804800,3364,1804800,3364,1804800,3366,2208000,3366,2208000
3440,0,3443,3,3441,5441460,3446,100796,0,3450,6,3450,0,3451,1612800,3452,1612800,3452,1804800,3453,1804800,3454,1804800,3455,1804800,3455,2208000,3456,1766400
3541,0,3543,3,3542,5445628,3547,100796,0,3551,6,3552,0,3552,1804800,3553,1804800,3553,1804800,3554,1804800,3554,1804800,3555,1804800,3555,2208000,3556,2208000
3643,0,3647,3,3644,5449416,3651,100796,0,3656,6,3660,0,3661,1804800,3663,1804800,3664,1804800,3664,1804800,3665,1804800,3665,1804800,3666,2208000,3666,2208000
3743,0,3744,3,3743,5458964,3746,100796,0,3750,6,3751,0,3751,1804800,3751,1804800,3752,1804800,3752,1804800,3752,1804800,3752,1804800,3753,1555200,3753,1555200
3847,0,3850,3,3848,5453120,3853,100796,0,3857,6,3858,0,3858,1804800,3859,1804800,3859,1804800,3860,1804800,3860,1804800,3861,1804800,3862,2208000,3862,2208000
3948,0,3950,3,3949,5454732,3955,100796,0,3961,6,3962,0,3962,1804800,3963,1804800,3963,1804800,3964,1804800,3964,1804800,3965,1804800,3965,2208000,3966,2208000
4050,0,4052,3,4050,5459348,4057,100796,0,4065,6,4065,0,4067,1804800,4068,1804800,4069,1804800,4069,1804800,4070,1804800,4071,1804800,4071,2073600,4072,2073600
4151,0,4153,3,4152,5454432,4158,100796,0,4165,6,4166,0,4166,1324800,4167,1324800,4167,1324800,4168,1324800,4168,1324800,4169,1324800,4169,2208000,4170,2208000
4250,0,4252,3,4251,5457080,4254,100796,0,4260,6,4260,0,4261,1804800,4261,1804800,4262,1804800,4262,1804800,4263,1804800,4263,1804800,4263,1248000,4264,1248000
4351,0,4351,3,4351,5458912,4352,100796,0,4358,6,4358,0,4358,1804800,4358,1804800,4359,1804800,4359,1804800,4359,1804800,4359,1804800,4359,2208000,4359,2208000
4451,0,4452,3,4452,5458928,4463,100796,0,4465,16,4466,0,4466,1804800,4468,1804800,4469,1804800,4469,1804800,4470,1804800,4470,1804800,4472,2208000,4472,2208000
4553,0,4553,3,4553,5458652,4555,268790,147489,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
