Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
28,0,30,3,29,5298848,33,0,0,38,0,38,0,39,1804800,39,1804800,39,1804800,40,1804800,40,1804800,40,1804800,41,2208000,41,2208000
107,0,109,3,108,5291340,115,0,0,119,0,120,0,120,1804800,121,1804800,122,1804800,122,1804800,123,1804800,123,1804800,124,2208000,124,2208000
208,0,210,3,209,5292552,213,0,0,218,0,218,0,218,1804800,219,1248000,219,1248000,220,1248000,220,1248000,221,1248000,226,2208000,227,2208000
310,0,313,3,311,5300104,316,0,0,321,0,322,0,323,1516800,323,1516800,324,1516800,325,1516800,326,1516800,327,1516800,327,2208000,328,2208000
410,0,412,3,410,5307748,416,0,0,422,0,423,0,425,1804800,427,1804800,427,1804800,428,1804800,429,1804800,429,1804800,430,2208000,431,2208000
510,0,512,3,510,5313080,515,0,0,520,0,521,0,521,1804800,522,1804800,522,1804800,523,1804800,524,1804800,525,1804800,525,2073600,526,2073600
611,0,613,3,612,5325004,616,0,0,628,0,629,0,630,1804800,631,1804800,631,1804800,632,1804800,633,1804800,634,1804800,635,2208000,635,2208000
711,0,713,3,712,5331776,716,0,0,725,18,725,0,726,1708800,727,1804800,729,1804800,730,1804800,731,1804800,731,1804800,731,2208000,732,2208000
813,0,815,3,813,5349040,818,302389,255351,822,18,823,0,824,1804800,827,1804800,828,1804800,833,1804800,833,1804800,834,1804800,834,2073600,835,2073600
913,0,915,3,914,5363392,918,302389,255351,925,18,926,0,927,1804800,927,1804800,928,1804800,929,1804800,929,1804800,929,1804800,930,2208000,930,2208000
1015,0,1016,3,1015,5369692,1022,302389,255351,1025,18,1026,0,1026,1804800,1027,1804800,1027,1804800,1028,1804800,1028,1804800,1029,1804800,1029,1401600,1030,1401600
1116,0,1118,3,1117,5371112,1125,302389,255351,1131,18,1132,0,1133,768000,1134,768000,1135,768000,1136,768000,1137,768000,1137,1017600,1138,1766400,1139,1555200
1217,0,1219,3,1218,5373072,1223,302389,255351,1230,18,1231,0,1232,768000,1233,768000,1234,768000,1234,768000,1235,768000,1236,768000,1237,787200,1238,787200
1317,0,1321,3,1318,5374540,1329,302389,255351,1337,18,1339,0,1339,768000,1341,1248000,1342,1248000,1343,1248000,1344,1248000,1345,1248000,1346,1555200,1346,1555200
1418,0,1420,3,1419,5376500,1424,302389,255351,1429,18,1429,0,1430,1248000,1430,1248000,1431,1248000,1431,1248000,1431,1248000,1432,1248000,1432,1766400,1432,1766400
