Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
74,0,0,3,75,5437476,3,0,0,6,12,7,0,7,1804800,8,1804800,9,1804800,9,1804800,10,1804800,11,1804800,11,2208000,12,2208000
175,0,76,3,176,5440432,79,201592,188153,84,12,85,0,85,1804800,86,1804800,86,1804800,87,1804800,87,1804800,88,1804800,88,2208000,89,2208000
277,0,178,3,277,5448088,184,201592,188153,189,12,190,0,204,1804800,204,1804800,207,1804800,209,1804800,210,1804800,210,1804800,211,2208000,211,2208000
377,0,279,3,378,5452952,285,201592,188153,289,12,290,0,291,1804800,291,1804800,292,1804800,294,1804800,296,1804800,298,1804800,302,2208000,302,2208000
478,0,383,3,479,5459800,388,201592,188153,393,12,393,0,394,1804800,395,1804800,395,1804800,396,1804800,396,1804800,397,1804800,397,2208000,398,2208000
580,0,480,3,580,5456856,483,201592,188153,488,12,488,0,489,1804800,490,1804800,490,1804800,491,1804800,491,1804800,492,1804800,494,2208000,494,2208000
683,0,584,3,684,5459216,593,201592,188153,610,12,610,0,612,1804800,612,1804800,613,1804800,613,1804800,614,1804800,614,1804800,616,2208000,616,2208000
783,0,686,3,784,5461156,693,201592,188153,699,12,699,0,701,1804800,703,1804800,703,1804800,704,1804800,705,1804800,705,1804800,705,2131200,706,2208000
883,0,787,3,884,5459880,794,201592,188153,803,12,804,0,805,1804800,806,1804800,807,1804800,807,1804800,808,1804800,808,1804800,810,2208000,810,2208000
985,0,886,3,985,5459056,892,201592,188153,897,12,898,0,899,1804800,899,1804800,900,1804800,900,1804800,901,1804800,902,1804800,903,2208000,903,2208000
1085,0,987,3,1085,5453492,992,201592,188153,1002,6,1003,0,1004,1804800,1005,1804800,1006,1804800,1006,1804800,1008,1804800,1009,1804800,1010,2208000,1010,2208000
1186,0,1087,3,1186,5457232,1090,100796,87357,1095,6,1096,0,1097,1804800,1097,1804800,1098,1804800,1098,1804800,1099,1804800,1099,1804800,1099,2208000,1100,2208000
1285,0,1188,3,1286,5448868,1192,100796,87357,1199,6,1199,0,1200,1248000,1200,1248000,1201,1248000,1201,1248000,1202,1248000,1202,1248000,1203,2208000,1203,2208000
1387,0,1287,3,1387,5465388,1290,100796,87357,1296,6,1296,0,1297,1804800,1298,1804800,1298,1804800,1299,1804800,1299,1804800,1300,1804800,1301,1766400,1301,1766400
1487,0,1390,3,1487,5443780,1395,100796,87357,1403,6,1404,0,1406,1804800,1406,1804800,1407,1804800,1408,1804800,1408,1804800,1409,1804800,1410,2073600,1411,2073600
1587,0,1489,3,1588,5443152,1493,100796,87357,1499,6,1499,0,1499,1804800,1500,1804800,1501,1804800,1501,1804800,1502,1804800,1502,1804800,1503,2208000,1503,2208000
1687,0,1590,3,1688,5444412,1593,100796,87357,1597,6,1597,0,1598,1804800,1598,1804800,1599,1804800,1599,1804800,1599,1804800,1600,1804800,1600,2208000,1600,2208000
1789,0,1689,3,1790,5447360,1692,100796,87357,1696,6,1696,0,1697,1516800,1698,1516800,1698,1516800,1699,1516800,1699,1516800,1699,1804800,1700,2208000,1700,2208000
1891,0,1791,3,1892,5447320,1796,100796,87357,1801,6,1802,0,1802,1017600,1803,1017600,1803,1017600,1804,1017600,1804,1017600,1805,1248000,1805,787200,1806,787200
1990,0,1894,3,1991,5448856,1897,100796,87357,1902,6,1903,0,1903,1017600,1904,1017600,1904,1248000,1905,1248000,1905,1248000,1907,1248000,1908,787200,1909,787200
2093,0,1992,3,2094,5449612,1998,100796,87357,2002,8,2002,0,2002,1804800,2003,1804800,2003,1804800,2003,1804800,2003,1804800,2004,1804800,2004,787200,2004,787200
2194,0,2096,3,2195,5450644,2100,134395,120956,2107,8,2107,0,2108,1248000,2109,1248000,2109,1248000,2110,1248000,2110,1248000,2111,1248000,2111,787200,2112,787200
2297,0,2197,3,2299,5450920,2203,134395,120956,2209,8,2209,0,2210,1248000,2211,1248000,2211,1248000,2212,1248000,2213,1248000,2213,1248000,2213,787200,2214,787200
2396,0,2301,3,2398,5451640,2307,134395,120956,2314,8,2315,0,2315,768000,2316,768000,2317,768000,2319,768000,2319,768000,2320,768000,2321,787200,2322,787200
2497,0,2401,3,2498,5451664,2407,134395,120956,2419,8,2420,0,2422,576000,2423,576000,2425,1248000,2426,1248000,2426,1248000,2427,1248000,2427,787200,2427,787200
