Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
45,0,47,3,45,5354732,49,0,0,53,0,53,0,54,1804800,54,1804800,54,1804800,55,1804800,55,1804800,55,1804800,55,2208000,56,2208000
113,0,115,3,114,5360580,121,0,0,126,0,127,0,128,1804800,128,1804800,129,1804800,129,1804800,130,1804800,130,1804800,131,2208000,131,2208000
213,0,215,3,214,5372392,219,0,0,225,0,225,0,226,1804800,227,1804800,227,1804800,228,1804800,229,1804800,229,1804800,231,2208000,231,2208000
314,0,317,3,315,5379360,320,0,0,325,0,325,0,326,1804800,326,1804800,327,1804800,328,1804800,328,1804800,329,1804800,329,2208000,330,2208000
417,0,419,3,418,5390508,422,0,0,426,0,427,0,427,1804800,428,1804800,428,1804800,429,1804800,429,1804800,430,1804800,430,2208000,431,2208000
519,0,521,3,519,5401700,525,0,0,531,0,531,0,532,1804800,532,1804800,533,1804800,533,1804800,534,1804800,535,1804800,535,1766400,536,2073600
619,0,621,3,619,5411720,624,0,0,629,0,630,0,631,1248000,631,1248000,632,1248000,632,1804800,633,1804800,633,1804800,634,2208000,634,2208000
719,0,721,3,720,5413200,726,0,0,733,0,734,0,734,1804800,735,1804800,735,1804800,736,1804800,737,1804800,737,1804800,738,2208000,738,2208000
820,0,822,3,821,5418548,827,0,0,832,0,833,0,833,1804800,834,1804800,835,1804800,835,1804800,835,1804800,836,1804800,836,2208000,837,2208000
921,0,926,3,922,5437180,930,0,0,935,9,935,0,936,1804800,938,1804800,939,1804800,941,1804800,942,1804800,943,1804800,943,2208000,944,2208000
1022,0,1023,3,1022,5445480,1027,151194,75597,1058,9,1059,0,1060,1804800,1064,1804800,1068,1804800,1068,1804800,1069,1804800,1070,1804800,1070,2208000,1071,2208000
1125,0,1129,3,1126,5474900,1140,151194,75597,1152,9,1153,0,1156,1804800,1156,1804800,1157,1804800,1157,1804800,1158,1804800,1159,1804800,1161,2208000,1162,2208000
1223,0,1225,3,1224,5452272,1230,151194,75597,1234,9,1235,0,1235,1804800,1236,1804800,1236,1804800,1237,1804800,1237,1804800,1237,1804800,1238,2208000,1238,2208000
1325,0,1328,3,1326,5458660,1334,151194,75597,1342,9,1342,0,1344,1248000,1344,1248000,1345,1248000,1345,1248000,1346,1248000,1346,1248000,1347,2208000,1347,2208000
1430,0,1433,3,1431,5458916,1439,151194,75597,1447,9,1448,0,1449,1804800,1450,1804800,1450,1804800,1450,1804800,1451,1804800,1451,1804800,1452,2208000,1452,2208000
1527,0,1530,3,1528,5457332,1534,151194,75597,1542,9,1543,0,1543,1804800,1544,1804800,1545,1804800,1545,1804800,1546,1804800,1546,1804800,1546,2208000,1547,2208000
1628,0,1630,3,1629,5457992,1635,151194,75597,1640,9,1641,0,1641,1017600,1642,1017600,1642,1017600,1643,1017600,1643,1017600,1644,1017600,1644,787200,1644,787200
1729,0,1731,3,1730,5458936,1734,151194,75597,1737,9,1738,0,1738,1248000,1739,1248000,1739,1248000,1740,1248000,1740,1248000,1741,1248000,1741,787200,1741,787200
1829,0,1831,3,1830,5459156,1836,151194,75597,1842,9,1843,0,1843,1516800,1844,1516800,1845,1516800,1845,1516800,1846,1516800,1846,1516800,1846,787200,1847,787200
1930,0,1932,3,1931,5461708,1935,151194,75597,1939,8,1940,0,1941,1017600,1941,1017600,1942,1017600,1942,1017600,1943,1017600,1943,1017600,1943,787200,1944,787200
2030,0,2033,3,2032,5461936,2036,134395,58798,2042,8,2043,0,2044,1017600,2044,1017600,2045,1017600,2045,1017600,2046,1017600,2046,1017600,2046,787200,2047,787200
2131,0,2133,3,2132,5462692,2137,134395,58798,2143,8,2143,0,2145,1612800,2146,1612800,2147,1612800,2147,1612800,2149,1612800,2149,1612800,2150,787200,2151,787200
2232,0,2233,3,2232,5463700,2235,134395,58798,2238,8,2239,0,2239,1248000,2239,1248000,2240,1248000,2240,1248000,2241,1248000,2241,1248000,2241,787200,2242,787200
2333,0,2336,3,2334,5464456,2341,134395,58798,2349,8,2350,0,2351,768000,2351,768000,2352,768000,2352,1248000,2353,1248000,2353,1248000,2354,787200,2354,787200
2435,0,2439,3,2437,5460924,2444,134395,58798,2451,8,2451,0,2452,1248000,2453,1612800,2453,1612800,2453,1612800,2454,1612800,2454,1612800,2455,787200,2455,787200
2535,0,2538,3,2536,5457488,2542,134395,58798,2549,8,2550,0,2550,768000,2551,768000,2552,768000,2553,1248000,2554,1248000,2554,1248000,2555,787200,2555,787200
2636,0,2639,3,2637,5459252,2642,134395,58798,2648,8,2649,0,2649,1248000,2650,1248000,2650,1248000,2651,1248000,2651,1248000,2651,1248000,2651,787200,2652,787200
2737,0,2740,3,2738,5459504,2744,134395,58798,2749,8,2750,0,2751,768000,2751,768000,2752,768000,2752,1248000,2753,1248000,2753,1248000,2754,787200,2754,787200
2840,0,2845,3,2842,5460008,2851,134395,58798,2856,8,2857,0,2858,768000,2859,768000,2860,768000,2861,768000,2861,768000,2862,768000,2862,787200,2863,787200
2940,0,2942,3,2941,5462528,2946,134395,58798,2955,5,2956,0,2956,1612800,2957,1612800,2958,1612800,2958,1612800,2959,1612800,2959,1612800,2959,787200,2959,787200
3043,0,3045,3,3043,5458668,3052,83997,8400,3059,5,3059,0,3060,1708800,3061,1708800,3061,1708800,3061,1708800,3062,1708800,3062,1708800,3062,787200,3062,787200
3142,0,3145,3,3143,5459652,3148,83997,8400,3153,5,3154,0,3154,1804800,3154,1804800,3155,1804800,3155,1804800,3155,1804800,3156,1804800,3157,787200,3157,787200
3244,0,3246,3,3245,5459584,3250,83997,8400,3255,5,3256,0,3257,1804800,3258,1804800,3258,1804800,3259,1804800,3260,1804800,3262,1804800,3262,787200,3263,787200
3345,0,3347,3,3345,5463112,3349,83997,8400,3352,5,3352,0,3352,1804800,3353,1804800,3353,1804800,3354,1804800,3354,1804800,3354,1804800,3354,787200,3354,787200
3445,0,3447,3,3446,5463364,3451,83997,8400,3458,5,3459,0,3460,1804800,3461,1804800,3461,1804800,3461,1804800,3461,1804800,3462,1804800,3462,787200,3462,787200
3547,0,3550,3,3548,5464172,3557,83997,8400,3562,5,3562,0,3563,1804800,3563,1804800,3563,1804800,3563,1804800,3564,1804800,3565,1804800,3565,787200,3565,787200
3648,0,3650,3,3649,5464228,3653,83997,8400,3658,5,3659,0,3660,1017600,3660,1017600,3660,1017600,3661,1017600,3661,1017600,3662,1017600,3662,787200,3662,787200
3751,0,3756,3,3752,5463720,3763,83997,8400,3773,5,3773,0,3774,1248000,3775,1248000,3775,1248000,3776,1248000,3776,1248000,3777,1248000,3777,787200,3778,787200
3852,0,3856,3,3855,5458040,3858,83997,8400,3863,5,3864,0,3864,1017600,3865,1017600,3865,1017600,3866,1017600,3866,1017600,3866,1017600,3867,787200,3867,787200
3952,0,3956,3,3954,5458072,3959,83997,8400,3963,5,3963,0,3964,1017600,3964,1017600,3965,1017600,3965,1017600,3965,1017600,3966,1017600,3966,787200,3967,787200
4053,0,4061,3,4054,5452032,4064,83997,8400,4067,3,4068,0,4068,1017600,4069,1017600,4069,1017600,4070,1017600,4070,1017600,4071,1017600,4071,1401600,4072,1401600
4154,0,4157,3,4155,5448572,4161,50398,0,4167,3,4168,0,4169,768000,4169,768000,4170,768000,4170,768000,4171,768000,4171,768000,4172,787200,4173,787200
4257,0,4260,3,4258,5449416,4263,50398,0,4266,3,4266,0,4267,1804800,4267,1804800,4267,1804800,4268,1804800,4268,1804800,4268,1804800,4268,787200,4269,787200
4358,0,4359,3,4359,5449260,4362,50398,0,4365,3,4365,0,4365,1804800,4365,1804800,4366,1804800,4366,1804800,4366,1804800,4366,1804800,4367,787200,4367,787200
4459,0,4461,3,4460,5454080,4464,50398,0,4470,3,4470,0,4471,1017600,4472,1017600,4472,1017600,4473,1017600,4473,1017600,4474,1017600,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
