Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
35,0,38,3,36,5303912,41,0,0,45,0,46,0,46,1804800,47,1804800,47,1804800,48,1804800,48,1804800,49,1804800,50,2208000,50,2208000
111,0,113,3,112,5303412,116,0,0,122,0,122,0,123,1804800,124,1804800,124,1804800,125,1804800,127,1804800,128,1804800,129,2208000,130,2208000
212,0,214,3,212,5300560,218,0,0,223,0,224,0,225,1804800,225,1804800,226,1804800,227,1804800,229,1804800,229,1804800,230,2208000,230,2208000
312,0,314,3,313,5306256,319,0,0,325,0,326,0,327,1804800,328,1804800,334,1804800,335,1804800,336,1804800,337,1804800,338,1900800,338,1900800
414,0,416,3,415,5322600,419,0,0,422,0,422,0,423,1804800,423,1804800,424,1804800,424,1804800,424,1804800,424,1804800,425,2208000,425,2208000
516,0,519,3,517,5326764,523,0,0,529,0,530,0,531,1248000,535,1248000,536,1248000,537,1612800,537,1248000,538,1248000,539,2208000,540,2208000
615,0,618,3,616,5331788,622,0,0,640,0,640,0,641,1804800,642,1804800,643,1804800,643,1804800,644,1804800,644,1804800,645,2208000,645,2208000
716,0,718,3,716,5334308,721,0,0,726,0,726,0,727,1804800,728,1804800,728,1804800,729,1804800,729,1804800,730,1804800,730,2208000,731,2208000
816,0,818,3,817,5340388,823,0,0,827,10,828,0,829,1804800,829,1804800,829,1804800,829,1804800,830,1804800,830,1804800,830,2208000,830,2208000
917,0,919,3,917,5342596,922,167994,75598,929,10,930,0,930,1804800,931,1804800,931,1804800,932,1804800,932,1804800,932,1804800,932,1555200,932,1555200
