Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
75,0,76,3,75,5297276,0,0,0,4,0,5,0,5,1804800,6,1804800,6,1804800,7,1804800,7,1804800,8,1804800,8,2208000,9,2208000
176,0,179,3,176,5306464,80,0,0,85,0,85,0,86,1804800,87,1804800,87,1804800,88,1804800,88,1804800,89,1804800,89,2208000,90,2208000
277,0,279,3,278,5303660,183,0,0,191,0,192,0,192,1804800,193,1804800,193,1804800,194,1804800,195,1804800,195,1804800,196,2208000,196,2208000
378,0,380,3,379,5318832,285,0,0,291,0,292,0,292,1804800,293,1804800,293,1804800,293,1804800,294,1804800,294,1804800,294,2208000,295,2208000
478,0,481,3,479,5326080,383,0,0,388,0,389,0,389,1708800,390,1708800,390,1708800,391,1708800,392,1708800,393,1708800,393,1900800,394,1900800
581,0,586,3,583,5326584,483,0,0,487,0,489,0,489,1804800,490,1804800,490,1804800,491,1804800,491,1804800,492,1804800,492,2208000,493,2208000
679,0,681,3,680,5323560,592,0,0,599,0,600,0,601,1248000,602,1248000,602,1248000,603,1248000,605,1248000,606,1248000,607,2131200,608,2131200
780,0,782,3,781,5325592,684,0,0,689,0,690,0,691,1804800,691,1804800,692,1804800,692,1804800,693,1804800,694,1804800,694,1555200,695,1555200
880,0,882,3,881,5324696,785,0,0,790,0,791,0,791,1804800,792,1804800,793,1804800,794,1804800,795,1804800,795,1804800,795,1555200,796,1555200
981,0,982,3,982,5317764,884,0,0,890,0,891,0,892,1804800,893,1804800,893,1804800,894,1804800,894,1804800,894,1804800,895,1900800,895,1900800
1082,0,1085,3,1083,5317900,984,0,0,989,40,990,0,990,1804800,991,1804800,991,1804800,992,1804800,993,1804800,993,1804800,994,1248000,994,1248000
1182,0,1185,3,1183,5318440,1089,671976,550976,1095,40,1095,0,1096,1017600,1096,1017600,1097,1017600,1097,1017600,1098,1017600,1098,1017600,1098,1900800,1099,1900800
