Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
36,0,38,3,37,5293796,41,0,0,46,0,46,0,47,1804800,48,1804800,48,1804800,49,1804800,49,1804800,50,1804800,50,2208000,51,2208000
117,0,119,3,118,5313780,123,0,0,128,0,128,0,129,1804800,130,1804800,130,1804800,131,1804800,131,1804800,132,1804800,132,2208000,133,2208000
217,0,219,3,218,5309288,222,0,0,227,0,228,0,228,1612800,229,1612800,231,1612800,231,1612800,232,1612800,232,1612800,234,2208000,235,2208000
318,0,320,3,319,5314388,324,0,0,330,0,330,0,331,1612800,332,1612800,333,1612800,334,1804800,334,1804800,335,1804800,335,2208000,335,2208000
419,0,420,3,419,5321224,423,0,0,428,0,429,0,430,1804800,431,1804800,431,1804800,432,1804800,432,1804800,433,1804800,434,2208000,434,2208000
522,0,525,3,523,5325992,528,0,0,532,0,533,0,534,1804800,534,1804800,535,1804800,536,1804800,536,1804800,537,1804800,537,1766400,538,1766400
623,0,626,3,624,5337268,629,0,0,635,0,635,0,636,1804800,636,1804800,637,1804800,637,1804800,638,1804800,638,1804800,639,2208000,640,2208000
724,0,726,3,725,5337408,729,0,0,739,0,739,0,740,1804800,741,1804800,741,1804800,742,1804800,742,1804800,743,1804800,744,2208000,744,2208000
826,0,828,3,827,5336260,835,0,0,841,0,842,0,843,1804800,844,1804800,844,1804800,847,1804800,852,1804800,857,1804800,858,2208000,858,2208000
926,0,928,3,927,5345572,933,0,0,939,14,940,0,940,1804800,941,1804800,941,1804800,942,1804800,942,1804800,943,1804800,943,2208000,944,2208000
1027,0,1029,3,1028,5348344,1031,235191,194097,1036,14,1036,0,1037,1612800,1037,1612800,1038,1612800,1039,1612800,1039,1612800,1040,1612800,1040,2208000,1041,2208000
1128,0,1131,3,1128,5350376,1135,235191,194097,1140,14,1141,0,1141,1248000,1141,1248000,1142,1248000,1142,1248000,1142,1248000,1143,1248000,1143,2208000,1143,2208000
1229,0,1232,3,1230,5350752,1236,235191,194097,1243,14,1244,0,1244,1248000,1244,1248000,1245,1248000,1245,1248000,1246,1248000,1246,1248000,1246,787200,1247,787200
1330,0,1334,3,1332,5353492,1337,235191,194097,1341,14,1343,0,1343,1248000,1344,1248000,1344,1248000,1344,1248000,1345,1248000,1346,1248000,1346,787200,1346,787200
1432,0,1435,3,1433,5353936,1439,235191,194097,1444,14,1445,0,1446,768000,1446,768000,1447,768000,1447,768000,1448,768000,1448,768000,1449,787200,1450,787200
1536,0,1538,3,1537,5354944,1542,235191,194097,1547,14,1547,0,1548,1516800,1548,1516800,1549,1516800,1550,1516800,1550,1516800,1557,1804800,1557,787200,1557,787200
1635,0,1640,3,1638,5356236,1642,235191,194097,1645,14,1646,0,1646,1516800,1648,1516800,1648,1516800,1649,1516800,1649,1516800,1649,1516800,1650,787200,1650,787200
1735,0,1737,3,1736,5356244,1740,235191,194097,1745,14,1745,0,1746,1248000,1746,1248000,1747,1248000,1747,1248000,1748,1248000,1748,1248000,1748,787200,1749,787200
1838,0,1842,3,1840,5357480,1847,235191,194097,1854,14,1855,0,1855,1248000,1856,1248000,1856,1248000,1857,1248000,1857,1248000,1858,1248000,1858,787200,1858,787200
1945,0,1947,3,1946,5345892,1948,235191,194097,1952,8,1952,0,1952,1516800,1953,1516800,1953,1708800,1954,1708800,1954,1708800,1954,1708800,1954,787200,1955,787200
2047,0,2051,3,2049,5346144,2055,134395,93301,2060,8,2061,0,2061,1248000,2062,1248000,2062,1248000,2063,1248000,2064,1248000,2064,1248000,2065,787200,2065,787200
2148,0,2153,3,2149,5346204,2159,134395,93301,2167,8,2168,0,2170,576000,2171,576000,2171,576000,2172,576000,2173,576000,2174,1248000,2174,787200,2175,787200
2248,0,2250,3,2249,5346960,2252,134395,93301,2257,8,2257,0,2258,1516800,2258,1516800,2258,1516800,2259,1516800,2259,1516800,2259,1516800,2259,787200,2260,787200
2350,0,2353,3,2351,5347348,2358,134395,93301,2363,8,2363,0,2364,1248000,2364,1248000,2365,1248000,2367,1248000,2367,1248000,2368,1248000,2368,787200,2368,787200
2450,0,2454,3,2452,5347844,2459,134395,93301,2467,8,2469,0,2470,576000,2471,576000,2471,576000,2472,576000,2473,576000,2474,1248000,2474,787200,2475,787200
2551,0,2554,3,2552,5348096,2558,134395,93301,2568,8,2569,0,2570,1017600,2570,1017600,2571,1017600,2571,1017600,2572,1017600,2573,1017600,2573,787200,2573,787200
2652,0,2656,3,2654,5349104,2661,134395,93301,2672,8,2673,0,2674,1248000,2675,1248000,2676,1248000,2676,1248000,2677,1248000,2677,1248000,2678,787200,2678,787200
2754,0,2760,3,2757,5349608,2768,134395,93301,2776,8,2777,0,2778,1248000,2779,1248000,2780,1248000,2781,1248000,2781,1248000,2781,1248000,2782,787200,2782,787200
2854,0,2857,3,2855,5350364,2862,134395,93301,2869,8,2870,0,2871,576000,2872,576000,2873,576000,2874,1248000,2874,1248000,2875,1248000,2875,787200,2875,787200
2955,0,2957,3,2956,5350868,2961,134395,93301,2966,4,2967,0,2967,1248000,2968,1248000,2968,1248000,2968,1248000,2969,1248000,2969,1248000,2970,787200,2970,787200
3056,0,3060,3,3058,5350900,3065,67197,26103,3072,4,3073,0,3074,1248000,3074,1248000,3074,1248000,3075,1248000,3075,1248000,3075,1248000,3076,787200,3076,787200
3158,0,3162,3,3159,5351656,3171,67197,26103,3177,4,3178,0,3178,1248000,3179,1248000,3179,1248000,3179,1248000,3180,1248000,3180,1248000,3180,787200,3181,787200
3259,0,3263,3,3260,5352160,3267,67197,26103,3274,4,3276,0,3277,768000,3277,768000,3280,768000,3280,768000,3281,768000,3282,768000,3282,787200,3283,787200
3361,0,3365,3,3363,5352436,3372,67197,26103,3378,4,3379,0,3380,1248000,3380,1248000,3381,1248000,3381,1248000,3381,1248000,3382,1248000,3382,787200,3382,787200
3465,0,3468,3,3466,5353672,3472,67197,26103,3480,4,3481,0,3482,576000,3483,576000,3484,576000,3484,576000,3486,576000,3486,576000,3487,787200,3488,787200
3566,0,3569,3,3567,5354176,3574,67197,26103,3581,4,3582,0,3583,768000,3583,768000,3584,768000,3585,768000,3585,768000,3586,768000,3587,787200,3588,787200
3667,0,3670,3,3668,5354680,3674,67197,26103,3680,4,3681,0,3682,576000,3683,576000,3684,576000,3684,576000,3685,576000,3686,576000,3686,787200,3687,787200
3768,0,3771,3,3769,5355720,3775,67197,26103,3785,4,3786,0,3787,576000,3788,576000,3788,576000,3790,576000,3791,576000,3792,576000,3792,787200,3793,787200
3877,0,3881,3,3878,5356484,3886,67197,26103,3894,4,3895,0,3895,1248000,3896,1248000,3896,1248000,3896,1248000,3897,1248000,3898,1248000,3898,787200,3899,787200
3970,0,3972,3,3971,5357272,3979,67197,26103,3989,4,3990,0,3992,768000,3993,768000,3994,1248000,3994,1248000,3995,1248000,3995,1248000,3995,787200,3996,787200
4074,0,4078,3,4075,5357776,4085,67197,26103,4098,4,4099,0,4100,1248000,4100,1248000,4101,1248000,4101,1248000,4102,1248000,4102,1248000,4102,787200,4103,787200
4173,0,4176,3,4174,5359036,4180,67197,26103,4189,4,4190,0,4190,768000,4191,768000,4192,768000,4192,768000,4193,768000,4193,1248000,4194,787200,4194,787200
4274,0,4277,3,4275,5359792,4281,67197,26103,4290,4,4290,0,4291,1804800,4294,1708800,4294,1708800,4295,1708800,4295,1708800,4295,1708800,4295,2208000,4295,2208000
4376,0,4378,3,4377,5361808,4380,67197,26103,4388,4,4389,0,4389,1804800,4390,1804800,4390,1804800,4390,1804800,4390,1804800,4391,1804800,4391,787200,4391,787200
4476,0,4477,3,4476,5361728,4479,67197,26103,4482,4,4482,0,4483,576000,4483,576000,4483,576000,4484,576000,4484,576000,4484,576000,4485,787200,4485,787200
4579,0,4583,3,4581,5362116,4587,67197,26103,4595,4,4595,0,4596,1804800,4596,1804800,4596,1804800,4597,1804800,4597,1804800,4597,1804800,4598,787200,4598,787200
4677,0,4679,3,4678,5363044,4683,67197,26103,4687,4,4687,0,4688,1804800,4688,1804800,,,,,,,,,,,,
