Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
34,0,37,3,35,5343732,40,201592,162954,44,12,45,0,45,1804800,46,1804800,47,1804800,47,1804800,48,1804800,48,1804800,49,2208000,49,2208000
113,0,115,3,113,5348968,118,201592,162954,123,12,125,0,126,1804800,126,1804800,127,1804800,127,1804800,128,1804800,130,1804800,131,2208000,132,2208000
214,0,216,3,214,5349316,219,201592,162954,226,12,227,0,228,1804800,229,1804800,230,1804800,230,1804800,232,1804800,233,1804800,234,2208000,234,2208000
314,0,317,3,315,5348176,320,201592,162954,324,12,325,0,325,1804800,326,1804800,326,1804800,327,1804800,327,1804800,328,1804800,328,2208000,329,2208000
418,0,420,3,418,5358524,423,201592,162954,429,12,430,0,430,1248000,431,1248000,431,1248000,432,1248000,433,1248000,433,1612800,434,2208000,434,2208000
518,0,520,3,519,5366060,523,201592,162954,528,12,528,0,529,1248000,529,1248000,530,1804800,530,1804800,530,1804800,531,1804800,531,2208000,532,2208000
619,0,621,3,619,5368460,624,201592,162954,630,12,631,0,631,1804800,633,1804800,633,1804800,634,1804800,634,1804800,635,1804800,635,2208000,636,2208000
720,0,722,3,720,5372744,724,201592,162954,729,12,730,0,730,1804800,731,1804800,732,1804800,732,1804800,733,1804800,733,1804800,734,2208000,735,2208000
821,0,823,3,822,5383168,825,201592,162954,830,12,831,0,831,1804800,832,1804800,833,1804800,833,1804800,834,1804800,834,1804800,835,2208000,835,2208000
925,0,928,3,926,5392048,936,480795,442157,944,28,945,0,946,1804800,947,1804800,947,1804800,948,1804800,949,1804800,949,1804800,950,2208000,951,2208000
1023,0,1026,3,1024,5398288,1029,1121855,1083217,1033,28,1034,0,1034,1804800,1035,1804800,1036,1804800,1036,1804800,1036,1804800,1037,1804800,1038,2208000,1038,2208000
1123,0,1126,3,1124,5401816,1130,1121855,1083217,1136,28,1136,0,1137,1248000,1138,1248000,1139,1248000,1139,1248000,1140,1248000,1140,1248000,1141,2208000,1141,2208000
1224,0,1226,3,1225,5405208,1230,1121855,1083217,1236,28,1237,0,1238,1017600,1238,1017600,1239,1017600,1239,1017600,1240,1017600,1240,1017600,1241,2208000,1241,2208000
1325,0,1327,3,1326,5405492,1331,1121855,1083217,1339,28,1340,0,1340,1017600,1341,1017600,1342,1017600,1342,1017600,1343,1017600,1343,1017600,1344,787200,1344,787200
1427,0,1431,3,1428,5406132,1434,1121855,1083217,1440,28,1441,0,1442,1017600,1442,1017600,1443,1017600,1444,1017600,1444,1017600,1444,1017600,1445,787200,1445,787200
1528,0,1530,3,1529,5406604,1533,1121855,1083217,1537,28,1538,0,1538,1248000,1539,1248000,1539,1248000,1539,1248000,1540,1248000,1540,1248000,1540,787200,1541,787200
1629,0,1633,3,1631,5407440,1638,1121855,1083217,1644,28,1646,0,1647,1248000,1648,1248000,1648,1248000,1648,1248000,1649,1248000,1649,1248000,1649,787200,1650,787200
1729,0,1730,3,1729,5411472,1732,813404,774766,1738,28,1739,0,1741,1804800,1742,1804800,1743,1804800,1744,1804800,1745,1804800,1746,1804800,1746,787200,1746,787200
1830,0,1832,3,1830,5413796,1836,813404,774766,1842,28,1843,0,1843,1248000,1844,1248000,1844,1248000,1844,1248000,1845,1248000,1845,1248000,1846,787200,1846,787200
1932,0,1935,3,1933,5414064,1941,813404,774766,1950,28,1951,0,1952,576000,1954,1248000,1955,1248000,1955,1248000,1956,1248000,1956,1248000,1957,787200,1957,787200
2032,0,2036,3,2034,5414796,2041,470383,431745,2050,10,2050,0,2051,576000,2052,576000,2053,576000,2054,1248000,2054,1248000,2055,1248000,2055,787200,2055,787200
2134,0,2136,3,2135,5415852,2140,167994,129356,2147,10,2148,0,2149,768000,2149,768000,2150,768000,2151,768000,2151,768000,2154,1248000,2154,787200,2155,787200
2236,0,2238,3,2237,5416860,2242,167994,129356,2254,10,2254,0,2254,1324800,2255,1324800,2255,1324800,2255,1324800,2256,1324800,2256,1324800,2256,787200,2257,787200
2334,0,2337,3,2335,5417804,2341,167994,129356,2346,10,2347,0,2347,1248000,2348,1248000,2348,1248000,2348,1248000,2349,1248000,2349,1248000,2349,787200,2349,787200
2435,0,2438,3,2436,5418860,2442,167994,129356,2447,10,2448,0,2449,768000,2449,768000,2450,768000,2451,768000,2451,768000,2452,768000,2452,787200,2453,787200
2536,0,2538,3,2537,5419372,2542,167994,129356,2546,10,2547,0,2547,1017600,2548,1017600,2548,1017600,2549,1017600,2549,1017600,2550,1017600,2550,787200,2550,787200
2639,0,2642,3,2640,5420908,2647,167994,129356,2654,10,2654,0,2655,1248000,2655,1248000,2656,1248000,2656,1248000,2657,1248000,2658,1248000,2658,787200,2659,787200
2738,0,2741,3,2739,5421168,2745,167994,129356,2752,10,2752,0,2753,576000,2754,1248000,2754,1248000,2755,1248000,2755,1248000,2755,1248000,2756,787200,2756,787200
2841,0,2844,3,2842,5421788,2847,167994,129356,2853,10,2854,0,2854,1248000,2855,1248000,2855,1248000,2856,1248000,2856,1248000,2856,1248000,2856,787200,2857,787200
2942,0,2945,3,2944,5422576,2958,167994,129356,2966,4,2966,0,2967,1248000,2967,1248000,2968,1248000,2968,1248000,2969,1248000,2969,1248000,2970,787200,2970,787200
3044,0,3049,3,3045,5425036,3053,67197,28559,3059,4,3060,0,3060,1017600,3061,1017600,3063,1017600,3063,1017600,3064,1017600,3065,1017600,3066,787200,3067,787200
3144,0,3147,3,3146,5425572,3155,67197,28559,3161,4,3162,0,3162,768000,3163,768000,3164,768000,3164,768000,3165,768000,3166,768000,3166,787200,3167,787200
3244,0,3247,3,3246,5427344,3252,67197,28559,3259,4,3260,0,3261,576000,3262,576000,3263,576000,3264,576000,3266,576000,3267,576000,3267,787200,3268,787200
3346,0,3349,3,3347,5428068,3354,67197,28559,3360,4,3361,0,3362,768000,3362,768000,3363,768000,3364,768000,3364,768000,3365,768000,3365,787200,3366,787200
3446,0,3448,3,3447,5428620,3451,67197,28559,3458,4,3458,0,3459,1248000,3460,1248000,3460,1248000,3461,1248000,3461,1248000,3462,1248000,3462,787200,3462,787200
3547,0,3549,3,3548,5429320,3552,67197,28559,3555,4,3556,0,3556,1017600,3557,1017600,3558,1017600,3558,1017600,3559,1017600,3559,1017600,3560,787200,3560,787200
3648,0,3652,3,3650,5430612,3656,67197,28559,3663,4,3664,0,3664,576000,3665,576000,3666,576000,3667,576000,3667,576000,3668,576000,3668,787200,3669,787200
3748,0,3753,3,3751,5431644,3756,67197,28559,3761,4,3762,0,3762,1017600,3763,1017600,3763,1017600,3764,1017600,3764,1017600,3765,1017600,3765,787200,3765,787200
3849,0,3852,3,3850,5432636,3854,67197,28559,3861,4,3862,0,3862,768000,3863,768000,3864,768000,3866,768000,3867,768000,3868,768000,3868,787200,3870,787200
3951,0,3955,3,3953,5435684,3958,67197,28559,3966,4,3967,0,3968,576000,3969,576000,3970,576000,3971,576000,3971,576000,3972,576000,3972,787200,3973,787200
4051,0,4054,3,4052,5436408,4059,67197,28559,4074,4,4075,0,4080,1248000,4080,1248000,4081,1248000,4081,1248000,4082,1248000,4082,1248000,4082,787200,4083,787200
4151,0,4153,3,4152,5447092,4157,67197,28559,4162,4,4163,0,4163,1804800,4170,1804800,4170,1804800,4171,1804800,4171,1804800,4171,1804800,4171,1248000,4171,1248000
4252,0,4254,3,4252,5432556,4256,67197,28559,4260,4,4261,0,4261,1804800,4262,1804800,4262,1804800,4262,1804800,4262,1804800,4263,1804800,4263,787200,4263,787200
4353,0,4354,3,4353,5430916,4356,67197,28559,4359,4,4360,0,4361,1804800,4362,1804800,4364,1804800,4364,1804800,4364,1804800,4365,1804800,4365,2073600,4366,2073600
4454,0,4455,3,4454,5438076,4456,67197,28559,4459,4,4459,0,4459,1804800,4460,1804800,4460,1804800,4460,1804800,4460,1804800,4460,1804800,4461,1036800,4461,1036800
4554,0,4556,3,4555,5442064,4560,67197,28559,4564,4,4564,0,4565,1804800,4565,1804800,4565,1804800,4565,1804800,4565,1804800,4566,1804800,,,,
