Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
28,0,30,3,29,5330008,31,0,0,34,0,34,0,35,1804800,35,1804800,36,1804800,36,1804800,37,1804800,37,1804800,38,2208000,38,2208000
111,0,113,3,112,5342088,115,0,0,118,0,119,0,119,1804800,119,1804800,120,1804800,120,1804800,121,1804800,121,1804800,122,2208000,122,2208000
212,0,214,3,213,5332512,222,0,0,227,0,227,0,228,1017600,228,1248000,229,1248000,229,1248000,230,1248000,230,1248000,230,787200,231,787200
312,0,314,3,313,5333836,315,0,0,319,0,319,0,319,1804800,320,1804800,320,1804800,320,1804800,321,1804800,321,1804800,321,787200,321,787200
414,0,416,3,415,5334844,420,0,0,424,0,424,0,425,1248000,425,1248000,426,1248000,426,1248000,426,1248000,427,1248000,427,787200,428,787200
514,0,517,3,515,5335884,521,0,0,527,0,528,0,529,1248000,529,1248000,530,1248000,530,1248000,530,1248000,531,1248000,531,787200,531,787200
618,0,623,3,620,5334144,627,0,0,637,0,637,0,638,1017600,639,1017600,639,1017600,640,1017600,640,1017600,641,1017600,641,787200,643,787200
717,0,718,3,717,5335688,722,0,0,727,0,727,0,728,1516800,728,1516800,728,1516800,729,1516800,729,1804800,729,1804800,729,787200,730,787200
818,0,819,3,818,5336476,821,0,0,823,7,824,0,824,1804800,825,1804800,825,1804800,825,1804800,825,1804800,826,1804800,826,787200,826,787200
919,0,920,3,919,5329420,922,117595,45358,924,7,925,0,925,1804800,926,1804800,927,1804800,927,1804800,927,1804800,927,1804800,928,787200,928,787200
1019,0,1021,3,1020,5330956,1023,117595,45358,1026,7,1027,0,1027,1248000,1028,1248000,1028,1248000,1029,1248000,1029,1248000,1029,1248000,1029,787200,1030,787200
1121,0,1125,3,1123,5332192,1130,117595,45358,1137,7,1138,0,1139,576000,1139,576000,1140,576000,1141,576000,1141,576000,1142,576000,1143,787200,1143,787200
1222,0,1225,3,1223,5332208,1231,117595,45358,1239,7,1240,0,1241,768000,1242,768000,1242,768000,1243,768000,1244,768000,1245,768000,1246,787200,1246,787200
1323,0,1326,3,1324,5332356,1330,117595,45358,1338,7,1339,0,1340,1017600,1341,1017600,1341,1017600,1342,1017600,1343,1017600,1344,1017600,1344,787200,1344,787200
1423,0,1426,3,1424,5332676,1430,117595,45358,1439,7,1440,0,1440,1017600,1441,1017600,1441,1017600,1441,1017600,1442,1017600,1443,1017600,1443,787200,1444,787200
1525,0,1531,3,1529,5333204,1536,117595,45358,1541,7,1541,0,1542,1248000,1542,1248000,1542,1248000,1543,1248000,1543,1248000,1543,1248000,1544,787200,1544,787200
1626,0,1630,3,1628,5333484,1635,117595,45358,1642,7,1643,0,1643,768000,1644,768000,1645,768000,1645,768000,1646,768000,1646,768000,1647,787200,1648,787200
1731,0,1736,3,1733,5333760,1741,117595,45358,1747,7,1748,0,1749,1248000,1750,1248000,1751,1248000,1751,1248000,1752,1248000,1752,1248000,1752,787200,1753,787200
1828,0,1831,3,1829,5334784,1838,117595,45358,1844,7,1845,0,1846,576000,1847,576000,1848,576000,1849,1248000,1849,1248000,1850,1248000,1850,787200,1850,787200
1929,0,1934,3,1930,5334784,1939,117595,45358,1946,4,1947,0,1948,576000,1949,1248000,1949,1248000,1950,1248000,1950,1248000,1951,1248000,1951,787200,1951,787200
2030,0,2033,3,2031,5335584,2040,67197,0,2047,4,2049,0,2050,1516800,2051,1516800,2052,1516800,2053,1516800,2054,1516800,2054,1516800,2054,787200,2055,787200
2132,0,2135,3,2133,5335836,2141,67197,0,2147,4,2149,0,2149,1248000,2150,1248000,2150,1248000,2151,1248000,2152,1248000,2152,1248000,2152,787200,2153,787200
2238,0,2242,3,2239,5335584,2247,67197,0,2254,4,2255,0,2256,1248000,2256,1248000,2257,1248000,2257,1248000,2258,1248000,2258,1248000,2258,787200,2258,787200
2338,0,2340,3,2339,5336340,2345,67197,0,2351,4,2352,0,2353,1248000,2354,1248000,2354,1248000,2354,1248000,2355,1248000,2355,1248000,2356,787200,2356,787200
2440,0,2443,3,2441,5336820,2448,67197,0,2454,4,2455,0,2456,768000,2456,768000,2457,768000,2457,768000,2458,768000,2458,768000,2459,787200,2459,787200
2541,0,2546,3,2543,5337828,2551,67197,0,2559,4,2559,0,2560,768000,2561,768000,2562,768000,2563,768000,2563,768000,2564,768000,2565,787200,2565,787200
2642,0,2646,3,2644,5339088,2652,67197,0,2658,4,2658,0,2659,1017600,2660,1017600,2660,1017600,2661,1017600,2662,1017600,2662,1017600,2663,787200,2663,787200
2742,0,2750,3,2743,5339876,2759,67197,0,2765,4,2765,0,2766,1017600,2766,1017600,2767,1017600,2767,1017600,2768,1017600,2768,1017600,2768,787200,2769,787200
2843,0,2847,3,2844,5348972,2850,67197,0,2858,4,2859,0,2860,1804800,2860,1804800,2860,1804800,2861,1804800,2861,1804800,2861,1804800,2861,787200,2862,787200
2944,0,2946,3,2945,5343524,2947,67197,0,2951,5,2951,0,2952,1804800,2952,1804800,2953,1804800,2953,1804800,2953,1804800,2953,1804800,2954,787200,2954,787200
3045,0,3047,3,3046,5342520,3049,83997,11760,3052,5,3053,0,3053,1804800,3054,1804800,3054,1804800,3054,1804800,3054,1804800,3055,1804800,3055,787200,3055,787200
3145,0,3147,3,3146,5336184,3151,83997,11760,3155,5,3155,0,3156,1248000,3157,1248000,3157,1248000,3157,1248000,3158,1248000,3161,1248000,3161,787200,3161,787200
3246,0,3248,3,3247,5334832,3252,83997,11760,3256,5,3257,0,3257,1017600,3258,1017600,3258,1017600,3259,1017600,3259,1017600,3259,1017600,3260,787200,3260,787200
3348,0,3353,3,3350,5334724,3358,83997,11760,3366,5,3367,0,3368,576000,3369,1248000,3369,1248000,3370,1248000,3370,1248000,3370,1248000,3371,787200,3371,787200
3451,0,3454,3,3453,5335228,3458,83997,11760,3464,5,3464,0,3465,768000,3465,768000,3466,768000,3467,768000,3467,768000,3468,768000,3469,787200,3469,787200
3553,0,3558,3,3555,5335824,3565,83997,11760,3573,5,3574,0,3574,1248000,3575,1248000,3576,1248000,3577,1248000,3577,1248000,3578,1248000,3578,787200,3579,787200
3655,0,3659,3,3656,5335824,3665,83997,11760,3671,5,3672,0,3673,1248000,3674,1248000,3674,1248000,3675,1248000,3675,1248000,3675,1248000,3676,787200,3677,787200
3754,0,3757,3,3756,5336100,3761,83997,11760,3767,5,3768,0,3769,1248000,3770,1248000,3771,1248000,3771,1248000,3771,1248000,3772,1248000,3772,787200,3773,787200
3856,0,3859,3,3857,5335816,3863,83997,11760,3870,5,3871,0,3872,576000,3873,576000,3873,576000,3874,576000,3874,576000,3875,576000,3875,787200,3876,787200
3956,0,3959,3,3957,5331920,3963,83997,11760,3970,5,3970,0,3971,1248000,3971,1248000,3972,1248000,3972,1248000,3973,1248000,3973,1248000,3974,1248000,3974,1248000
4057,0,4060,3,4058,5326916,4064,83997,11760,4069,4,4070,0,4070,1248000,4071,1248000,4071,1248000,4071,1248000,4072,1248000,4072,1248000,4072,787200,4073,787200
4158,0,4162,3,4160,5327248,4167,67197,0,4173,4,4173,0,4174,1248000,4174,1248000,4175,1248000,4175,1248000,4176,1248000,4176,1248000,4176,787200,4177,787200
4258,0,4261,3,4259,5328792,4263,67197,0,4269,4,4270,0,4270,1804800,4271,1804800,4271,1804800,4271,1804800,4272,1804800,4272,1804800,4273,2208000,4273,2208000
4359,0,4360,3,4359,5329724,4363,67197,0,4366,4,4367,0,4368,1804800,4368,1804800,4369,1804800,4369,1804800,4369,1804800,4370,1804800,4370,787200,4370,787200
4459,0,,,4460,5333820,,,,,,,,,,,,,,,,,,,,,,,
