Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
26,0,28,3,27,5444112,31,0,0,36,0,36,0,37,1804800,37,1804800,38,1804800,39,1804800,39,1804800,40,1804800,40,2208000,41,2208000
107,0,110,3,108,5447136,115,0,0,124,0,125,0,127,1804800,128,1804800,130,1804800,131,1804800,131,1804800,132,1804800,133,2208000,134,2208000
210,0,214,3,212,5430768,234,0,0,243,0,243,0,245,1804800,245,1804800,246,1804800,247,1804800,248,1804800,249,1804800,250,2208000,251,2208000
310,0,313,3,311,5436492,317,0,0,321,0,322,0,323,1804800,323,1804800,324,1804800,326,1804800,326,1804800,326,1804800,327,2208000,328,2208000
412,0,414,3,413,5442228,419,0,0,425,0,426,0,426,1516800,427,1516800,428,1516800,428,1612800,429,1612800,430,1612800,430,2208000,431,2208000
515,0,519,3,516,5442556,525,0,0,533,0,534,0,536,1516800,537,1516800,538,1516800,539,1516800,541,1516800,542,1516800,544,1248000,544,1248000
615,0,619,3,618,5441768,625,0,0,631,0,632,0,633,1804800,634,1804800,635,1804800,636,1804800,637,1804800,638,1804800,638,2208000,639,2208000
717,0,722,3,718,5441328,730,0,0,737,0,738,0,739,1804800,740,1804800,740,1804800,741,1804800,741,1804800,742,1804800,743,2208000,744,2208000
823,0,826,3,824,5442980,834,0,0,846,5,846,0,848,1804800,849,1804800,851,1804800,852,1804800,853,1804800,854,1804800,856,2208000,857,2208000
922,0,933,3,923,5445144,943,83997,78958,951,5,952,0,956,1804800,957,1804800,957,1804800,958,1804800,959,1804800,959,1804800,961,2208000,961,2208000
1026,0,1029,3,1027,5442312,1034,83997,78958,1044,5,1045,0,1046,1804800,1047,1804800,1049,1804800,1050,1804800,1051,1804800,1052,1804800,1053,2208000,1054,2208000
1124,0,1126,3,1124,5438336,1129,83997,78958,1133,5,1134,0,1134,1804800,1135,1804800,1135,1804800,1135,1804800,1136,1804800,1136,1804800,1137,2208000,1137,2208000
1227,0,1232,3,1229,5438672,1238,83997,78958,1246,5,1247,0,1248,768000,1248,1248000,1249,1248000,1250,1248000,1250,1248000,1250,1248000,1251,787200,1251,787200
1327,0,1330,3,1328,5438404,1334,83997,78958,1341,5,1342,0,1343,768000,1344,768000,1345,768000,1346,768000,1346,768000,1347,768000,1348,787200,1349,787200
1428,0,1433,3,1430,5438672,1439,83997,78958,1449,5,1450,0,1451,1248000,1451,1248000,1452,1248000,1453,1248000,1453,1248000,1454,1248000,1456,787200,1457,787200
1529,0,1532,3,1530,5439656,1536,83997,78958,1544,5,1545,0,1546,768000,1547,768000,1548,768000,1549,1248000,1549,1248000,1550,1248000,1550,787200,1551,787200
