Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
25,0,27,3,26,5243252,30,0,0,36,0,36,0,37,1804800,37,1804800,38,1804800,38,1804800,38,1804800,38,1804800,39,2208000,39,2208000
107,0,108,3,107,5240796,110,0,0,112,0,112,0,114,1804800,115,1804800,115,1804800,115,1804800,116,1804800,116,1804800,118,2208000,119,2208000
208,0,210,3,209,5242056,213,0,0,219,4,219,0,220,1017600,220,1017600,221,1017600,222,1017600,222,1017600,223,1017600,223,787200,224,787200
308,0,310,3,309,5242852,311,67197,35279,315,4,315,0,316,1612800,316,1612800,319,1612800,320,1612800,320,1612800,321,1612800,321,787200,321,787200
410,0,413,3,411,5246568,418,67197,35279,433,4,433,0,434,1248000,435,1248000,436,1248000,438,1248000,439,1248000,440,1248000,441,2208000,442,2208000
511,0,515,3,513,5250616,519,67197,35279,532,4,533,0,533,1804800,534,1804800,535,1804800,535,1804800,536,1804800,536,1804800,537,2208000,538,2208000
610,0,612,3,611,5257940,615,67197,35279,623,4,625,0,625,1516800,627,1516800,631,1516800,632,1516800,633,1804800,633,1804800,634,787200,634,787200
711,0,714,3,712,5269540,717,67197,35279,722,4,722,0,723,1804800,724,1804800,724,1516800,725,1804800,741,1804800,742,1804800,743,2208000,743,2208000
813,0,815,3,814,5278108,820,67197,35279,833,0,833,0,834,1804800,834,1804800,835,1804800,835,1804800,836,1804800,836,1804800,837,2208000,837,2208000
912,0,914,3,913,5286864,917,0,0,925,0,926,0,927,1804800,927,1804800,928,1804800,929,1804800,929,1804800,930,1804800,930,1036800,931,1036800
1012,0,1015,3,1013,5332752,1018,0,0,1023,0,1023,0,1024,1804800,1026,1804800,1026,1804800,1027,1804800,1027,1804800,1028,1804800,1028,2208000,1029,2208000
1113,0,1115,3,1114,5339724,1121,0,0,1124,0,1125,0,1136,1804800,1136,1804800,1137,1804800,1137,1804800,1138,1804800,1138,1804800,1138,2208000,1139,2208000
1214,0,1217,3,1215,5350016,1220,0,0,1229,0,1230,0,1231,1804800,1231,1804800,1232,1804800,1232,1804800,1233,1804800,1233,1804800,1234,2208000,1234,2208000
1314,0,1318,3,1315,5352284,1321,0,0,1327,9,1328,0,1328,1248000,1329,1248000,1329,1248000,1331,1248000,1331,1248000,1332,1248000,1333,2208000,1333,2208000
1415,0,1417,3,1416,5369124,1420,360596,328678,1425,9,1426,0,1426,1516800,1427,1516800,1427,1516800,1427,1516800,1427,1516800,1428,1516800,1428,2208000,1428,2208000
1517,0,1520,3,1518,5374048,1523,360596,328678,1528,9,1530,0,1531,768000,1531,768000,1532,768000,1534,1248000,1534,1248000,1535,1248000,1535,2208000,1535,2208000
1621,0,1626,3,1623,5375724,1633,360596,328678,1640,9,1640,0,1641,1248000,1642,1248000,1643,1248000,1643,1248000,1644,1248000,1644,1248000,1645,1401600,1646,1401600
1719,0,1721,3,1720,5398256,1724,360596,328678,1729,9,1730,0,1731,768000,1732,768000,1732,768000,1733,768000,1734,768000,1734,768000,1734,2208000,1735,2208000
1819,0,1822,3,1821,5385176,1826,360596,328678,1831,9,1832,0,1833,768000,1833,768000,1834,768000,1835,768000,1835,768000,1836,768000,1837,2208000,1839,2208000
1921,0,1923,3,1922,5375628,1927,360596,328678,1931,9,1931,0,1932,1804800,1932,1804800,1933,1804800,1933,1804800,1933,1804800,1934,1804800,1934,979200,1934,979200
2022,0,2026,3,2024,5377380,2032,360596,328678,2042,9,2043,0,2044,768000,2045,768000,2046,768000,2047,768000,2048,768000,2050,768000,2050,1248000,2051,1248000
2124,0,2128,3,2125,5380812,2134,360596,328678,2143,9,2145,0,2146,768000,2147,768000,2149,768000,2150,768000,2151,768000,2151,768000,2152,2073600,2153,2073600
2224,0,2227,3,2225,5384088,2233,261451,229533,2241,9,2242,0,2243,768000,2244,768000,2245,768000,2245,768000,2246,768000,2247,768000,2248,2073600,2249,2073600
2325,0,2328,3,2326,5384372,2332,261451,229533,2336,9,2337,0,2338,768000,2338,768000,2339,768000,2339,768000,2339,768000,2340,768000,2340,787200,2341,787200
2425,0,2427,3,2426,5384852,2432,151194,119276,2437,9,2437,0,2438,768000,2438,768000,2439,768000,2439,768000,2440,768000,2440,768000,2441,787200,2441,787200
2526,0,2530,3,2527,5385072,2534,151194,119276,2540,4,2541,0,2541,576000,2542,576000,2543,576000,2543,576000,2544,576000,2544,576000,2545,787200,2546,787200
2627,0,2632,3,2630,5385608,2636,67197,35279,2642,4,2642,0,2643,576000,2644,576000,2644,576000,2645,576000,2646,576000,2646,576000,2647,787200,2647,787200
2728,0,2731,3,2729,5386560,2734,67197,35279,2738,4,2740,0,2741,768000,2741,768000,2742,768000,2742,768000,2743,768000,2743,768000,2743,787200,2744,787200
2829,0,2834,3,2832,5387316,2838,67197,35279,2844,4,2845,0,2846,576000,2847,576000,2848,576000,2849,576000,2849,576000,2850,576000,2851,787200,2851,787200
2929,0,2932,3,2930,5388104,2937,67197,35279,2943,4,2943,0,2944,1017600,2944,1017600,2945,1017600,2945,1017600,2945,1017600,2946,1017600,2946,979200,2947,979200
3030,0,3033,3,3031,5388612,3037,67197,35279,3043,4,3043,0,3044,768000,3045,768000,3046,768000,3047,768000,3048,768000,3048,768000,3049,1248000,3049,1248000
3131,0,3133,3,3132,5391636,3137,67197,35279,3142,4,3143,0,3143,768000,3144,768000,3145,768000,3146,768000,3146,768000,3147,768000,3147,2208000,3148,2208000
3232,0,3235,3,3234,5393156,3238,67197,35279,3244,4,3245,0,3246,768000,3246,768000,3247,768000,3247,768000,3248,768000,3248,768000,3249,787200,3249,787200
3333,0,3336,3,3334,5394668,3339,67197,35279,3344,4,3344,0,3345,768000,3346,768000,3346,768000,3347,768000,3347,768000,3348,768000,3348,787200,3349,787200
3435,0,3439,3,3437,5395424,3444,67197,35279,3453,4,3454,0,3455,1248000,3455,1248000,3456,1248000,3456,1248000,3457,1248000,3457,1248000,3458,787200,3458,787200
3535,0,3537,3,3536,5395676,3542,67197,35279,3547,4,3548,0,3549,768000,3549,768000,3550,768000,3551,768000,3552,768000,3553,1248000,3553,787200,3553,787200
3636,0,3639,3,3637,5396180,3642,67197,35279,3648,4,3649,0,3649,1248000,3650,1248000,3650,1248000,3651,1248000,3651,1248000,3652,1248000,3652,787200,3652,787200
3737,0,3739,3,3738,5396684,3742,67197,35279,3747,4,3748,0,3748,768000,3749,768000,3750,768000,3751,768000,3751,768000,3752,768000,3752,787200,3753,787200
