Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
74,0,75,3,74,5255476,77,0,0,80,0,81,0,81,1804800,82,1804800,82,1804800,82,1804800,83,1804800,83,1804800,83,2208000,84,2208000
174,0,175,3,175,5257052,178,0,0,181,0,181,0,182,1017600,182,1017600,182,1017600,183,1017600,183,1017600,183,1017600,184,2208000,184,2208000
274,0,275,3,275,5258060,278,0,0,281,3,281,0,282,1708800,282,1708800,282,1708800,282,1708800,283,1708800,283,1708800,283,2208000,283,2208000
375,0,378,3,376,5258532,380,50398,26879,384,3,385,0,385,768000,386,768000,387,768000,387,768000,388,768000,388,768000,388,2208000,389,2208000
476,0,478,3,476,5259124,480,50398,26879,484,3,484,0,485,768000,485,1017600,486,1017600,486,1017600,486,1017600,487,1017600,487,2208000,487,2208000
576,0,578,3,577,5259912,581,50398,26879,589,3,589,0,590,1248000,590,1248000,591,1248000,592,1248000,592,1248000,593,1248000,593,2208000,593,2208000
677,0,679,3,677,5261496,682,50398,26879,686,3,686,0,687,1804800,687,1804800,687,1804800,687,1804800,688,1804800,688,1804800,688,2208000,688,2208000
778,0,780,3,778,5263732,782,50398,26879,784,3,784,0,785,1612800,785,1612800,785,1804800,786,1804800,786,1804800,786,1804800,786,787200,787,787200
878,0,880,3,879,5264724,884,50398,26879,889,3,890,0,890,1516800,891,1516800,891,1516800,892,1516800,892,1516800,893,1516800,893,1248000,893,1248000
981,0,982,3,981,5268904,984,50398,26879,991,3,992,0,992,1804800,993,1804800,993,1804800,994,1804800,994,1804800,995,1804800,995,2208000,996,2208000
1081,0,1083,3,1082,5264696,1085,50398,26879,1089,3,1090,0,1091,1804800,1091,1804800,1092,1804800,1092,1804800,1092,1804800,1093,1804800,1093,2208000,1094,2208000
1182,0,1184,3,1182,5268056,1187,50398,26879,1196,3,1197,0,1198,1324800,1199,1324800,1199,1324800,1199,1324800,1200,1324800,1201,1324800,1201,979200,1201,979200
1283,0,1286,3,1284,5270372,1290,50398,26879,1297,4,1297,0,1298,1017600,1299,1017600,1299,1017600,1299,1017600,1300,1017600,1301,1017600,1301,1555200,1302,1555200
1387,0,1389,3,1388,5272080,1396,67197,43678,1405,4,1405,0,1406,1612800,1407,1612800,1408,1612800,1408,1612800,1409,1612800,1410,1612800,1411,1900800,1411,1900800
1486,0,1488,3,1487,5291044,1491,67197,43678,1497,4,1498,0,1499,1708800,1500,1708800,1500,1708800,1500,1708800,1501,1708800,1501,1708800,1502,2208000,1502,2208000
1587,0,1590,3,1588,5289276,1594,67197,43678,1599,4,1600,0,1601,1248000,1602,1248000,1602,1248000,1603,1248000,1603,1248000,1604,1248000,1604,1248000,1605,1248000
1687,0,1689,3,1688,5295892,1691,67197,43678,1694,4,1694,0,1694,1248000,1695,1248000,1695,1248000,1696,1248000,1696,1248000,1696,1248000,1697,2208000,1697,2208000
1788,0,1790,3,1789,5300872,1793,67197,43678,1799,4,1799,0,1800,1804800,1800,1804800,1801,1804800,1802,1804800,1802,1804800,1803,1804800,1803,2208000,1804,2208000
1889,0,1891,3,1890,5307180,1896,67197,43678,1903,4,1904,0,1904,1804800,1905,1708800,1906,1804800,1906,1804800,1907,1804800,1907,1804800,1908,2208000,1908,2208000
1989,0,1991,3,1990,5311608,1994,67197,43678,1998,4,1999,0,1999,1516800,2000,1516800,2000,1516800,2000,1516800,2001,1516800,2001,1516800,2002,2208000,2002,2208000
2089,0,2091,3,2090,5315260,2094,67197,43678,2098,4,2099,0,2100,1324800,2100,1324800,2101,1324800,2101,1324800,2102,1324800,2102,1324800,2102,2208000,2103,2208000
2191,0,2194,3,2192,5320080,2198,67197,43678,2204,4,2205,0,2205,1804800,2206,1804800,2206,1804800,2207,1804800,2208,1804800,2208,1804800,2209,2208000,2209,2208000
2292,0,2295,3,2292,5324868,2299,67197,43678,2304,5,2304,0,2305,1804800,2305,1804800,2306,1804800,2306,1804800,2307,1804800,2307,1804800,2308,2208000,2308,2208000
2393,0,2396,3,2394,5327836,2401,83997,60478,2407,5,2407,0,2408,1804800,2408,1804800,2409,1804800,2410,1804800,2410,1804800,2411,1804800,2411,2208000,2412,2208000
2493,0,2495,3,2494,5329716,2498,83997,60478,2503,5,2503,0,2504,1804800,2504,1804800,2505,1804800,2505,1804800,2505,1804800,2506,1804800,2506,2208000,2506,2208000
2594,0,2598,3,2595,5331056,2603,83997,60478,2608,5,2609,0,2610,1248000,2611,1248000,2612,1248000,2612,1248000,2613,1248000,2613,1248000,2614,2208000,2614,2208000
2695,0,2699,3,2696,5335152,2703,83997,60478,2709,5,2710,0,2710,1804800,2711,1804800,2711,1804800,2712,1804800,2712,1804800,2713,1804800,2714,2208000,2714,2208000
2796,0,2798,3,2797,5338064,2801,83997,60478,2804,5,2805,0,2805,1708800,2806,1612800,2806,1612800,2806,1612800,2806,1612800,2807,1612800,2807,2208000,2807,2208000
2896,0,2898,3,2897,5341088,2901,83997,60478,2906,5,2906,0,2907,1248000,2908,1248000,2908,1017600,2909,1516800,2909,1516800,2910,1017600,2910,2208000,2911,2208000
2998,0,3000,3,2999,5342908,3003,83997,60478,3006,5,3007,0,3007,1708800,3008,1708800,3008,1804800,3009,1804800,3009,1708800,3010,1708800,3010,2208000,3011,2208000
3097,0,3099,3,3098,5348268,3102,83997,60478,3104,5,3105,0,3105,1516800,3105,1248000,3106,1248000,3106,1248000,3106,1248000,3106,1248000,3107,2208000,3107,2208000
3198,0,3200,3,3199,5348092,3204,83997,60478,3208,5,3209,0,3209,1804800,3210,1804800,3211,1804800,3211,1804800,3212,1804800,3213,1804800,3213,2208000,3214,2208000
