Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
23,0,24,3,24,5315436,25,0,0,27,0,28,0,28,1804800,28,1804800,28,1804800,29,1804800,29,1804800,29,1804800,29,2208000,29,2208000
113,0,115,3,114,5311008,118,0,0,124,0,125,0,126,1804800,126,1804800,127,1804800,127,1804800,128,1804800,128,1804800,128,2208000,128,2208000
212,0,214,3,212,5318788,217,0,0,223,0,224,0,224,1804800,225,1804800,225,1804800,226,1804800,226,1804800,226,1804800,227,2208000,227,2208000
312,0,313,3,313,5319484,316,0,0,319,0,320,0,320,1804800,321,1804800,321,1804800,321,1804800,322,1804800,322,1804800,322,2208000,323,2208000
413,0,415,3,413,5328756,418,0,0,424,0,425,0,425,1804800,426,1804800,426,1804800,427,1804800,428,1804800,428,1804800,428,2208000,429,2208000
514,0,516,3,515,5331528,519,0,0,524,0,524,0,525,1804800,526,1804800,526,1804800,527,1804800,528,1804800,528,1804800,529,2208000,529,2208000
614,0,617,3,616,5336788,621,0,0,627,9,628,0,628,1248000,629,1804800,630,1804800,630,1804800,631,1248000,632,1248000,632,2208000,633,2208000
716,0,719,3,717,5340744,722,151194,144475,726,9,727,0,727,1708800,727,1708800,728,1708800,728,1708800,729,1708800,730,1708800,730,979200,730,979200
815,0,817,3,816,5342980,821,151194,144475,829,9,830,0,830,1804800,831,1804800,831,1804800,832,1804800,833,1804800,834,1804800,834,787200,835,787200
916,0,918,3,917,5346396,922,151194,144475,930,9,931,0,932,1804800,932,1804800,933,1804800,933,1804800,934,1804800,935,1804800,935,2208000,936,2208000
1017,0,1021,3,1018,5344848,1025,151194,144475,1031,9,1032,0,1032,1804800,1033,1804800,1034,1612800,1035,1804800,1035,1612800,1035,1612800,1036,2208000,1036,2208000
1119,0,1123,3,1120,5355684,1127,151194,144475,1135,9,1136,0,1136,1804800,1137,1804800,1138,1804800,1139,1804800,1139,1804800,1140,1804800,1140,1248000,1141,1248000
1221,0,1223,3,1222,5358708,1226,151194,144475,1231,9,1231,0,1232,1248000,1233,1804800,1233,1804800,1233,1248000,1234,1248000,1234,1248000,1236,2208000,1236,2208000
1321,0,1323,3,1322,5361732,1327,151194,144475,1331,9,1331,0,1332,1516800,1332,1516800,1332,1516800,1332,1516800,1333,1516800,1333,1516800,1333,2073600,1333,2073600
1423,0,1425,3,1424,5362268,1430,151194,144475,1435,9,1436,0,1437,768000,1438,768000,1438,768000,1439,768000,1439,768000,1440,768000,1440,787200,1441,787200
1523,0,1527,3,1524,5362016,1531,151194,144475,1536,9,1538,0,1538,1017600,1539,1017600,1539,1017600,1540,1017600,1542,1017600,1542,1017600,1543,787200,1543,787200
1624,0,1627,3,1625,5362520,1629,151194,144475,1636,11,1636,0,1637,1017600,1638,1017600,1638,1017600,1639,1017600,1639,1017600,1639,1017600,1640,787200,1640,787200
1725,0,1729,3,1727,5365324,1733,184793,178074,1738,11,1738,0,1739,1248000,1740,1248000,1740,1248000,1741,1248000,1741,1248000,1742,1248000,1742,787200,1743,787200
1826,0,1828,3,1827,5365348,1835,184793,178074,1842,11,1843,0,1844,1017600,1844,1017600,1845,1017600,1845,1017600,1846,1017600,1846,1017600,1847,787200,1847,787200
1927,0,1929,3,1928,5366356,1938,184793,178074,1944,11,1945,0,1946,768000,1947,1248000,1947,1248000,1947,1248000,1948,1248000,1949,1248000,1949,787200,1949,787200
2027,0,2031,3,2028,5367080,2034,184793,178074,2040,11,2040,0,2041,1248000,2042,1248000,2042,1248000,2043,1248000,2043,1248000,2044,1248000,2044,787200,2045,787200
2134,0,2138,3,2136,5367356,2143,184793,178074,2149,11,2150,0,2150,1248000,2151,1248000,2151,1248000,2152,1248000,2152,1248000,2152,1248000,2153,787200,2153,787200
2229,0,2232,3,2230,5368388,2237,184793,178074,2245,11,2245,0,2246,768000,2247,1248000,2248,1248000,2248,1248000,2248,1248000,2249,1248000,2249,787200,2249,787200
2329,0,2333,3,2332,5368956,2339,184793,178074,2347,11,2348,0,2349,1248000,2349,1248000,2350,1248000,2350,1248000,2351,1248000,2351,1248000,2351,787200,2352,787200
2431,0,2434,3,2432,5369232,2439,184793,178074,2448,11,2450,0,2451,768000,2451,768000,2452,768000,2452,768000,2453,768000,2453,768000,2454,787200,2454,787200
2531,0,2533,3,2532,5369584,2536,184793,178074,2542,11,2542,0,2543,1248000,2544,1248000,2544,1248000,2544,1248000,2545,1248000,2545,1248000,2545,787200,2546,787200
2632,0,2635,3,2633,5370396,2640,184793,178074,2646,4,2647,0,2647,1248000,2648,1248000,2648,1248000,2648,1248000,2649,1248000,2650,1248000,2650,787200,2650,787200
2733,0,2736,3,2735,5371128,2744,67197,60478,2750,4,2750,0,2751,1248000,2751,1248000,2752,1248000,2752,1248000,2753,1248000,2753,1248000,2753,787200,2753,787200
2833,0,2837,3,2834,5371884,2840,67197,60478,2844,4,2845,0,2845,1017600,2846,1017600,2847,1248000,2847,1248000,2848,1248000,2848,1248000,2849,787200,2849,787200
2935,0,2938,3,2936,5372388,2942,67197,60478,2950,4,2950,0,2951,576000,2952,576000,2952,576000,2953,576000,2954,576000,2954,576000,2955,787200,2956,787200
3039,0,3042,3,3041,5373144,3046,67197,60478,3053,0,3053,0,3054,576000,3055,576000,3056,576000,3056,576000,3057,576000,3057,576000,3058,787200,3059,787200
3141,0,3144,3,3142,5374152,3148,0,0,3154,0,3155,0,3155,576000,3156,576000,3157,576000,3157,576000,3158,576000,3159,576000,3160,787200,3160,787200
3241,0,3244,3,3242,5374404,3249,0,0,3260,0,3260,0,3261,576000,3262,576000,3262,576000,3263,576000,3264,576000,3264,576000,3265,787200,3265,787200
3342,0,3345,3,3343,5375632,3351,0,0,3359,0,3359,0,3360,576000,3361,576000,3362,576000,3363,576000,3363,576000,3364,576000,3365,787200,3365,787200
3443,0,3446,3,3445,5376136,3451,0,0,3459,0,3459,0,3460,576000,3461,576000,3461,576000,3462,576000,3463,576000,3463,576000,3464,787200,3465,787200
3544,0,3545,3,3544,5386468,3547,0,0,3554,0,3555,0,3555,1804800,3555,1804800,3556,1804800,3556,1804800,3556,1804800,3556,1804800,3557,787200,3557,787200
3645,0,3647,3,3646,5397328,3649,0,0,3654,0,3655,0,3656,1804800,3656,1804800,3657,1804800,3657,1804800,3657,1804800,3657,1804800,3658,787200,3658,787200
3745,0,3747,3,3746,5398396,3749,0,0,3753,0,3753,0,3753,1804800,3753,1804800,3754,1804800,3754,1804800,3754,1804800,3755,1804800,3755,787200,3755,787200
3846,0,3847,3,3847,5402124,3848,0,0,3850,0,3850,0,3850,1804800,3854,1804800,3855,1804800,3858,1804800,3859,1804800,3859,1804800,3859,787200,3859,787200
3947,0,3949,3,3948,5403924,3958,0,0,3968,4,3968,0,3969,1804800,3969,1804800,3969,1804800,3969,1804800,3970,1804800,3970,1804800,3970,1248000,3970,1248000
4047,0,4049,3,4048,5399520,4050,67197,60478,4052,4,4053,0,4053,1708800,4053,1708800,4053,1708800,4054,1708800,4054,1708800,4054,1708800,4054,787200,4055,787200
4149,0,4152,3,4150,5399976,4156,67197,60478,4161,4,4162,0,4163,576000,4164,576000,4165,576000,4165,576000,4166,576000,4167,1248000,4167,787200,4167,787200
4249,0,4252,3,4251,5401016,4255,67197,60478,4260,4,4261,0,4261,768000,4262,768000,4262,768000,4263,768000,4263,768000,4264,768000,4264,787200,4265,787200
4350,0,4352,3,4351,5401348,4356,67197,60478,4360,4,4361,0,4361,768000,4362,768000,4362,768000,4363,768000,4363,768000,4364,768000,4364,787200,4364,787200
4450,0,4451,3,4450,5407208,4452,67197,60478,4454,4,4455,0,4455,1804800,4455,1804800,4456,1804800,4456,1804800,4456,1804800,4456,1804800,4456,787200,4457,787200
4552,0,4555,3,4553,5406936,4560,67197,60478,4566,4,4567,0,4567,768000,4568,768000,4569,768000,4569,768000,4570,768000,4570,768000,4571,787200,4571,787200
4653,0,4656,3,4654,5407236,4660,67197,60478,4667,4,,,,,,,,,,,,,,,,,,
