Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
72,0,1,3,73,5364812,3,0,0,7,0,8,0,8,1804800,9,1804800,9,1804800,10,1804800,10,1804800,11,1804800,11,2208000,12,2208000
173,0,74,3,174,5376880,76,0,0,81,0,82,0,82,1804800,83,1804800,83,1804800,84,1804800,84,1804800,85,1804800,85,2208000,86,2208000
274,0,176,3,275,5388484,179,0,0,183,0,183,0,184,1804800,184,1804800,184,1804800,185,1804800,185,1804800,186,1804800,186,2208000,186,2208000
375,0,276,3,376,5394844,280,0,0,284,0,285,0,286,1804800,286,1804800,287,1804800,287,1804800,288,1804800,288,1804800,289,1555200,290,1555200
476,0,377,3,478,5395096,381,0,0,386,0,387,0,388,768000,388,768000,389,768000,390,768000,390,768000,391,768000,391,2208000,392,2208000
578,0,479,3,579,5396136,483,0,0,488,0,489,0,490,1248000,491,1248000,491,1248000,492,1248000,492,1248000,492,1248000,493,787200,493,787200
681,0,582,3,682,5396916,590,0,0,608,0,609,0,609,1324800,610,1324800,611,1324800,611,1324800,612,1324800,612,1324800,613,787200,613,787200
782,0,684,3,782,5397924,687,0,0,690,0,691,0,691,1804800,691,1804800,692,1804800,692,1804800,692,1804800,692,1804800,693,787200,693,787200
882,0,783,3,883,5399160,786,0,0,789,0,790,0,790,1804800,790,1804800,791,1804800,791,1804800,791,1804800,791,1804800,792,787200,792,787200
984,0,884,3,986,5400420,887,0,0,891,0,891,0,893,1804800,893,1804800,894,1804800,894,1804800,894,1804800,895,1804800,895,787200,895,787200
1087,0,988,3,1088,5400948,993,0,0,999,0,1000,0,1001,1248000,1001,1248000,1002,1248000,1003,1248000,1003,1248000,1004,1248000,1004,787200,1004,787200
1190,0,1091,3,1191,5401956,1096,0,0,1104,9,1104,0,1105,1248000,1106,1248000,1106,1248000,1107,1248000,1107,1248000,1107,1248000,1108,787200,1108,787200
1291,0,1194,3,1293,5402208,1200,151194,88261,1207,9,1208,0,1209,768000,1210,768000,1211,768000,1211,768000,1212,768000,1212,768000,1213,787200,1214,787200
1394,0,1295,3,1395,5394896,1300,151194,88261,1313,9,1318,0,1319,1248000,1320,1248000,1320,1248000,1321,1248000,1321,1248000,1322,1248000,1323,787200,1323,787200
1496,0,1395,3,1498,5393140,1397,151194,88261,1400,9,1401,0,1401,1612800,1402,1612800,1402,1612800,1402,1612800,1403,1612800,1403,1612800,1403,787200,1404,787200
1597,0,1499,3,1598,5393164,1508,151194,88261,1517,9,1519,0,1520,1248000,1521,1248000,1522,1248000,1523,1248000,1523,1248000,1524,1248000,1525,787200,1525,787200
1699,0,1600,3,1700,5393188,1603,151194,88261,1608,9,1608,0,1609,1248000,1610,1248000,1610,1248000,1610,1248000,1611,1248000,1611,1248000,1612,787200,1613,787200
1801,0,1703,3,1802,5393552,1707,151194,88261,1714,9,1714,0,1715,1248000,1715,1248000,1716,1248000,1716,1248000,1717,1248000,1717,1248000,1718,787200,1719,787200
1902,0,1805,3,1904,5394056,1809,151194,88261,1819,9,1820,0,1820,1248000,1821,1248000,1822,1248000,1822,1248000,1823,1248000,1823,1248000,1824,787200,1824,787200
