Time  [ms],Mobile Data State,Time  [ms],Wi-Fi State,Time  [ms],Memory Usage [KB],Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta),Time  [ms],GPU Load [%],Time  [ms],CPU Load (Normalized) [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU7 Frequency [kHz],Time  [ms],CPU8 Frequency [kHz]
71,0,73,3,72,5275768,76,0,0,79,0,80,0,80,1804800,80,1804800,80,1804800,81,1804800,81,1804800,81,1804800,82,2208000,82,2208000
172,0,175,3,173,5277028,179,0,0,184,0,185,0,185,1017600,186,1017600,187,1017600,187,1017600,188,1017600,188,1017600,189,787200,189,787200
273,0,275,3,274,5278036,277,0,0,279,0,280,0,280,1804800,280,1804800,280,1804800,281,1804800,281,1804800,281,1804800,281,787200,282,787200
374,0,378,3,375,5278540,383,0,0,389,4,390,0,391,1017600,392,1017600,393,1017600,393,1017600,395,1017600,396,1324800,396,787200,396,787200
475,0,478,3,476,5279768,484,67197,0,492,4,492,0,493,1248000,494,1248000,495,1248000,496,1612800,496,1612800,497,1612800,497,1900800,498,1900800
577,0,580,3,578,5286824,583,67197,0,598,4,598,0,599,1804800,600,1804800,600,1804800,601,1804800,601,1804800,601,1804800,602,2208000,602,2208000
678,0,680,3,679,5295768,683,67197,0,690,4,691,0,691,1804800,692,1804800,692,1804800,693,1804800,693,1804800,694,1804800,694,2208000,694,2208000
778,0,780,3,779,5302068,783,67197,0,787,4,788,0,788,1804800,789,1804800,789,1804800,789,1804800,789,1804800,790,1804800,790,2208000,790,2208000
879,0,883,3,881,5322344,886,67197,0,891,4,892,0,892,1804800,893,1804800,893,1804800,894,1804800,894,1804800,895,1804800,895,2208000,896,2208000
980,0,982,3,981,5321244,986,67197,0,991,4,992,0,993,1516800,993,1516800,994,1516800,995,1516800,995,1804800,996,1804800,996,2208000,997,2208000
1081,0,1084,3,1082,5326000,1091,67197,0,1100,4,1101,0,1102,1804800,1103,1804800,1104,1804800,1104,1804800,1105,1804800,1105,1804800,1106,2131200,1106,2131200
1181,0,1184,3,1182,5345184,1188,67197,0,1194,4,1194,0,1195,1804800,1195,1804800,1196,1804800,1197,1804800,1197,1804800,1198,1804800,1199,2208000,1199,2208000
1282,0,1285,3,1283,5351768,1288,67197,0,1293,4,1294,0,1294,1516800,1295,1804800,1296,1804800,1296,1804800,1297,1804800,1298,1804800,1298,2208000,1299,2208000
1383,0,1386,3,1385,5354500,1390,67197,0,1397,8,1398,0,1399,1248000,1400,1248000,1400,1248000,1401,1248000,1402,1248000,1402,1248000,1403,2208000,1404,2208000
1483,0,1486,3,1484,5348152,1489,134395,0,1494,8,1494,0,1495,1516800,1496,1516800,1497,1516800,1497,1516800,1498,1516800,1498,1516800,1498,2208000,1499,2208000
1585,0,1588,3,1586,5351332,1593,134395,0,1600,8,1601,0,1602,1017600,1603,1017600,1604,1017600,1605,1017600,1605,1017600,1606,1017600,1607,2208000,1608,2208000
1687,0,1689,3,1688,5352812,1694,134395,0,1700,8,1701,0,1702,1248000,1702,1248000,1703,1248000,1704,1248000,1705,1248000,1705,1248000,1706,2208000,1706,2208000
1788,0,1790,3,1789,5360224,1800,134395,0,1807,8,1808,0,1808,1804800,1809,1804800,1809,1804800,1810,1804800,1810,1804800,1811,1804800,1811,2208000,1812,2208000
